created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $GMEE   $SPAY    $DERC   (No staking rewards this time)  https://t.co/zodq62hwoQ,bitrueofficial,['btrvote'],"['btr', 'usdt', 'gmee', 'spay', 'derc']",14,44,20
2021-11-30 10:09:10 UTC,$THC is being listed on Bitrue!  Coin is Thetan Arena's main ingame currency which can be achieved by playing game modes and participating in many other activities. A new $THC / $USDT trading pair will be opened at 10:30 UTC today.  https://t.co/Vt3HhPkY6l  https://t.co/Xee2jBCuFZ,bitrueofficial,[],"['thc', 'thc', 'usdt']",5,40,15
2021-11-30 10:00:02 UTC,New listings on Bitrue today! -  $ANT / $USDT    $ERN / $USDT    These coins will go live at 11:10 UTC today. More info  https://t.co/LFPp5h2CdU  https://t.co/9rdRPIR8oO,bitrueofficial,[],"['ant', 'usdt', 'ern', 'usdt']",9,34,14
2021-11-30 08:30:00 UTC,"We're listing $XDEFI  today after they successfully passed the #BTRVote as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today!  https://t.co/mvrkwlJN0Q  https://t.co/FB78DuCWcR",bitrueofficial,['btrvote'],"['xdefi', 'usdt']",18,95,12
2021-11-30 08:15:00 UTC,"We're listing $AMAS  today after they successfully passed the #BTRVote as well  ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today!   https://t.co/1Rv81SyOi3  https://t.co/2pjlwIuRLG",bitrueofficial,['btrvote'],"['amas', 'usdt']",2,28,9
2021-11-30 08:00:00 UTC,"#MATIC We're listing  $WELT  today after they successfully passed the #BTRVote  ! Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today!  https://t.co/8FLUOcW8Ow  https://t.co/EeVreXFXse",bitrueofficial,"['matic', 'btrvote']","['welt', 'usdt']",25,85,17
2021-11-30 07:13:30 UTC,"Congrats to  $SHIB on their recent listing news! They're up over 20% today, can they maintain this trajectory?  If you want to get in on the SHIB train it's available for purchase on Bitrue right now with a $USDT pair -  https://t.co/3eIKXvXiZl  https://t.co/fnyaHZEV1j",bitrueofficial,[],"['shib', 'usdt']",735,1971,159
2021-11-29 10:30:00 UTC,New listings on Bitrue today! -  $KEY / $USDT    $PERL / $USDT    These coins will go live at 11:10 UTC today. More info  https://t.co/yzHs8dFOaK  https://t.co/o2NKOf6CRO,bitrueofficial,[],"['key', 'usdt', 'perl', 'usdt']",18,68,21
2021-11-29 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $AMAS   $XDEFI   (No staking rewards this time)  https://t.co/6eCnVJRmJN,bitrueofficial,['btrvote'],"['btr', 'usdt', 'amas', 'xdefi']",4,38,15
2021-11-29 08:20:00 UTC,"We're listing $MIM  today after they successfully passed the #BTRVote  ! Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today!  https://t.co/pE69cNSTbD  https://t.co/vtI7AqJ5CD",bitrueofficial,['btrvote'],"['mim', 'usdt']",17,78,21
2021-11-27 16:20:52 UTC,Trading for $PEOPLE  from  on $PEOPLE / $USDT is now available on Bitrue!  https://t.co/1kPCog1uLl,bitrueofficial,[],"['people', 'people', 'usdt']",8,26,10
2021-11-27 14:02:30 UTC,"$PEOPLE is being listed on Bitrue! $PEOPLE is the token that  gave to its contributors, and has become a community-owned token after it has failed to win the auction. A new $PEOPLE / $USDT trading pair will be opened at 16:00 UTC today.  https://t.co/Z8qimmLf6O  https://t.co/oTk3FYkVvv",bitrueofficial,[],"['people', 'people', 'people', 'usdt']",31,125,184
2021-11-26 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $COMBO   $BONDLY   (No staking rewards this time)  https://t.co/EXlUk37xq5,bitrueofficial,['btrvote'],"['btr', 'usdt', 'combo', 'bondly']",17,54,25
2021-11-26 09:00:03 UTC,$TOWER is being listed on Bitrue!  is the ERC-20 utility token for the Crazy Kings tower defense game franchise developed and published by Animoca Brands. A new $TOWER / $USDT trading pair will be opened at 11:00 UTC today.  https://t.co/ebwp2ls92c  https://t.co/r19qLgGaQ1,bitrueofficial,[],"['tower', 'tower', 'usdt']",14,55,19
2021-11-26 08:50:00 UTC,$CWAR is being listed on Bitrue!  is a real-time multiplayer PVP arena NFT game developed in Unreal Engine and on the Solana network. A new $CWAR / $USDT trading pair will be opened at 11:00 UTC today.  https://t.co/H4kBxrD9uF  https://t.co/U8bWXWOak0,bitrueofficial,[],"['cwar', 'cwar', 'usdt']",62,313,26
2021-11-26 08:35:00 UTC,New listing on Bitrue today! -  $BEL / $USDT    This coin will go live at 11:10 UTC today. More info  https://t.co/8S6SlaSxzB  https://t.co/hbkAHc5NN8,bitrueofficial,[],"['bel', 'usdt']",8,40,12
2021-11-26 08:25:00 UTC,"We're listing $CONV  today after they successfully passed the #BTRVote  as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today!   https://t.co/zApcvxggrH  https://t.co/qX4XKVzbwh",bitrueofficial,['btrvote'],"['conv', 'usdt']",34,104,16
2021-11-26 08:10:00 UTC,"We're listing $EDEN  today after they successfully passed the #BTRVote ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today!  https://t.co/yl7fOlWL95  https://t.co/9m2hdxk6K5",bitrueofficial,['btrvote'],"['eden', 'usdt']",5,34,10
2021-11-25 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $EDEN   $CONV   (No staking rewards this time)  https://t.co/yJWiLhedpn,bitrueofficial,['btrvote'],"['btr', 'usdt', 'eden', 'conv']",8,30,10
2021-11-25 09:30:00 UTC,New listings on Bitrue today! -  $TVK / $USDT    $SFP / $USDT    These coins will go live at 11:10 UTC today. More info  https://t.co/VGLkZCFVpf  https://t.co/P6vWdp095Q,bitrueofficial,[],"['tvk', 'usdt', 'sfp', 'usdt']",12,66,15
2021-11-25 09:00:02 UTC,"We're listing $PENDLE  today after they successfully passed the #BTRVote  as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today!   https://t.co/z5NDB3PJFX  https://t.co/FcFyd5KDGo",bitrueofficial,['btrvote'],"['pendle', 'usdt']",3,29,4
2021-11-25 08:45:00 UTC,$ETERNAL is being listed on Bitrue!  is a SciFi play-to-earn NFT game. A new $ETERNAL / $USDT trading pair will be opened at 10:00 UTC today.  https://t.co/qxYXveuBol  https://t.co/NrQincftXe,bitrueofficial,[],['usdt'],4,34,2
2021-11-25 08:20:00 UTC,$RACA is being listed on Bitrue!  is a decentralized organization (DAO) operated by internet-native individuals all over the globe who want to build a brave new virtual world. A new $RACA / $USDT trading pair will be opened at 10:00 UTC today.  https://t.co/iTp1iHxaMU  https://t.co/UlxtdtDlhN,bitrueofficial,[],"['raca', 'raca', 'usdt']",416,1293,136
2021-11-25 07:50:00 UTC,"We're listing $REVV  today after they successfully passed the #BTRVote  ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/Di2xmrkoI8  https://t.co/PfAoqaRKtr",bitrueofficial,['btrvote'],"['revv', 'usdt']",5,32,6
2021-11-25 07:30:00 UTC,"#XRPL We're listing  $ELS    today after they successfully passed the #BTRVote ! Stay tuned!  Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today.  https://t.co/rTub0cjYbL  https://t.co/gpFGCpATrk",bitrueofficial,"['xrpl', 'btrvote']","['els', 'usdt']",224,726,36
2021-11-25 07:00:02 UTC,"We're listing $NCR  today after they successfully passed the #BTRVote  ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/FI14wlhXm1  https://t.co/8aJbkbC1wl",bitrueofficial,['btrvote'],"['ncr', 'usdt']",67,180,8
2021-11-25 06:45:34 UTC,$TIME is being listed on Bitrue!  is the first decentralized reserve currency protocol available on the Avalanche Network based on the TIME token. A new $TIME / $USDT trading pair will be opened at 10:00 UTC today.  https://t.co/UANphJDV0P  https://t.co/1GrYQwfEzW,bitrueofficial,[],"['time', 'time', 'usdt']",93,348,20
2021-11-24 10:20:00 UTC,New listings on Bitrue today! -  $RAMP / $USDT    $XVS / $USDT    These coins will go live at 11:10 UTC today. More info  https://t.co/gwDHS37flj  https://t.co/zEtSt9ArXH,bitrueofficial,[],"['ramp', 'usdt', 'xvs', 'usdt']",61,210,42
2021-11-24 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $REVV   $PENDLE   (No staking rewards this time)  https://t.co/LkD1ajKXTL,bitrueofficial,['btrvote'],"['btr', 'usdt', 'revv', 'pendle']",5,21,9
2021-11-24 10:00:00 UTC,$LOBI is being listed on Bitrue!   is an Approved Olympus fork specialized to ensure that OlympusDAO can participate in DeFi governance. A new $LOBI / $USDT trading pair will be opened at 11:00 UTC today.  https://t.co/Gzrq7x3rPt  https://t.co/K9HBQLWlJk,bitrueofficial,[],"['lobi', 'lobi', 'usdt']",23,35,15
2021-11-24 09:50:10 UTC,Huge news!  Sologenic $SOLO  is coming to Bitrue! Trading starts Nov 25 @ 11:00 UTC with $USDT  Huger news!  We're supporting the SOLO airdrop to $XRP and SOLO holders on Bitrue. Check the details for how to qualify -  https://t.co/qFpEMqKbTR #XRPCommunity #XRPArmy  https://t.co/rS3eM5QGMc,bitrueofficial,"['xrpcommunity', 'xrparmy']","['solo', 'usdt', 'xrp']",587,1516,129
2021-11-24 08:15:00 UTC,"We're listing $RNDR  today after they successfully passed the #BTRVote  ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/5ddYyRQIJD  https://t.co/bFiri9og3X",bitrueofficial,['btrvote'],"['rndr', 'usdt']",29,88,21
2021-11-24 08:00:01 UTC,"We're listing $DOSE  today after they successfully passed the #BTRVote as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/n3ftIh0lqJ  https://t.co/Q2ziqa6wrU",bitrueofficial,['btrvote'],"['dose', 'usdt']",4,32,14
2021-11-24 06:30:00 UTC,"We're partnering with the  team to list $XSP today after they successfully passed the #BTRVote. Deposits are open NOW, a $USDT pair opens at 11:00 UTC today.  https://t.co/W1usdcID93  https://t.co/qCeOX0QJbu",bitrueofficial,['btrvote'],"['xsp', 'usdt']",68,167,33
2021-11-24 05:30:00 UTC,"We're partnering with the  team to list $UBT today after they successfully passed the #BTRVote. Deposits are open NOW, a $USDT pair opens at 10:00 UTC today.  https://t.co/iXAdZ8CfRx  https://t.co/vfHnPW2T8u",bitrueofficial,['btrvote'],"['ubt', 'usdt']",112,384,38
2021-11-23 10:38:39 UTC,Trading for $DORA  from    on $DORA   / $USDT is now available on Bitrue!  https://t.co/oGeq2sbAzm,bitrueofficial,[],"['dora', 'dora', 'usdt']",5,14,2
2021-11-23 10:37:53 UTC,Trading for $GAT  from   on $GAT   / $USDT is now available on Bitrue!  https://t.co/hsGRAVEIYZ,bitrueofficial,[],"['gat', 'gat', 'usdt']",3,8,4
2021-11-23 10:37:20 UTC,Trading for $VLX from  on $VLX  / $USDT is now available on Bitrue!    https://t.co/KjqX89AvUg,bitrueofficial,[],"['vlx', 'vlx', 'usdt']",2,13,1
2021-11-23 10:20:00 UTC,New #BTRVote starts @ 11:00 UTC today again! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $DOSE   $RNDR   (No staking rewards this time)  https://t.co/7QEpO3nOfb,bitrueofficial,['btrvote'],"['btr', 'usdt', 'dose', 'rndr']",14,46,23
2021-11-23 09:00:00 UTC,$DORA is being listed on Bitrue!  is the DAO-as-a-Service infrastructure for decentralized governance and open source ventures. A new $DORA / $USDT trading pair will be opened at 10:30 UTC today.  https://t.co/rbd2RjaDSb  https://t.co/8tfOZX4u6g,bitrueofficial,[],"['dora', 'dora', 'usdt']",14,53,15
2021-11-23 08:48:20 UTC,"We're listing $GAT  today after they successfully passed the #BTRVote as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/BNWwzMJqHx  https://t.co/W30HLhmSnC",bitrueofficial,['btrvote'],"['gat', 'usdt']",11,48,15
2021-11-23 08:30:00 UTC,"We're listing $VLX  today after they successfully passed the #BTRVote ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/hcnOX298Qr  https://t.co/Or7jQtKU9e",bitrueofficial,['btrvote'],"['vlx', 'usdt']",8,35,13
2021-11-23 08:20:00 UTC,"We're listing  $FREE  today after they successfully passed the #BTRVote as well !  Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today!  https://t.co/GtJktOkpoP  https://t.co/AxCohoXHWR",bitrueofficial,['btrvote'],"['free', 'usdt']",227,508,83
2021-11-23 08:10:00 UTC,"We're listing  $PROPEL  today after they successfully passed the #BTRVote ! Stay tuned!  Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today.  https://t.co/E7iHHcvv8k  https://t.co/ZZ2MCnBS2Y",bitrueofficial,['btrvote'],"['propel', 'usdt']",12,49,10
2021-11-23 08:00:01 UTC,"We're partnering with the  team to list $HIMA today. Deposits are open NOW, a $USDT pair opens at 11:00 UTC on Nov 23. We're also launching a trading contest with a gigantic prize of 30,000,000 HIMA for the top 100 winners. Details:  https://t.co/VSkelVQ8BF  https://t.co/6Vcx3nSy8t",bitrueofficial,[],"['hima', 'usdt']",61,161,31
2021-11-22 10:48:52 UTC,Trading for $CHSB from    on $CHSB  / $USDT is now available on Bitrue!    https://t.co/hSGwi72QaS,bitrueofficial,[],"['chsb', 'chsb', 'usdt']",18,66,3
2021-11-22 10:47:24 UTC,Trading for $BIRD  from   on $BIRD  / $USDT is now available on Bitrue!    https://t.co/HbB6BEIPcf,bitrueofficial,[],"['bird', 'bird', 'usdt']",2,8,3
2021-11-22 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $VLX   $GAT   (No staking rewards this time)  https://t.co/iDFA2H4Amv,bitrueofficial,['btrvote'],"['btr', 'usdt', 'vlx', 'gat']",31,111,31
2021-11-22 09:46:52 UTC,"$QUIDD is being listed on Bitrue!  is the official utility token of the  community of collectors, creators, and developers. A new $QUIDD / $USDT trading pair will be opened at 11:00 UTC today.  https://t.co/dmh1qqXycI  https://t.co/mBwZgh60GT",bitrueofficial,[],"['quidd', 'quidd', 'usdt']",66,128,26
2021-11-22 09:40:58 UTC,"Congrats to  $JASMY on this incredible listing! We are sure you're going to have many more successes to announce in the future too!  If you want to get in early on JASMY train, it's available for purchase on Bitrue right now with a $USDT pair -  https://t.co/hxclqvbpff",bitrueofficial,[],"['jasmy', 'usdt']",28,84,18
2021-11-22 07:30:00 UTC,"We're listing $CHSB  today after they successfully passed the #BTRVote as well ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/iNOD0xNHl2  https://t.co/cwtzkuyKlw",bitrueofficial,['btrvote'],"['chsb', 'usdt']",171,474,59
2021-11-22 07:15:00 UTC,"We're listing $BIRD  today after they successfully passed the #BTRVote ! Deposits are open NOW, and pairs with $USDT open at 10:30 UTC today.  https://t.co/EvE8FaT8jD  https://t.co/1lbebsCVrQ",bitrueofficial,['btrvote'],"['bird', 'usdt']",16,48,21
2021-11-22 07:00:01 UTC,"#XRPL We're listing  $DIAMOND   today after they successfully passed the #BTRVote ! Stay tuned!  Deposits are open NOW, and pairs with $USDT open at 11:00 UTC today.  https://t.co/Zsxb5TrxQd  https://t.co/YgSONcGadS",bitrueofficial,"['xrpl', 'btrvote']",['usdt'],39,144,25
2021-11-22 04:01:07 UTC,"$TOWN is being listed on Bitrue! In the world's first P2E town builder built by  , players use NFT in-game items to complete Daily Challenges and gather TownCoin rewards! A new $TOWN / $USDT trading pair will be opened at 10:00 UTC today.  https://t.co/DuT1CeLXC8  https://t.co/h3jJpNll1V",bitrueofficial,[],"['town', 'town', 'usdt']",414,859,145
2021-11-19 11:06:38 UTC,Trading for $PYR  from  on $PYR   / $USDT is now available on Bitrue!    https://t.co/FBHBf8VZDM,bitrueofficial,[],"['pyr', 'pyr', 'usdt']",10,39,11
2021-11-19 10:37:39 UTC,Trading for $UFO from   on $UFO  / $USDT is now available on Bitrue!    https://t.co/Nx7dOtE1dF,bitrueofficial,[],"['ufo', 'ufo', 'usdt']",14,46,4
2021-11-19 10:15:00 UTC,New #BTRVote starts @ 11:00 UTC today! Use your $BTR to bring new coins to Bitrue. Deposits are open for all two &amp; $USDT pair will open for passing coins. Today you can vote for: $BIRD   $CHSB   (No staking rewards this time)  https://t.co/0eakToIniB,bitrueofficial,['btrvote'],"['btr', 'usdt', 'bird', 'chsb']",45,156,113
