created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 15:00:01 UTC,📢 Calling all traders! $ZEN/$USDT is now live on Bybit! 📢  ⏰ Check out our latest listing now!   📲 Trade here:  https://t.co/XfaCBjzREm  https://t.co/6lyQly5AsX,bybit_official,[],['zen'],28,139,53
2021-11-30 14:00:00 UTC,📢 Calling all traders! $AUDIO/$USDT is now live on Bybit! 📢  ⏰ Don't miss out on the price action!   📲 Trade now:  https://t.co/EqYOW6dRLi  https://t.co/98kVya4m5L,bybit_official,[],['audio'],12,88,42
2021-11-30 13:00:00 UTC,📢 Bybit is thrilled to announce that $ILV/$USDT is now live for trading! 📢  🤑 Rake in the profits on our latest listing!   📲 Trade now:  https://t.co/eVDJcUPV2q  https://t.co/2SO9ZoEIDX,bybit_official,[],['ilv'],20,126,34
2021-11-30 10:00:01 UTC,📢 Calling all traders! $FLOW/$USDT is now live on Bybit! 📢  ⏰ Don't miss out on the price action!   📲 Trade now:  https://t.co/03g3cQ0G1o  https://t.co/fUAqqbCW8z,bybit_official,[],['flow'],13,97,17
2021-11-29 21:00:01 UTC,📢 We are excited to announce that $SFP/$USDT is now live on Bybit! 📢  🖥  is a hardware wallet that provides users with a secure &amp; user-friendly crypto management platform and $SFP is the utility token that fuels this ecosystem.  📲 Trade now:  https://t.co/jc0Nml2AIv  https://t.co/nQ8WW9nJiB,bybit_official,[],"['sfp', 'sfp']",49,213,43
2021-11-29 19:00:01 UTC,"📢 We are excited to announce that $IMX/$USDT is now live on Bybit! 📢  🖥  ($IMX) is the most technically advanced solution for NFT scaling ever built, developed with StarkWare’s powerful STARK prover and rollup technology  📲 Start trading now:  https://t.co/bxIZTxROtb  https://t.co/e2QO62oTPw",bybit_official,[],['imx'],22,99,37
2021-11-29 17:00:00 UTC,"📢 We are excited to announce that $ZEC/$USDT is now live on Bybit! 📢   ($ZEC) was the first project to implement zk-SNARKs, a form of zero-knowledge cryptography that provides users with the strongest privacy available! 🥷  📲 Start trading now:  https://t.co/t9zEi09ElR  https://t.co/7Sa7LsUcuS",bybit_official,[],['zec'],59,243,32
2021-11-29 10:10:27 UTC,📢 We are excited to announce that $WEMIX/$USDT is now live for spot trading on Bybit! 📢  📲 Trade now!  https://t.co/pIbt1TBoZl  https://t.co/RVVC5IjUVt,bybit_official,[],['wemix'],34,177,31
2021-11-27 07:45:58 UTC,📢 We are proud to announce that $RNDR/$USDT is live for trading on Bybit! 📢  ➡️  (#RNDR) is a provider of decentralized GPU-based rendering solutions for the metaverse.   📲 Start trading now:  https://t.co/DAZsRQ0APt  https://t.co/5ajeiXBesj,bybit_official,['rndr'],['rndr'],170,1921,95
2021-11-26 18:17:11 UTC,"Are you #BTFD?   This #BlackFriday, stand to be one of three lucky winners who will get $100 in USDT bonus.  To Win: 🎁 Comment your fave token 🎁 RT this tweet with #BybitBlackFriday 🎁 Tag 3 friends  *Winners require a Bybit UID  https://t.co/bAeUKrIHNZ",bybit_official,"['btfd', 'blackfriday', 'bybitblackfriday']",[],563,1869,732
