created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 22:00:55 UTC,We've listed $REVA   strives to bring the future of the economy into the hands of everyone by making navigation of the DeFi space simple.  Learn more and trade REVA/USDT ➡️  https://t.co/6agrWlotrP  https://t.co/hZbBsr42G1,latokens,[],['reva'],10,30,14
2021-11-27 09:05:30 UTC,We've added $FAST to #LATOKEN exchange  FastSwap  is a decentralized protocol for automated liquidity provision on Ethereum and Binance Smart Chain.  Learn more and trade FAST/USDT! 📲  https://t.co/SqIRPaaaHv  https://t.co/wku1DpxYKD,latokens,['latoken'],['fast'],49,121,46
2021-11-27 07:50:01 UTC,"UFO/USDT is live!  UFO Gaming is a fully decentralized inter-galactic social gaming token. Play to earn Metaverse, Virtual land, NFT, Gaming, and IDO Launchpad  For everything UFO-related,  will be required. So start trading them on LATOKEN  👽  https://t.co/py62fL47LF  https://t.co/fyuib5jFMv",latokens,[],[],181,556,49
2021-11-26 16:54:19 UTC,"TABOO is live and trading on USDT pair  Taboo is an adult NFT &amp; Streaming media project. Specializing in highly, exclusive content. Its marketplace will be built on the Plasma Network, targeting networks like Polygon, Harmony, and Sol  Trade on #LATOKEN 📲  https://t.co/3Sp52iOBJs  https://t.co/Y6dsFtVqh6",latokens,['latoken'],[],5,24,21
2021-11-13 09:59:59 UTC,GLC is live and trading on $USDT pair  Learn more about the  project and trade GLC on #LATOKEN ➡️  https://t.co/6T00ThIX6m  https://t.co/yZhWDsZhka,latokens,['latoken'],['usdt'],11,44,22
2021-11-09 18:20:54 UTC,We are glad to announce that CARBON () CRB will be listed on #LATOKEN.  The CRB/USDT pair will open for trading on November 11. Stay tuned!  https://t.co/0ywTtAV1xI,latokens,['latoken'],[],26,76,16
2021-11-03 20:16:12 UTC,"QRT is live and trading on USDT pair!  Based in Indonesia, Qrkita provides solutions including non-cash transactions, encouraging financial inclusion, promoting MSMEs to the online and offline merchants to boost their sales.  Trade on #LATOKEN ➡️  https://t.co/VrQgyZlsbK  https://t.co/HEqi547LYO",latokens,['latoken'],[],16,30,20
2021-11-03 19:35:59 UTC,CPRO is open for trading on #LATOKEN   aims to enable investors to invest safely by providing the world's first KYC-approved investable certificate in the field of certification.  Learn more and trade CPRO/USDT 📲  https://t.co/G8JVuvazOK  https://t.co/VlKfy9Q1Wz,latokens,['latoken'],[],9,29,17
2021-10-29 19:02:09 UTC,Learn how professional traders earn income trading crypto -   https://t.co/159NMncuSs #latoken #staking #crypto #bitcoin #cryptocurrency #Ethereum #USDT #ada #doge,latokens,"['latoken', 'staking', 'crypto', 'bitcoin', 'cryptocurrency', 'ethereum', 'usdt', 'ada', 'doge']",[],177,265,290
2021-10-29 09:08:32 UTC,$NFT/USDT is open for trading on #LATOKEN  's mission is to register world-class artworks as NFTs on blockchain. The project aims to build a bridge between top artists and blockchain and to support the growth of native crypto NFT artists.  📲  https://t.co/2LBAxEd33b  https://t.co/pIhgpVJkjN,latokens,['latoken'],['nft'],25,60,8
