created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 13:44:24 UTC,$HERA/USDT trading goes LIVE in 15mins🔥  Get ready to trade ▶️  https://t.co/0PgVqtAADj  #heroarena #MEXCGlobal #MEXCListing  https://t.co/Z1QfRZ2XVu,mexc_global,"['heroarena', 'mexcglobal', 'mexclisting']",['hera'],2,41,16
2021-11-30 13:38:56 UTC,MEXC will list $ELMON  in the Innovation Zone under ELMON/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 13:30 Dec 1 (UTC)  Details:  https://t.co/9X2uCVG24l  #Elemon #cryptogames #MEXCGlobal #MEXCListing   Follow  for more.  https://t.co/ntzK89lbYd,mexc_global,"['elemon', 'cryptogames', 'mexcglobal', 'mexclisting']",['elmon'],47,229,52
2021-11-30 11:44:14 UTC,MEXC will list $ORARE  in the Innovation Zone under ORARE/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 12:00 Nov 30 (UTC)  Details:  https://t.co/QBZi2nSj7a  #OneRare #MEXCGlobal #MEXCListing  https://t.co/cqZ3QcOHAl,mexc_global,"['onerare', 'mexcglobal', 'mexclisting']",['orare'],11,57,34
2021-11-30 11:08:23 UTC,MEXC will list $HERA  in the Innovation Zone under HERA/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 14:00 Nov 30 (UTC)  Details:  https://t.co/aIdInjtC3g  #heroarena #MEXCGlobal #MEXCListing  Follow  for more.  https://t.co/Lf5F6fLWq4,mexc_global,"['heroarena', 'mexcglobal', 'mexclisting']",['hera'],34,132,45
2021-11-30 10:36:06 UTC,"MEXC will list $STAK  in the Innovation Zone under STAK /USDT trading pair.   ✅Deposit &amp; Withdrawal: Opened ✅Trading: 11:00 Dec 1 (UTC)  💰STAK Trading Contest - 560,000 $STAK to be Won  Details:  https://t.co/HEQV5zzRbZ  #Jigstack #MEXCGlobal #MEXCListing  https://t.co/2opJZRwNvf",mexc_global,"['jigstack', 'mexcglobal', 'mexclisting']","['stak', 'stak']",17,68,16
2021-11-30 08:31:42 UTC,"🚨 For our next episode of 26 Questions, we will be inviting  as our guest.   Do leave your questions for  down below! 20 questions will be picked, and you will walk away with $USDT! 🎁  Start commenting your questions below now! 🔥 #AskMEXC #ZAM  https://t.co/hyxHCURFSJ",mexc_global,"['askmexc', 'zam']",['usdt'],95,159,736
2021-11-30 08:07:05 UTC,MEXC will list $SLND  in the Innovation Zone under SLND/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 08:00 Dec 1 (UTC)  Details:  https://t.co/CE4QQn2pF0  #Solend #MEXCGlobal #MEXCListing  Follow  for more.  https://t.co/bsTgge0MRc,mexc_global,"['solend', 'mexcglobal', 'mexclisting']",['slnd'],33,128,29
2021-11-30 07:05:23 UTC,$JF/USDT trading goes LIVE in 54mins!  Get ready to trade ▶️   https://t.co/TGtrPd7Hnp  #JswapFinance #MEXCGlobal #MEXCListing   Follow  for more.  https://t.co/Bif0G5f0BQ,mexc_global,"['jswapfinance', 'mexcglobal', 'mexclisting']",['jf'],4,25,11
2021-11-30 02:54:23 UTC,$DXGM/USDT trading goes LIVE in 5mins!  Get ready to trade ▶️  https://t.co/edAY7sOncc  #DexGame #MEXCGlobal #MEXCListing   Follow  for more.  https://t.co/ph1VsflATJ,mexc_global,"['dexgame', 'mexcglobal', 'mexclisting']",['dxgm'],8,39,11
2021-11-29 14:33:20 UTC,$HTD/USDT trading goes live in 27mins🔥  Get ready to trade ➡️  https://t.co/Gdx1oBDCHn  #HeroesTD #MEXCGlobal #Mday  https://t.co/EZAtJ9M1MV,mexc_global,"['heroestd', 'mexcglobal', 'mday']",['htd'],4,39,11
2021-11-29 14:19:46 UTC,MEXC will list $NFTY  in the Innovation Zone under NFTY/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 06:00 Nov 30 (UTC)  Details:  https://t.co/MLhs18967J  #NFTYLabs #MEXCGlobal #MEXCListing  https://t.co/Woso19g6xW,mexc_global,"['nftylabs', 'mexcglobal', 'mexclisting']",['nfty'],16,80,25
2021-11-29 13:41:44 UTC,📈MEXC will list $ELIXIR  in the Innovation Zone under ELIXIR/USDT trading pair at 14:00 on Dec 1 (UTC).  🔨Launching the new MX DeFi with $ELIXIR - Stake $MX or $BIT to earn yield on $ELIXIR  Details:  https://t.co/ul5qsL1Au2  #Starchi #MEXCGlobal #MXDeFi #Staking  https://t.co/pkH31OYcv7,mexc_global,"['starchi', 'mexcglobal', 'mxdefi', 'staking']","['elixir', 'elixir', 'mx', 'bit', 'elixir']",15,75,24
2021-11-29 13:22:51 UTC,MEXC will list $FAST  in the Innovation Zone under FAST/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 14:00 Nov 29 (UTC)  Details:  https://t.co/FxCfFSHemW  #FastSwap #MEXCGlobal #MEXCListing #DeFi  https://t.co/Qdf5YzMWi6,mexc_global,"['fastswap', 'mexcglobal', 'mexclisting', 'defi']",['fast'],23,95,23
2021-11-29 13:02:17 UTC,MEXC will list $DXGM  in the Innovation Zone under DXGM/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 03:00 Nov 30 (UTC)  Details:  https://t.co/234BzdkyHn  #DexGame #MEXCGlobal #MEXCListing   Follow  for more.  https://t.co/dKsCWG7dz7,mexc_global,"['dexgame', 'mexcglobal', 'mexclisting']",['dxgm'],94,186,38
2021-11-29 12:31:44 UTC,$SFUND/USDT trading goes LIVE in 28 mins!  Get ready to trade ▶️  https://t.co/LjheeG5KX9  #SeedifyFund #MEXCGlobal #MEXCListing  https://t.co/6q8hBp8t3w,mexc_global,"['seedifyfund', 'mexcglobal', 'mexclisting']",['sfund'],16,85,17
2021-11-29 11:52:54 UTC,"$ZINU/USDT is now LIVE on #MEXCGlobal!  🏆Launching the $ZINU Deposit, Trading &amp; RT competition - 450B $ZINU for grabs!  🎁3,333,333,333 $ZINU to be split by 20ppl: 🔺Follow    🔺Like, RT and tag 3 🔺Comment #ZinuToken  Details:  https://t.co/G5hnX2TfDk  https://t.co/T8hMV99RtH",mexc_global,"['mexcglobal', 'zinutoken']","['zinu', 'zinu', 'zinu', 'zinu']",744,1140,828
2021-11-29 11:34:18 UTC,MEXC will list $ZAM  in the Innovation Zone under ZAM/USDT trading pair.  ✅Deposit &amp; Withdrawal: Opened ✅Trading: 12:00 Nov 29 (UTC)  Details:  https://t.co/RT5uUvPfqj  #Zamio #MEXCGlobal #MEXCListing   Follow  for more.  https://t.co/9HGcG7L9XK,mexc_global,"['zamio', 'mexcglobal', 'mexclisting']",['zam'],9,57,29
2021-11-29 11:15:20 UTC,Releasing the draw result of $HTD M-Day!  📈MEXC will list $HTD  in the Innovation Zone under HTD/USDT trading pair at 15:00 Nov 29 (UTC)  🔗Details about the draw result and the listing:  https://t.co/kcl3PnnxQ8  #HerosTD #MEXCGlobal #Mday #MEXCListing  https://t.co/G4DGo9C31M,mexc_global,"['herostd', 'mexcglobal', 'mday', 'mexclisting']","['htd', 'htd']",2,31,12
