created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 14:15:58 UTC,Actually we support only USDt (our issued token ) and not USDt.e,paoloardoino,[],[],0,0,1
2021-11-26 18:31:43 UTC,"PSA: 1B USDt inventory replenish on Tron Network. Note this is a authorized but not issued transaction, meaning that this amount will be used as inventory for next period issuance requests and chain swaps.",paoloardoino,[],[],33,301,132
2021-11-26 16:43:44 UTC,Spotted in an Italian club #Tether  https://t.co/21SZ1VDpA5,paoloardoino,['tether'],[],6,186,23
2021-11-22 12:26:33 UTC,"I've been receiving recently many inquiries about this issue. Unfortunately, as much as myself and the Tether team would like to help, our contract address does not support interacting with other tokens 🙁",paoloardoino,[],[],0,0,0
2021-11-17 13:02:09 UTC,I must be the 3rd  https://t.co/flHngbgCXH,paoloardoino,[],[],0,5,1
2021-11-17 08:55:25 UTC,.  reinvests in #bitcoin and #lightningnetwork ⚡️ with  ! This is just the beginning. We're going full steam ahead!   https://t.co/ALUMocruXw,paoloardoino,"['bitcoin', 'lightningnetwork']",[],50,217,25
2021-11-13 15:27:48 UTC,"I think you would be surprised of what you can achieve if you decentralised tech and allow peers to store and control their own data without having to store them centrally. And regarding the money part, bitfinex and tether are happily providing capital to see this through.",paoloardoino,[],[],0,1,1
2021-11-13 15:22:28 UTC,"Mmm I promised to the teams to not give many details. Anyway I intend social as in connecting peers and providing them a way to talk, chat and share. Not Facebook style. But anyway we're working first to rollout protocols and then products.",paoloardoino,[],[],0,1,1
2021-11-13 15:13:01 UTC,"and  are funding and collaborating on these projects and products. Distributed seqrch, communication and social layers, ... Centralisation of internet services won't last too long. Every week we get one step closer to the launch of few important projects.",paoloardoino,[],[],3,44,7
2021-11-12 18:14:49 UTC,nO oThEr sTaBlEcOiN hAs iT tHO. bUT lET's fUD tETheR aND fOR yoUR bUDdIeS.,paoloardoino,[],[],1,33,9
2021-11-11 16:24:37 UTC,"#Tether  has been created to help people. Despite few truthers (paid by guess whom) with loud voices, the actual community is behind us and we are humbled of your support.",paoloardoino,['tether'],[],11,147,50
