created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-28 16:00:12 UTC,$XRP will melt faces. Confirmed. 💀  https://t.co/y5tBeHVliM,bitboy_crypto,[],['xrp'],897,3394,261
2021-11-27 16:00:12 UTC,Know the difference between #XRP and  ☝️  https://t.co/Dt4h9FQOq3,bitboy_crypto,['xrp'],[],151,667,74
2021-11-26 18:00:31 UTC,This is pretty much how the lawsuit is panning out #XRP #XRParmy   https://t.co/M89bO7qjLG,bitboy_crypto,"['xrp', 'xrparmy']",[],304,1336,106
2021-11-26 16:00:27 UTC,Banks are all gonna be using XRP #XRParmy 💪  https://t.co/2D8ngxxiar,bitboy_crypto,['xrparmy'],[],586,2423,242
2021-11-24 16:00:40 UTC,"We could most definitely see a revision of 2017 for $XRP!  Being the one to go the furthest, the fastest and the last to rip 🚀#XRParmy  https://t.co/utyt9t9IAx",bitboy_crypto,['xrparmy'],['xrp'],334,1526,135
2021-11-20 16:30:07 UTC,Blue skies for  $XRP - Responsibility to work together 🤝 with the government. #XRParmy  https://t.co/0H4tnuTnYE,bitboy_crypto,['xrparmy'],['xrp'],203,981,75
2021-11-19 18:00:15 UTC,Ripple progresses. Crypto progresses.  Let's keep at it #XRParmy 🤝  https://t.co/eldy9hZ2Ih,bitboy_crypto,['xrparmy'],[],189,991,105
2021-11-19 16:00:12 UTC,"There are always numerous factors as to what affects #crypto  A lot of things at play with with $XRP, #crypto, deflation and inflation etc.  https://t.co/Ko4tzIBKKG",bitboy_crypto,"['crypto', 'crypto']",['xrp'],51,311,47
2021-11-19 15:15:52 UTC,Somebody better tell  that  has had relations with    $xrp #xrparmy #cryptocurrecy #crypto,bitboy_crypto,"['xrparmy', 'cryptocurrecy', 'crypto']",['xrp'],120,712,100
2021-11-14 18:00:20 UTC,Keeping a close eye on $XRP while others aren't 👀  https://t.co/uD3pRTmEfl,bitboy_crypto,[],['xrp'],547,3258,527
2021-11-12 18:00:17 UTC,"Look out for that XRP pre-rally. We've seen some pumps before, so don't be sleeping on #XRP ☝️#XRParmy  https://t.co/Oo04OghnKX",bitboy_crypto,"['xrp', 'xrparmy']",[],360,1924,209
2021-11-09 20:00:08 UTC,XRP has purpose in the the crypto verse ☝️  That purpose will be fulfilled and its fundamentals will take the token to new heights! #XRParmy Not to mention  👀  https://t.co/sKL6svAimS,bitboy_crypto,['xrparmy'],[],635,2768,207
2021-11-06 19:00:10 UTC,XRP has one of the most passionate and knowledgeable communities about the use cases and utility of the $XRP token.  #XRParmy is bullish long term because we understand the #XRP ledger and what the token is capable of!  Headway is being made against the SEC behind the scenes.⚡️  https://t.co/O51jAIanHY,bitboy_crypto,"['xrparmy', 'xrp']",['xrp'],1215,5339,440
2021-11-05 19:00:10 UTC,The Howie Test does not apply to  $XRP - The SEC is going to have to admit that there was nothing in Ripple's contracts that created expectations of profits of purchasers of #XRP. #XRParmy let's go🔥  https://t.co/yyKMGiDn0P,bitboy_crypto,"['xrp', 'xrparmy']",['xrp'],1469,6387,355
2021-11-02 15:30:00 UTC,Anticipation of  re-listing $XRP upon us. It was always inevitable. ⚡️  https://t.co/JxIGptn5EE,bitboy_crypto,[],['xrp'],804,3371,207
2021-11-01 15:30:07 UTC,Brian Armstrong speaks on Ripple #XRP 🤔 This is bound to close soon. #XRParmy We know where this is going!  https://t.co/GgUsVP2muy,bitboy_crypto,"['xrp', 'xrparmy']",[],472,2322,223
2021-10-29 20:36:17 UTC,Definitely bullish on XRP's value!,bitboy_crypto,[],[],2,26,9
2021-10-29 17:00:19 UTC,"What in the Howie Test has made the SEC decide the #XRP should have been relegated as an investment contract?  If the SEC cannot come up with a good answer for this, the case is over. #XRParmy  https://t.co/oXzn8E4v6r",bitboy_crypto,"['xrp', 'xrparmy']",[],567,2291,151
2021-10-27 17:00:07 UTC,"What can push up the #Bitcoin price further?  Without a doubt the #XRP settlement news. If you've been paying attention, you'll know how much this will affect the crypto-verse  https://t.co/E5o57v4zoP",bitboy_crypto,"['bitcoin', 'xrp']",[],150,832,138
2021-10-25 17:24:02 UTC,This is why the #XRP lawsuit against the SEC is so crucial and relevant to the cryptoverse right now,bitboy_crypto,['xrp'],[],531,2141,161
2021-10-25 17:20:30 UTC,Happy to do my part for XRP,bitboy_crypto,[],[],70,631,44
2021-10-19 17:00:14 UTC,"Looks $XRP is getting more bullish. I know this is inevitable. $5 price range is there, but I know it'll be worth more. #XRPArmy we ain't done yet. 💪  https://t.co/fpNUcvyhz8",bitboy_crypto,['xrparmy'],['xrp'],437,2343,275
2021-10-15 19:03:55 UTC,XRP's ecosystem is growing and to add to this is  $SGB 🐦  Songbird is basically the Canary Network of Flare; it's an operational blockchain network that acts as a sidechain to $XRP 🔥  I have reason to believe this will be massive. #XRPArmy representin' ☝️  https://t.co/236gPBhv4v,bitboy_crypto,['xrparmy'],"['sgb', 'xrp']",409,1935,214
2021-10-11 18:22:24 UTC,I'm all in on this. $4 $XRP is nothing compared to what it will be when this is SEC thing is over. We are going to be validated.  Now just wait until  goes public. #XRPArmy  https://t.co/vIDgMLBZtD,bitboy_crypto,['xrparmy'],['xrp'],774,4020,336
2021-10-10 18:01:08 UTC,The final suppression for $XRP is here.  $XLM will be pushed as a significant competition - As soon as I got that info 💥 We get the story that Moneygram partners with Stellar to settle transactions with #stablecoins  Don't let this distract you from  #XRP #XRPArmy  https://t.co/I1VJRsvaNP,bitboy_crypto,"['stablecoins', 'xrp', 'xrparmy']","['xrp', 'xlm']",345,2094,304
2021-10-08 19:02:44 UTC,"In the coming weeks, we'll see that $XRP is not a security. This will send shockwaves across the cryptoverse and be very positive for #crypto overall!   Plus Bhutan wants to use 's CBDC solution for their nation??? Incredible to see what crypto is able to provide! #XRPArmy  https://t.co/rdVNiVIbQE",bitboy_crypto,"['crypto', 'xrparmy']",['xrp'],420,2172,191
2021-10-06 17:05:07 UTC,Ripple () #XRP having a time burying the SEC in paperwork. Be careful what you ask for now. Good on Ripple continuing to fight  💪 #XRPArmy  https://t.co/L3CVfsuhBV,bitboy_crypto,"['xrp', 'xrparmy']",[],344,2174,146
2021-09-30 15:34:36 UTC,"China bans Bitcoin (2017) - Less than 3 months later new ATHs are set 📈 🚀 This story has been out for weeks, but the markets are just now reacting.  This bears repeating: - Don't sell your #Bitcoin - Don't sell your #Ethereum - Don't sell your #XRP - Don't sell your #Cardano  https://t.co/QKUIASFKgx",bitboy_crypto,"['bitcoin', 'ethereum', 'xrp', 'cardano']",[],140,827,114
2021-09-29 19:03:40 UTC,"Ripple $XRP is looking to be a more dominant force in crypto.  With  working with nations like Bhutan to establish a greener and efficient currency for the country, this will prove XRP's force even more 💪 #XRPArmy  https://t.co/vsFw2GmmrF",bitboy_crypto,['xrparmy'],['xrp'],463,2294,168
2021-09-28 18:01:41 UTC,No one has ever benefitted from panic-selling.  Long the bull run.  #Crypto #Bitcoin #Ethereum #XRP #Cardano,bitboy_crypto,"['crypto', 'bitcoin', 'ethereum', 'xrp', 'cardano']",[],155,1358,165
2021-09-27 15:32:04 UTC,"As soon as this whole business with  and the SEC blows over, we just may see a Ripple IPO. Of course, where will $XRP go?  Don't let the FUD get to you. #XRPARMY  https://t.co/fLGAXQvUJs",bitboy_crypto,['xrparmy'],['xrp'],480,2245,213
2021-09-26 19:08:57 UTC,"It's all political theater.  and the SEC are on the same side.  Former Goldman Sachs, Gary Gensler is super close with the banking cartel. We should expect to see how close Ripple is with them within the next couple of years.  https://t.co/x0AT9j4zEJ",bitboy_crypto,[],[],206,1102,162
