created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 21:00:03 UTC,"The #FlareNetwork will host numerous #NFT market places such as Sparkles. Say good bye to crazy fees, the revolution is coming, I hope you're excited!  🔁RT for a chance to win $XRP / $CSC  https://t.co/gkxWK7xeMv",communityflare,"['flarenetwork', 'nft']","['xrp', 'csc']",500,514,42
2021-11-30 20:00:01 UTC,🎉Congratulations to the RT winner!🥳  +5.15  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",42,82,4
2021-11-30 16:32:20 UTC,"🎉50,000+ Subscriber Giveaway Tomorrow!🙏  🔥500 $XRP - YT Member Airdrop 🔥500 $SGB - YT Member 🔥500 $SGB - Retweeter 🔥3 x Sparkles Canary NFTs - Retweeter 🔥1 x CostOne tx  /  NFT  Retweet and Subscribe for a chance of winning! 👉 https://t.co/VzNZlcStwe  https://t.co/MSaywEamkg",communityflare,[],"['xrp', 'sgb', 'sgb']",1491,1074,240
2021-11-29 21:00:28 UTC,"The #FlareNetwork's native token, Spark, will have more than just a single use case. As a governance token, $FLR will allows holders to vote on changes relating to the network and help drive the direction it grows.  🔁RT for a chance to win $XRP / $CSC  https://t.co/A4v8UKP7G2",communityflare,['flarenetwork'],"['flr', 'xrp', 'csc']",438,428,28
2021-11-29 20:00:26 UTC,🎉Congratulations to the RT winner!🥳  +5.13  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",32,70,0
2021-11-28 21:00:53 UTC,Wen $FLR? Wen $SGB?  I hear it all the time... Which is why I created a handy flowchart for you to know when to expect the various airdrops associated with the #FlareNetwork  🔁RT for a chance to win $XRP / $CSC  https://t.co/EwSsgDwpGr,communityflare,['flarenetwork'],"['flr', 'sgb', 'xrp', 'csc']",500,482,64
2021-11-28 20:00:50 UTC,🎉Congratulations to the RT winner!🥳  +5.12  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",40,85,2
2021-11-27 21:00:17 UTC,"The Flare Community #NFT collection is a collection like no other and created by community legend - ! In fact, you can get airdropped future NFTs just for holding the latest release!   🔁RT for a chance to win $XRP / $CSC  https://t.co/VgGytEzVc6",communityflare,['nft'],"['xrp', 'csc']",296,252,21
2021-11-27 20:00:14 UTC,🎉Congratulations to the RT winner!🥳  +5.11  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",45,89,6
2021-11-27 15:07:12 UTC,Very kind of you to say so  and thank you for the tip❤️  +4 XRP  #tipwithxumm,communityflare,['tipwithxumm'],[],1,2,3
2021-11-26 21:00:42 UTC,Here is my take on the big picture Ripple has for #XRP. Sidechains hosting CBDCs which connect to the #XRPL as a bridge. #Liquidity  🔁RT for a chance to win $XRP / $CSC  https://t.co/IqiGF8rqOd,communityflare,"['xrp', 'xrpl', 'liquidity']","['xrp', 'csc']",357,360,15
2021-11-26 20:00:39 UTC,🎉Congratulations to the RT winner!🥳  +5.1  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",42,88,3
2021-11-25 21:00:08 UTC,The #FlareNetwork is going to be revolutionary. A novel feature which distinguishes it from other networks is the ability to TRUSTLESSLY mint / redeem assets from an external network!  🔁RT for a chance to win $XRP / $CSC  https://t.co/uLXjqPlWV6,communityflare,['flarenetwork'],"['xrp', 'csc']",426,398,17
2021-11-25 20:00:04 UTC,🎉Congratulations to the RT winner!🥳  +5.09  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",37,93,3
2021-11-24 21:00:32 UTC,#PassiveIncome is what will unlock your freedom. Learn about how the #FlareNetwork can help you reach your goals in the podcast episode linked below:  🔁RT for a chance to win $XRP / $CSC  https://t.co/aA4N7lnEaD,communityflare,"['passiveincome', 'flarenetwork']","['xrp', 'csc']",460,449,35
2021-11-24 20:00:29 UTC,🎉Congratulations to the RT winner!🥳  +5.08  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",37,84,3
2021-11-23 21:00:56 UTC,"Domain tokenisation is coming to the #FlareNetwork and this is really something to look out for! The world is changing, tokenised domains on the blockchain is the future!  🔁RT for a chance to win $XRP / $CSC  https://t.co/oxupjPHwCL",communityflare,['flarenetwork'],"['xrp', 'csc']",356,322,16
2021-11-23 20:00:53 UTC,🎉Congratulations to the RT winner!🥳  +5.07  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",29,62,1
2021-11-23 16:18:02 UTC,You've not received you $SGB? Did you go through the claim process and hold XRP during the snapshot?,communityflare,[],['sgb'],0,1,1
2021-11-22 21:00:21 UTC,The #FlareNetwork is a complicated system. In this video I cover each of the critical components and their role they play in just under 10 minutes. A great place to start for those new to Flare!  🔁RT for a chance to win $XRP / $CSC  https://t.co/TWTuHqu8o1,communityflare,['flarenetwork'],"['xrp', 'csc']",510,574,33
2021-11-22 20:00:18 UTC,🎉Congratulations to the RT winner!🥳  +5.06  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",40,79,2
2021-11-21 21:00:45 UTC,"What is an epoch?  Regarding #Songbird, an epochs is a period of 7 days. During this time, you can redelegate your $SGB!  Find out more about the epoch rewards cycle and when is best to redelegate in this video!  🔁RT for a chance to win $XRP / $CSC  https://t.co/3aAaFJ9RBo",communityflare,['songbird'],"['sgb', 'xrp', 'csc']",334,377,29
2021-11-21 20:00:42 UTC,🎉Congratulations to the RT winner!🥳  +5.04  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",44,92,3
2021-11-20 21:00:08 UTC,The #FlareNetwork is far ahead of the competition. Come watch the heavy weight title fight and see how $ETH 2.0 stacks up against the new kid on the block!  🔁RT for a chance to win $XRP / $CSC  https://t.co/t4lZ575dCh,communityflare,['flarenetwork'],"['eth', 'xrp', 'csc']",453,528,42
2021-11-20 20:00:05 UTC,🎉Congratulations to the RT winner!🥳  +5.03  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",47,94,2
2021-11-19 21:00:33 UTC,"Songbird is the Canary network for Flare, it will hold real value and offer ways to earn real income. Learn all about it in the video below:  🔁RT for a chance to win $XRP / $CSC  https://t.co/N61PSDrewd",communityflare,[],"['xrp', 'csc']",453,513,35
2021-11-19 20:00:30 UTC,🎉Congratulations to the RT winner!🥳  +5.02  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",32,89,2
2021-11-19 10:38:32 UTC,"You will be able to buy NFTs with the NFTp you accumulate on Saturday, simply go to the BestFTSO website from the Bifrost in-app browser, claim NFTp and go to the NTTp claimable section!  Never give away your secret phase if anyone is trying to help you, it will be a scam!",communityflare,[],[],0,0,1
2021-11-18 21:00:56 UTC,"There are 3 different networks associated with Flare, level up your knowledge and know the uses for each!  🔁RT for a chance to win $XRP / $CSC  https://t.co/u8xwguLFV6",communityflare,[],"['xrp', 'csc']",432,380,18
2021-11-18 20:00:53 UTC,🎉Congratulations to the RT winner!🥳  +5.01  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",37,81,6
2021-11-18 16:46:05 UTC,You're not JKing!,communityflare,[],[],0,6,1
2021-11-17 21:00:20 UTC,"F-Assets and Y-Assets will both exist on the #FlareNetwork. They are not the same though, do you know the differences? If not, watch the video below!  🔁RT for a chance to win $XRP  https://t.co/1TLu73sM5J",communityflare,['flarenetwork'],['xrp'],337,351,19
2021-11-17 20:08:18 UTC,The launch of the Flare Network has nothing to do with XRP! 👍,communityflare,[],[],1,2,0
2021-11-17 20:00:17 UTC,🎉Congratulations to the RT winner!🥳  +4.99  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",48,82,7
2021-11-17 01:57:41 UTC,I imagine you got this from  https://t.co/FZXmYpnLbp?   This website is a XRP Ledger explorer. They have used public information (address and XRP held at the time of the snapshot) to forecast your expected allocation in SGB and FLR.,communityflare,[],[],0,1,0
2021-11-16 21:00:44 UTC,"Still unsure of what the Flare Time Series Oracle (FTSO) is? Don't worry, I cover it in this podcast episode! #FlareNetwork  🔁RT for a chance to win $XRP / $CSC  https://t.co/cpnY7m23bV",communityflare,['flarenetwork'],"['xrp', 'csc']",280,271,18
2021-11-16 20:00:40 UTC,🎉Congratulations to the RT winner!🥳  +4.97  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",25,73,3
2021-11-15 21:00:09 UTC,D'CENT Hardware wallets provide a secure way to store your digital assets. You can even get $50 off with the link in the description of this video!  🔁RT for a chance to win $XRP / $CSC  https://t.co/MWvczYyuRz,communityflare,[],"['xrp', 'csc']",246,227,13
2021-11-15 20:00:06 UTC,🎉Congratulations to the RT winner!🥳  +4.95  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",34,91,6
2021-11-15 13:33:56 UTC,"To the untrained eye, it can seem convincing but let's break this down.  Clue #1:  The sender is not an official Ripple address  https://t.co/SnSYDyYwNP",communityflare,[],[],6,20,1
2021-11-15 13:17:36 UTC,"Moral of the story:  ""If something is too good to be true, it probably is.""  Stay safe out there!",communityflare,[],[],16,93,3
2021-11-15 13:15:59 UTC,"I would like to issue a warning regarding a (fairly convincing) email I just received which is evidently a scam.  It links to a mirror of the  website but don't be fooled, these scammers are becoming increasingly dedicated to parting you with your hard earned assets.  https://t.co/kxVzfQgIlI",communityflare,[],[],354,762,27
2021-11-14 21:00:35 UTC,"#FlareNetwork partners with Panther Protocol to bring private transactions to the masses, check the video for more details!  🔁RT for a chance to win $XRP / $CSC  https://t.co/ttG8m9PkMb",communityflare,['flarenetwork'],"['xrp', 'csc']",441,477,21
2021-11-14 20:00:32 UTC,🎉Congratulations to the RT winner!🥳  +4.91  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",38,94,3
2021-11-13 21:00:58 UTC,Are you eligible to receive the Songbird $SGB airdrop? This flowchart video will answer all your questions!  🔁RT for a chance to win $XRP / $CSC  https://t.co/MkA8cSSx6v,communityflare,[],"['sgb', 'xrp', 'csc']",424,418,29
2021-11-13 20:00:55 UTC,🎉Congratulations to the RT winner!🥳  +4.87  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",48,100,4
2021-11-12 21:00:21 UTC,"Decentralised Exchanges are the future, giving users the ability to retain ownership of their assets and trade from their wallet. Check the video below to level up your #DeFi knowledge!  🔁RT for a chance to win $XRP / $CSC  https://t.co/ASmHpkoiA2",communityflare,['defi'],"['xrp', 'csc']",355,391,25
2021-11-12 20:00:18 UTC,🎉Congratulations to the RT winner!🥳  +4.83  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",38,85,6
2021-11-11 21:00:44 UTC,"#FlareFinance will bring a new wave of #DeFi and setting the foundation by building a suite of 7 products on the #FlareNetwork, if you're not sure what DeFi is, now is the time to learn!  🔁RT for a chance to win $XRP / $CSC  https://t.co/Pt6sngDmNh",communityflare,"['flarefinance', 'defi', 'flarenetwork']","['xrp', 'csc']",417,442,29
2021-11-11 20:00:41 UTC,🎉Congratulations to the RT winner!🥳  +4.81  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",42,80,2
2021-11-11 13:36:12 UTC,Glad to have you a part of it my friend!,communityflare,[],[],0,2,0
2021-11-11 12:09:54 UTC,Thank you for the kind words Mr.808! 🙏,communityflare,[],[],1,6,1
2021-11-10 21:00:10 UTC,Members of the #FlareCommunity YouTube channel receive many benefits!  ✅Exclusive livestreams / Giveaways ✅Discounted Merch ✅#NFTs ✅+ Much More!  If you would like to show your support check the link below!  🔁RT for a chance to win $XRP / $CSC  https://t.co/7NO4epKjVI,communityflare,"['flarecommunity', 'nfts']","['xrp', 'csc']",266,248,22
2021-11-10 20:00:07 UTC,🎉Congratulations to the RT winner!🥳  +4.8  #TipXRP  Follow  for daily chances to win $XRP &amp; $CSC every single day!  Register for the tipbot to claim your #XRP:  https://t.co/CGy6iIyy76   https://t.co/VzNZlcStwe,communityflare,"['tipxrp', 'xrp']","['xrp', 'csc']",34,81,6
