hashtags,replies_count,created_at,tweet,language,id,username,name,cashtags,retweets_count,likes_count
[],0,2021-11-30 23:39:33 UTC,@XRPLXDUDE @JohnEDeaton1 @BakkupBradley @BlackberryXRP @jungleincxrp @Fame21Moore @stedas @RippleXrpie @Kevin_Cage_ @XRP_OWL ha thanks I appreciate that,en,1465827873974063111,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],1,13
"['xrp', 'xrpthestandard']",16,2021-11-30 23:34:49 UTC,Clayton Gensler SEC Ripple / XRP Showdown Tomorrow! #xrp #xrpthestandard @ripple   https://t.co/Aod3uncphB,en,1465826683009839107,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],92,471
[],3,2021-11-30 19:30:53 UTC,"So this is VP, Legal @Grayscale who has sent a letter to the SEC complaining about the SEC position on Spot ETFs.  So he obviously can't move forward.  Same day @Grayscale moves forward on a SOL trust.  Did the SEC give them clarity on SOL?  @Grayscale dropped the XRP Trust. ???",en,1465765294903902222,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],61,187
[],33,2021-11-30 18:13:00 UTC,So @Grayscale you dropped XRP after the SEC suit came out.  How can you add SOL without the SEC giving you clarity that SOL is not a security? Doesn't this open you up to tremendous liability? @BarrySilbert @CoinDesk @CGasparino @EleanorTerrett @ProCoinNews @JohnEDeaton1  https://t.co/9AKRgLS7cZ,en,1465745694187216896,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],159,542
"['xrp', 'xrpthestandard']",9,2021-11-30 16:07:56 UTC,Shots Fired! SEC &amp; ETH / Bitcoin vs. Ripple / XRP Solana Gets Clarity(Where?) #xrp #xrpthestandard @ripple   https://t.co/w6DeBaHYRq,en,1465714220901834752,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],58,255
[],7,2021-11-30 15:40:34 UTC,Congress:  Who is giving @Grayscale Solana clarity?  They dropped the XRP Trust when the SEC suit hit. @RepTomEmmer @WarrenDavidson @SenLummis @RepMaloney @PatrickMcHenry @JohnEDeaton1 @CGasparino @EleanorTerrett,en,1465707332042592266,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],86,274
[],17,2021-11-30 14:30:35 UTC,Has the SEC told @Grayscale that Solana is not a security?  There is no way in this regulatory environment they do this with no clarity.  If they did get clarity then why isn't everyone else? @BarrySilbert @CoinDesk Remember they dropped the XRP Trust when the SEC suit came out.,en,1465689723289100296,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],108,336
"['xrp', 'xrpthestandard']",9,2021-11-29 22:03:37 UTC,MEDIA SILENCE On Fox Biz SEC &amp; ETH vs. Ripple / XRP / USA Coverage #xrp #xrpthestandard @ripple @CGasparino @EleanorTerrett @JohnEDeaton1   https://t.co/OTHLtzoIPH,en,1465441344999022603,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],71,270
"['xrp', 'xrpthestandard']",6,2021-11-29 14:53:25 UTC,Congress Watching👀👀: SEC &amp; ETH vs. Ripple / XRP / USA #xrp #xrpthestandard @ripple   https://t.co/gJ4HSeo6Y3,en,1465333079283748878,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],41,205
[],6,2021-11-29 14:03:19 UTC,"Joseph Grundfest  1.Helped ETH ""Create Reality"" Pre ICO(SEC loved the idea) 2. VCWG Member helped get SEC ETH Free Pass 3.Thought most ICOs were securities/frauds 4.Advised Clayton that going After XRP and not ETH would raise fundamental fairness questions about the SEC  https://t.co/vba5s50zee",en,1465320472548102148,digitalassetbuy,Digital Asset Investor Researcher/Wild Speculator,[],86,192
