created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 23:59:47 UTC,Ripple $XRP is going after all the money. Solving a multi trillion dollar problem. I believe #XRP will be no less than 3 digits in the near future.,iamrobertdobbs,['xrp'],['xrp'],263,1942,94
2021-11-28 11:17:22 UTC,It’s so clear that $XRP will be in everyone’s mouth in the near future. #XRPtheStandard,iamrobertdobbs,['xrpthestandard'],['xrp'],123,1043,29
2021-11-23 23:45:36 UTC,#NFTs on the XRPL? I’m in🤩! $XRP,iamrobertdobbs,['nfts'],['xrp'],13,116,9
2021-11-23 11:27:31 UTC,The SEC can’t stop the unstoppable. It’s all a show anyways 🍿 $XRP,iamrobertdobbs,[],['xrp'],70,788,36
2021-11-23 07:54:36 UTC,Price before settlement? $XRP  https://t.co/qSgQqARmVg,iamrobertdobbs,[],['xrp'],100,664,138
2021-11-18 10:07:28 UTC,The system is outdated. We need a better system $XRP,iamrobertdobbs,[],['xrp'],115,1062,27
2021-11-12 11:49:11 UTC,The longer they manipulate the price of $XRP the more explosive it will be when they activate the switch.,iamrobertdobbs,[],['xrp'],147,1341,63
2021-11-08 06:30:38 UTC,Yes $XRP is up today…but that is NOTHING compared to what’s coming and you know that😉,iamrobertdobbs,[],['xrp'],297,2639,77
2021-11-04 10:44:00 UTC,What price did you buy $XRP for the first time?,iamrobertdobbs,[],['xrp'],23,333,256
2021-11-01 00:33:59 UTC,Are you ready for the world reserve currency $XRP to take off?,iamrobertdobbs,[],['xrp'],311,2851,173
2021-10-31 10:42:40 UTC,#XRPArmy we need as many of you to Sign up and Share. $XRP,iamrobertdobbs,['xrparmy'],['xrp'],309,842,26
2021-10-30 22:11:49 UTC,$XRP is unstoppable and the SEC can do nothing about it.,iamrobertdobbs,[],['xrp'],493,3272,150
2021-10-27 19:05:57 UTC,#XRPArmy Make sure to sign up. $XRP,iamrobertdobbs,['xrparmy'],['xrp'],380,1214,60
2021-10-25 09:12:26 UTC,Anyone else having issues with their  not syncing or updating new transactions? $XRP,iamrobertdobbs,[],['xrp'],7,103,23
2021-10-21 10:03:19 UTC,Me waiting for 589 $XRP  https://t.co/eBQ5gaPVUF,iamrobertdobbs,[],['xrp'],43,440,238
2021-10-15 20:03:57 UTC,Soon the entire world $XRP  https://t.co/5jT4An3Psg,iamrobertdobbs,[],['xrp'],175,900,27
2021-10-14 19:55:57 UTC,$XRP was designed to go after all the money. This is why its so important for them to manipulate it’s price until they’re ready to activate the switch.,iamrobertdobbs,[],['xrp'],117,1086,48
2021-10-07 03:34:12 UTC,"$XRP will bring generational wealth but if we don't regain our freedom and take back our world, there will be nothing left to enjoy.",iamrobertdobbs,[],['xrp'],189,1548,86
2021-10-02 11:02:07 UTC,I believe Ripple $XRP will be replacing Swift regardless of this nonsense lawsuit. Nothing can stop what’s coming.,iamrobertdobbs,[],['xrp'],158,1391,65
2021-10-01 10:08:41 UTC,The real price of $XRP will destroy paradigms,iamrobertdobbs,[],['xrp'],101,1294,39
2021-09-30 20:19:54 UTC,Totally amazing 🔥#NFTs #XRP #XRPLedger,iamrobertdobbs,"['nfts', 'xrp', 'xrpledger']",[],12,64,2
2021-09-25 22:02:55 UTC,"Join me on Telegram to spread truth, $XRP and other eye opening topics. The Great Awakening is here.  https://t.co/K09sMizYKV",iamrobertdobbs,[],['xrp'],25,157,18
2021-09-25 21:53:39 UTC,Me waiting for $XRP to explode  https://t.co/9Ciu3J8kUc,iamrobertdobbs,[],['xrp'],215,1680,352
