replies_count,tweet,created_at,cashtags,username,name,id,retweets_count,likes_count,hashtags,language
28,Funny how the highest recorded $XRP ATH Price was $3.84   $XLM's 4.236 Fib Ext using ATH is that exact price.  I love coincidences.,2021-11-30 19:50:29 UTC,"['xrp', 'xlm']",kevin_cage_,Kevin Cage,1465770227006910468,79,928,[],en
5,THE MULTI-TRILLION GIANTS 🌕 #Ripple $XRP Stellar $XLM Algorand $ALGO Hedera Hashgraph $HBAR 📈 WATCH ALL ⏳  A must watch quick video  Thank you to all the Like &amp; Subscribe. Wouldn't be here without each &amp; every one of you 🙏   https://t.co/STRY5lHtZQ,2021-11-30 18:17:19 UTC,"['xrp', 'xlm', 'algo', 'hbar']",kevin_cage_,Kevin Cage,1465746782030385160,34,179,['ripple'],en
5,DBS (Huge Singapore Bank)  Largest bank in Southeast Asia by total assets.  Partners with Ripple &amp; on Hedera's Governing Council  $XRP trades on their digital exchange  Definitely going to add $HBAR at some point.,2021-11-30 18:11:51 UTC,"['xrp', 'hbar']",kevin_cage_,Kevin Cage,1465745404855824390,24,143,[],en
73,I'm shocked people still don't know about  Polysign  Standard Custody  XPool Patents + Tons of XRP Mentions in Patents of RippleNet Users  Ripple Liquidity Hub  43rd US Treasurer on Board  Dubai Regional HQ UAE Takeover in MENA DIFC Financial Hub  50+ Central Banks  PoCs  $XRP,2021-11-30 17:44:16 UTC,['xrp'],kevin_cage_,Kevin Cage,1465738462670295048,312,1484,[],en
40,$XRP will reach a max price range of _____ by May 2022  6 Months from now.,2021-11-30 17:09:40 UTC,['xrp'],kevin_cage_,Kevin Cage,1465729755676917761,16,89,[],en
14,"Remember WEF Document &amp; CBDCs  TIPS, TAS Group, EU RTGS - connected to Ripple $XRP  Alipay &amp; WeChat - connected to Dlocal (RippleNet) $XRP  M-Pesa - $XLM  CENTRE $USDC connected to $XLM $ALGO  Also that huge $HBAR news with Korea  $XRP $XLM $ALGO $HBAR  https://t.co/TVZN8US2eT",2021-11-30 16:26:15 UTC,"['xrp', 'xrp', 'xlm', 'usdc', 'xlm', 'algo', 'hbar', 'xrp', 'xlm', 'algo', 'hbar']",kevin_cage_,Kevin Cage,1465718828965453830,73,287,[],en
4,How Tokenization Is Changing the Way the Industry Thinks About Financial Transactions  $XRP $QNT $DAG #API3 $CSPR $HBAR $XLM $ALGO $FLR   https://t.co/ChaXqr8oq7,2021-11-30 15:56:41 UTC,"['xrp', 'qnt', 'dag', 'cspr', 'hbar', 'xlm', 'algo', 'flr']",kevin_cage_,Kevin Cage,1465711389687746573,21,81,['api3'],en
242,Most will give up on $XRP &amp; $XLM right before they wake up.,2021-11-30 15:36:04 UTC,"['xrp', 'xlm']",kevin_cage_,Kevin Cage,1465706199014277134,261,2654,[],en
781,No shaving until $XRP passes ATH.  Who's taking this challenge?,2021-11-29 17:47:42 UTC,['xrp'],kevin_cage_,Kevin Cage,1465376940144136196,247,3691,[],en
13,The last $XRP Purchase I did on iTrustCapital was when $XRP was $.22 almost 1 year ago.  0% Capital Gains in Roth IRA.  Not bad.  Linked below  https://t.co/acgTRNHkGB,2021-11-29 16:41:33 UTC,"['xrp', 'xrp']",kevin_cage_,Kevin Cage,1465360292746084353,4,101,[],en
