created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:02:06 UTC,"One of the reasons they sued Ripple was to actually TRY slow their growth down, Ripple is WAY AHEAD. They needed to slow them down while they boosted up their own projects.  This slowing of growth play is obviously not working ;)  New partners all the time...  $XRP #XRPCommunity",masonversluis,['xrpcommunity'],['xrp'],73,517,30
2021-11-30 04:44:42 UTC,Always remember ECO-FRIENDLY coins will ultimately win in the end 💎  $HBAR $XRP $XDC $ALGO $EWT and many more…,masonversluis,[],"['hbar', 'xrp', 'xdc', 'algo', 'ewt']",51,705,52
2021-11-29 21:37:06 UTC,TWITTER NEEDS TO ADD $XRP TIPPING NOT FREAKIN $ETH   I WANT TO BE ABLE TO SEND INSTANT FUNDS WITH NO FEES TO ANYBODY ANYWHERE GLOBALLY 🃏  LIKE AND RT IF YOU AGREE!,masonversluis,[],"['xrp', 'eth']",1297,4236,230
2021-11-26 14:57:17 UTC,WOW $XRP is under $1 😩😩😩  If we dont see anything happen in December I’m gonna be genuinely worried that we may have to literally wait for this entire lawsuit to be over to see any action 👀  But when we do it will be explosive 🧨,masonversluis,[],['xrp'],48,770,113
2021-11-26 06:25:27 UTC,Literally cannot believe that some people think $XRP is going to stay a $1 coin or is even fairly valued at $1 😂  Like it’s one of the most obvious choices on the entire market right now in my opinion ⌛️,masonversluis,[],['xrp'],87,1302,104
2021-11-25 18:05:39 UTC,Already did ;) we are on track with Ripple Decoding Part 8. Watch this part of my daily market update and you will see I explain it!   https://t.co/qefWOCnPHT,masonversluis,[],[],0,2,0
2021-11-25 07:16:47 UTC,99% of people hate on $XRP simply because they don’t understand it!  Do more researchhhhhhhhh ♥️,masonversluis,[],['xrp'],159,1717,111
2021-11-24 18:54:21 UTC,$XRP will be forever misunderstood :(   Hopefully one day it breaks that and is understood though!,masonversluis,[],['xrp'],23,230,13
2021-11-24 18:15:39 UTC,Because only people with brains are able to see $XRP for what it truly is. And see past the bullshit and lies surrounding it. It is one of the ONLY cryptos actually DOING SOMETHING and fighting for regulations in this space. Check my XRP tik tok playlist for 500 more reasons.,masonversluis,[],['xrp'],0,4,1
2021-11-23 19:26:41 UTC,"$XRP LAWSUIT SHOULD BE FINISHED ON APRIL 1ST, APRIL FOOLS DAY, OF 2022 BECAUSE THIS LAWSUIT IS A JOKE",masonversluis,[],['xrp'],76,1061,49
2021-11-23 05:44:10 UTC,The grand $XRP awakening is coming soon I can feel it ☄️,masonversluis,[],['xrp'],87,1005,55
