created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 14:36:31 UTC,I knew Gary was a c*ck-blocker.,x__anderson,[],[],0,42,2
2021-11-29 13:32:13 UTC,$XRP is the great value translator.,x__anderson,[],['xrp'],20,314,9
2021-11-29 10:00:01 UTC,"Consult with David first... he showed us his FX trades in the past,",x__anderson,[],[],0,9,0
2021-11-29 09:55:44 UTC,What happened if XRP was given legal clarity in the US... then BTC whales goes XRP/BTC selling their BTC for XRP.. since all projects are tied to BTC you would have a sea of red with only XRP being green...,x__anderson,[],[],9,62,5
2021-11-29 01:04:14 UTC,"Interestingly before Ripple decided what to focus their business on they contemplated a global digital ID system, smart-contracts or cross border payments, they chose the latter. Now Greg Kidd went into the ID business.",x__anderson,[],[],0,10,0
2021-11-28 21:52:35 UTC,Cheers my friend 🍻 we all start as noobs!,x__anderson,[],[],0,1,0
2021-11-28 20:42:58 UTC,"No, pertaining to the lawsuit. Just as a hypothetical scenario. When I listened to Gensler the first thing he mentioned was Ripple’s large XRP holdings as an argument for it being a security. I guess the idea would be that Ripple could sell XRP to fund/expand its business.",x__anderson,[],[],0,1,1
2021-11-28 20:34:28 UTC,It’s interesting that he even mentions XRP and with someone like him they are good at playing games... like when he pretended to not really know anything about btc even though he held since like 2013.,x__anderson,[],[],3,66,6
2021-11-28 20:11:43 UTC,Let’s have a hypothetical scenario: Ripple holding 0% XRP.,x__anderson,[],[],0,0,1
2021-11-28 16:41:28 UTC,People speculate that it would help for the lawsuit with the SEC if Ripple owned less XRP.,x__anderson,[],[],0,17,6
2021-11-28 16:09:18 UTC,He’s protecting Wall Street from superior technology and tries to make sure only Wall Street will be allowed to use crypto/stablecoins etc.,x__anderson,[],[],0,6,0
2021-11-28 03:38:56 UTC,Listen to Lagarde. They really don’t want any cryptos to compete with fiat. She brings up high energy consumption (pay attention) and CBDCs.   The central banks NEED to work with the private sector to achieve interoperability. Focus on those: $QNT $XRP etc,x__anderson,[],"['qnt', 'xrp']",81,390,36
2021-11-27 15:58:45 UTC,It would make all the sense in the world if the settlement product that Polysign are planning to come out with in 2022 would utilize Interledger + $XRP for settlement.,x__anderson,[],['xrp'],27,296,8
