created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 22:08:07 UTC,Bitrue Launched New $XRP Trading Pair: #XGOLD/#XRP  #XRPCommunity &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['xgold', 'xrp', 'xrpcommunity', 'crypto', 'bitrue']",['xrp'],24,106,12
2021-11-30 21:56:06 UTC,Which #XRP Ledger projects do you want to see on #BTR Vote to get listed on Bitrue?,xrpcryptowolf,"['xrp', 'btr']",[],4,36,10
2021-11-30 21:47:40 UTC,What are the best upcoming #XRP Ledger airdrops?,xrpcryptowolf,['xrp'],[],28,320,94
2021-11-30 21:30:50 UTC,"Inflation is only going to get worse with the new variants. Money printer is far from being turned off. Hedge with #XRP, crypto, real estate and precious metals",xrpcryptowolf,['xrp'],[],35,266,8
2021-11-30 21:04:03 UTC,#XRP needs to be over $1 for the monthly close today,xrpcryptowolf,['xrp'],[],16,349,23
2021-11-30 20:45:47 UTC,Gary Gensler and Jay Clayton will probably have a behind the scenes meeting to discuss how they messed up badly when they went after #Ripple,xrpcryptowolf,['ripple'],[],27,303,10
2021-11-30 19:57:27 UTC,Whoever is in charge of this Kraken account keeps hiding replies like a little bitch. All I asked was “when #XRP relisting?”,xrpcryptowolf,['xrp'],[],14,145,15
2021-11-30 19:18:49 UTC,When #XRP relisting?,xrpcryptowolf,['xrp'],[],19,174,8
2021-11-30 02:52:55 UTC,#XRP whale transferred $40 million $XRP to #Binance  https://t.co/qld16FcLkR,xrpcryptowolf,"['xrp', 'binance']",['xrp'],44,236,21
2021-11-30 02:44:34 UTC,"#XRP buyers are trying to break above the two-hour EMA55. If they manage to break through this strong resistance, then the growth might continue above the psychological level  https://t.co/s5Qp1Zzomo",xrpcryptowolf,['xrp'],[],17,98,4
2021-11-30 02:38:24 UTC,#Ripple is hiring a Quantitative Developer  The Quantitative Developer will partner closely with Institutional Markets team to help  understand the dynamics of FX + #Crypto markets  https://t.co/KuxUtJJLN5,xrpcryptowolf,"['ripple', 'crypto']",[],31,148,6
2021-11-29 22:35:18 UTC,Bitrue Launched New $XRP Trading Pair: #ELS/#XRP  #XRPCommunity &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['els', 'xrp', 'xrpcommunity', 'crypto', 'bitrue']",['xrp'],26,160,11
2021-11-29 22:20:34 UTC,Has anyone else noticed #XRP is a slut for $1? 🤣,xrpcryptowolf,['xrp'],[],37,888,81
2021-11-29 22:01:41 UTC,#XRP bears be like:  https://t.co/tAMKWX3o98,xrpcryptowolf,['xrp'],[],43,435,20
2021-11-29 21:34:47 UTC,#XRP loves $1 😂,xrpcryptowolf,['xrp'],[],23,502,55
2021-11-29 19:36:22 UTC,Xpool sounds way better than #Ripple Liquidity Hub,xrpcryptowolf,['ripple'],[],13,163,10
2021-11-29 19:33:17 UTC,When is Kraken relisting #XRP?,xrpcryptowolf,['xrp'],[],20,293,13
2021-11-29 06:39:01 UTC,Bitrue Launched Neos #NCR  #XRP Community &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['ncr', 'xrp', 'crypto', 'bitrue']",[],9,48,7
2021-11-29 06:35:02 UTC,Bitboy says the #Ripple Lawsuit is a sham and claims #XRP is going to explode post-lawsuit  https://t.co/2u1SlagAIy,xrpcryptowolf,"['ripple', 'xrp']",[],99,632,49
2021-11-29 06:30:14 UTC,"Former CFTC Chairman said under a fair application of the Howey test and the SEC’s presently expanding analysis, #XRP should not be regulated as a security, but instead considered a currency or a medium of exchange  https://t.co/hoo1M8gSoX",xrpcryptowolf,['xrp'],[],183,754,19
2021-11-29 06:24:09 UTC,Shark Tank Kevin O’Leary Says #XRP Lawsuit Is A Very Bad Idea  https://t.co/HR2AcSmJ6W,xrpcryptowolf,['xrp'],[],52,368,36
2021-11-29 06:19:58 UTC,The SEC v. #Ripple lawsuit has been moving favorably over the past few weeks  https://t.co/U5Ot0GgbDS,xrpcryptowolf,['ripple'],[],27,136,9
2021-11-29 06:16:10 UTC,"#Ripple is hiring a Program Manager for Developer Grants  #XRP Ledger Grants enables software developers to build inclusive standards, developer tools, and apps that leverage the #XRPL and #Blockchain  https://t.co/eJeUj3Wabj",xrpcryptowolf,"['ripple', 'xrp', 'xrpl', 'blockchain']",[],10,65,6
2021-11-28 19:26:29 UTC,#Ripple is hiring hundreds of employees worldwide that will expand #XRPL and #RippleNet. #XRP is in good hands,xrpcryptowolf,"['ripple', 'xrpl', 'ripplenet', 'xrp']",[],33,266,9
2021-11-28 18:56:58 UTC,#XRP has already melted faces before during the 2017-2018 bull run. People who experienced it know #XRP pumps the hardest and fastest,xrpcryptowolf,"['xrp', 'xrp']",[],27,302,14
2021-11-27 23:55:49 UTC,Bitrue Launched #XDC Network #XSP  #XRP Community &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['xdc', 'xsp', 'xrp', 'crypto', 'bitrue']",[],9,81,9
2021-11-27 23:45:03 UTC,"The #Ripple lawsuit is no longer causing hesitation among clients as they look to join #RippleNet, gain access to #XRP-powered liquidity, or develop their own national digital currency  https://t.co/C82xdoHAJU",xrpcryptowolf,"['ripple', 'ripplenet', 'xrp']",[],349,1457,31
2021-11-27 23:38:57 UTC,#XRP whales move large funds off exchanges in a few hours amid global #Cryptocurrency market correction  https://t.co/ghTlSIdN9B,xrpcryptowolf,"['xrp', 'cryptocurrency']",[],44,317,10
2021-11-27 23:30:30 UTC,"Anyone can issue various types of tokens in the #XRP Ledger, ranging from informal IOUs to fiat-backed stablecoins, purely digital fungible and semi-fungible tokens, and more  https://t.co/sxOLrF4LCm",xrpcryptowolf,['xrp'],[],23,101,3
2021-11-27 23:23:21 UTC,#Ripple is hiring a Director of Technical Services  https://t.co/8yRdeHI90k,xrpcryptowolf,['ripple'],[],8,60,7
2021-11-27 22:11:54 UTC,SEC won’t stop at #XRP and #ADA. They’re coming for everyone,xrpcryptowolf,"['xrp', 'ada']",[],54,468,27
2021-11-27 06:55:51 UTC,#XRP $5.89 price target confirmed 😂,xrpcryptowolf,['xrp'],[],14,344,15
2021-11-26 21:55:16 UTC,Bitrue Launched #XRP Ledger #ELS  #XRPCommunity &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['xrp', 'els', 'xrpcommunity', 'crypto', 'bitrue']",[],19,152,17
2021-11-26 21:28:05 UTC,Who’s buying the #XRP Black Friday sale?,xrpcryptowolf,['xrp'],[],50,960,93
2021-11-26 20:56:03 UTC,Hopefully nobody shilled #XRP and crypto at Thanksgiving only to have your family get rekt on Black Friday 🤣,xrpcryptowolf,['xrp'],[],21,334,17
2021-11-26 20:35:27 UTC,#XRP The Standard 😂,xrpcryptowolf,['xrp'],[],2,139,2
2021-11-26 20:17:04 UTC,#XRP whales clearly sold to go Black Friday shopping no worries 🤣,xrpcryptowolf,['xrp'],[],16,302,18
2021-11-26 19:59:58 UTC,SEC pretended to be friends with #Ripple just for gaining information in which to sue them. How shady is that?,xrpcryptowolf,['ripple'],[],42,453,22
2021-11-26 19:25:49 UTC,Many banks across the world are already using #Ripple’s #RippleNet so they’re able to use #XRP whenever we get regulatory clarity,xrpcryptowolf,"['ripple', 'ripplenet', 'xrp']",[],16,113,9
2021-11-26 19:22:12 UTC,Who thinks the #Ripple/#XRP lawsuit is just smoke and mirrors?,xrpcryptowolf,"['ripple', 'xrp']",[],11,261,34
2021-11-26 19:11:58 UTC,SEC knew exactly what they were doing when they attacked #Ripple and #XRP in order to protect #Ethereum,xrpcryptowolf,"['ripple', 'xrp', 'ethereum']",[],15,96,3
2021-11-26 19:06:28 UTC,I’m thankful for #Ripple for always building on the #XRPL and contributing to the #XRP ecosystem,xrpcryptowolf,"['ripple', 'xrpl', 'xrp']",[],8,87,6
2021-11-26 02:34:38 UTC,Anonymous Whale Transferred 60 Million #XRP Between Various Exchanges  https://t.co/S1R4Mr0k7s,xrpcryptowolf,['xrp'],[],85,343,14
2021-11-26 02:29:18 UTC,"FOX Business investigative report revealed new tie-ups in the SEC vs. #Ripple case, including Gensler’s huge role before he joined the SEC  https://t.co/09X7tp9TgW",xrpcryptowolf,['ripple'],[],168,528,15
2021-11-26 02:25:57 UTC,New Investigation Reveals SEC vs. #Ripple Case Has More To It Than Just #XRP  Andreessen Horowitz has also been identified as one of the key players protecting Ethereum and nudging the SEC on which way to regulate the space  https://t.co/ZfUNgcbjNR,xrpcryptowolf,"['ripple', 'xrp']",[],78,263,8
2021-11-26 02:21:02 UTC,"Panther Raises $22 Million To Build Privacy Protocol On #Ripple backed Near, Ethereum, Polygon, Flare, Songbird And More  https://t.co/YHAttHQwuG",xrpcryptowolf,['ripple'],[],58,202,7
2021-11-26 02:16:24 UTC,#Ripple says the Republic of Palau chose the #XRP Ledger to create its digital currency due to its efficiency and environmental friendliness and will launch in the first half of 2022  https://t.co/4xv0sVf6U0,xrpcryptowolf,"['ripple', 'xrp']",[],55,277,2
2021-11-26 02:06:23 UTC,#Ripple CEO  Says He Wouldn’t Hold #Dogecoin  https://t.co/mEkywKH7nz,xrpcryptowolf,"['ripple', 'dogecoin']",[],16,84,9
2021-11-26 02:01:35 UTC,#Ripple is hiring a Director of Infosec Governance Risk and Compliance  https://t.co/yhGSO0DU2T,xrpcryptowolf,['ripple'],[],29,148,3
2021-11-25 22:05:44 UTC,Bitrue Is Launching #XRP Ledger #SOLO  #XRPCommunity &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/PnJbh09U8z,xrpcryptowolf,"['xrp', 'solo', 'xrpcommunity', 'crypto', 'bitrue']",[],21,134,12
2021-11-25 21:58:38 UTC,Happy Thanksgiving #XRP Community 🙏  https://t.co/uUZ8xxjFOd,xrpcryptowolf,['xrp'],[],22,250,5
2021-11-25 21:53:43 UTC,I’m thankful for #XRP because it ended up creating the #XRPArmy which is the best community ever,xrpcryptowolf,"['xrp', 'xrparmy']",[],70,842,29
2021-11-25 21:45:36 UTC,Who’s going to shill #XRP and crypto to their family at Thanksgiving? 😂,xrpcryptowolf,['xrp'],[],12,316,48
2021-11-25 21:35:26 UTC,Don’t be surprised when #XRP skyrockets just like #GALA,xrpcryptowolf,"['xrp', 'gala']",[],88,1167,74
2021-11-25 21:20:39 UTC,I’m extremely thankful for the #XRP community and how much they’ve changed my life 🙏,xrpcryptowolf,['xrp'],[],21,466,9
2021-11-25 20:41:16 UTC,An amazing message from legendary #XRP community member Hodor,xrpcryptowolf,['xrp'],[],5,55,3
2021-11-25 19:41:57 UTC,Never expected to see #XRP community legend Hodor tweet. Hope all has been well and enjoying life to the fullest 🙏,xrpcryptowolf,['xrp'],[],2,70,1
2021-11-25 19:20:35 UTC,#XRP Community 🙏,xrpcryptowolf,['xrp'],[],16,300,10
2021-11-25 18:52:34 UTC,"Happy Thanksgiving to everyone that contributes to the #XRP community, ecosystem and #Ripple 🙏",xrpcryptowolf,"['xrp', 'ripple']",[],23,358,7
2021-11-25 18:45:27 UTC,The SEC could have given us a Happy Thanksgiving by withdrawing the #XRP lawsuit but you didn’t so just shut your mouth Gary Gensler,xrpcryptowolf,['xrp'],[],21,322,13
2021-11-25 04:32:32 UTC,#Ripple said an #XRP Ledger US dollar-backed stablecoin could provide countries like Palau a viable alternative to central bank digital currencies  https://t.co/JmPsXPMRaI,xrpcryptowolf,"['ripple', 'xrp']",[],61,267,7
2021-11-25 03:23:00 UTC,#Ripple CEO  praises Judge Netburn in #XRP lawsuit.  has scored many wins throughout the SEC lawsuit so far on account of Judge Netburn’s rulings  https://t.co/lAy5Z3KaBY,xrpcryptowolf,"['ripple', 'xrp']",[],185,943,13
2021-11-25 03:19:03 UTC,Fox Business published Regulatory riddle: An investigation into the SEC v. #Ripple case and its consequences for #Crypto  https://t.co/pZuTzWYDQa,xrpcryptowolf,"['ripple', 'crypto']",[],12,99,3
2021-11-25 03:14:22 UTC,#Ripple CEO  Is Optimistic About The #XRP Lawsuit Outcome  https://t.co/fuCMbQlBfb,xrpcryptowolf,"['ripple', 'xrp']",[],27,121,3
2021-11-25 03:11:15 UTC,#Ripple is trending!  https://t.co/c6qmCZRQrJ,xrpcryptowolf,['ripple'],[],93,533,21
2021-11-25 03:06:41 UTC,#Ripple CEO  Says  Is Making Good Progress In #XRP Lawsuit  https://t.co/xEjsLsK9Hm,xrpcryptowolf,"['ripple', 'xrp']",[],13,111,6
2021-11-25 03:00:42 UTC,"#Ripple had a blockbuster year with #XRP ODL expansion &amp; MENA traction, and are gearing up to hire a few hundred people next year to fuel 's growth  https://t.co/SZgLuSXHlb",xrpcryptowolf,"['ripple', 'xrp']",[],27,104,4
2021-11-25 02:55:39 UTC,Coinbase CEO To Speak On JPMorgan Event After Bombshell Report On #Ripple And #XRP  https://t.co/txoriM2eGN,xrpcryptowolf,"['ripple', 'xrp']",[],36,148,8
2021-11-25 02:51:19 UTC,#Ripple CEO  blasts #Dogecoin for having an unlimited supply  https://t.co/8EUNbj6eR6,xrpcryptowolf,"['ripple', 'dogecoin']",[],27,134,12
2021-11-25 02:46:43 UTC,"#Ripple CEO  Throws Shade At #Dogecoin, Considers It Bad For The #Crypto Market  https://t.co/iLAoga4j0U",xrpcryptowolf,"['ripple', 'dogecoin', 'crypto']",[],9,48,8
2021-11-25 02:42:13 UTC,#Ripple CEO  says that the direction of travel is very positive overall for #Crypto regulations around the globe  https://t.co/b08tscmL1y,xrpcryptowolf,"['ripple', 'crypto']",[],12,51,4
2021-11-25 02:36:16 UTC,"Live, Laugh, Love &amp; Buy #XRP",xrpcryptowolf,['xrp'],[],7,116,1
2021-11-25 02:32:16 UTC,"#Ripple is hiring an Applied Scientist   Applied Scientist will build automated systems for delivering #Crypto liquidity to customers instantly, easily, efficiently and cost-effectively  https://t.co/kRlIc48oHF",xrpcryptowolf,"['ripple', 'crypto']",[],16,73,4
2021-11-25 02:05:11 UTC,Happy Thanksgiving Eve #XRP Community 🙏,xrpcryptowolf,['xrp'],[],42,474,12
2021-11-24 23:36:34 UTC,#Ripple and #XRP could help the US become the number 1 crypto country in the world but our own government chooses to be shady instead of allowing innovation to flourish,xrpcryptowolf,"['ripple', 'xrp']",[],51,336,17
2021-11-24 22:15:14 UTC,Bitrue Is Launching #XRP Ledger #ELS  #XRPCommunity &amp; All #Crypto Investors I Highly Recommend To Sign Up For #Bitrue (Click Link Below) 👇👇👇👇👇👇👇👇👇👇👇👇👇  https://t.co/70Myuq1C2A,xrpcryptowolf,"['xrp', 'els', 'xrpcommunity', 'crypto', 'bitrue']",[],41,268,22
