created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 21:10:38 UTC,When I speak take it in  My vision comes from within  Ten years from now  You will see and wonder how  This technology went Global 🌍 Changed everything at its disposal  Helped billions around the world  Have identifies build invest unturned #Cardano community love u all 💙,cryptoireland1,['cardano'],[],171,286,19
2021-11-30 20:18:19 UTC,Zoom out have a good 5 year plan and you can change your life forever and also change the world 🌎 #Cardano &amp; #Crypto 🌍,cryptoireland1,"['cardano', 'crypto']",[],9,74,2
2021-11-30 19:39:30 UTC,Yes tomorrow is $ADA pay day 🤜🤛🍻,cryptoireland1,[],['ada'],2,106,3
2021-11-30 19:14:48 UTC,#Cardano research it 😎  https://t.co/NHI6x7Skeh,cryptoireland1,['cardano'],[],8,47,0
2021-11-30 19:03:19 UTC,If you don't think your still early in crypto stand out on any busy street and start asking people do they know what a crypto private key is 99% won't know 😉  You are still very early  #Cardano has a huge future ahead and so do all the other good protocols #Decentralization,cryptoireland1,"['cardano', 'decentralization']",[],18,127,4
2021-11-30 18:56:09 UTC,#Cardano always have a plan and will never stop evolving,cryptoireland1,['cardano'],[],1,4,1
2021-11-30 17:18:50 UTC,Was just thinking about what you said yes I do get paid by #Cardano and its every 5 days  You can to all you got to do is stake 😉,cryptoireland1,['cardano'],[],0,9,1
2021-11-30 16:53:02 UTC,The number of active addresses on the #Cardano network doubled in numbers in November ☝💥💥💥 #Cardano #ADA WORLD ADOPTION COMING 💥💥💥,cryptoireland1,"['cardano', 'cardano', 'ada']",[],72,437,6
2021-11-30 16:14:42 UTC,#Cardano will be the most innovative technology of the 21st century 🤜🤛🦾 still very early 😉 #ADA #Cardano $ADA  https://t.co/y1hVHP5A00,cryptoireland1,"['cardano', 'ada', 'cardano']",['ada'],36,256,11
2021-11-30 13:26:44 UTC,#Cardano going for number one all day everyday and it will succeed 💪,cryptoireland1,['cardano'],[],43,426,17
2021-11-30 11:34:41 UTC,Liqwid v1 Roadmap Update 💥 #Cardano #ADA   https://t.co/8P09ifLTdI,cryptoireland1,"['cardano', 'ada']",[],7,69,3
2021-11-29 23:00:06 UTC,Your keys 🔑 your #ADA 🤜🤛☘,cryptoireland1,['ada'],[],0,3,0
2021-11-29 21:31:41 UTC,F The fed we now have Crypto  #Cardano freedom ☘  https://t.co/stBoihQT5r,cryptoireland1,['cardano'],[],11,57,3
2021-11-29 21:08:49 UTC,#Cardano &amp; #Crypto will change the architecture of the Internet itself 😎💥💥💥 #CardanoCommunity #ADA,cryptoireland1,"['cardano', 'crypto', 'cardanocommunity', 'ada']",[],8,145,3
2021-11-29 21:01:13 UTC,Not your keys Not your $ADA  It's that simple 😎  https://t.co/Q7p7wXzsk3,cryptoireland1,[],['ada'],16,128,5
2021-11-29 20:53:50 UTC,#Cardano competition isn't in the crypto space 🪐✨,cryptoireland1,['cardano'],[],14,173,7
2021-11-29 19:34:20 UTC,#Cardano Developers Introduce New Upgrade As Network Moves Into Next Phase of Roadmap  #ADA #Cardano $ADA  https://t.co/YIaoQuSoqj,cryptoireland1,"['cardano', 'ada', 'cardano']",['ada'],34,231,1
2021-11-29 17:58:36 UTC,The biggest scam ever perpetrated on the human race  #Cardano is the future ✨  https://t.co/H2yxCuIrp1,cryptoireland1,['cardano'],[],7,49,1
2021-11-29 17:38:19 UTC,Only a few Cryptos will go on to change the world 🌎 #Cardano is one of them ✨✨✨ $ADA ✨✨  https://t.co/bJqVDSZVlv,cryptoireland1,['cardano'],['ada'],29,211,6
2021-11-29 17:30:46 UTC,Project Catalyst – Fund8 Strategic Goals – $16M in #ADA  #Cardano we can vote we have a say the future will be bright as day                 ✨✨✨,cryptoireland1,"['ada', 'cardano']",[],22,190,4
2021-11-29 16:12:58 UTC,$ADA &amp; $COTI partners and friends  2 coins I'll hold till the end 💎🙌,cryptoireland1,[],"['ada', 'coti']",34,417,10
2021-11-29 16:01:06 UTC,ErgoDEX: A Decentralized Interoperable Exchange – Part II #Cardano #DEX  https://t.co/BsdBRmsfry  via  👀🤜🤛,cryptoireland1,"['cardano', 'dex']",[],4,26,1
2021-11-29 12:57:31 UTC,What is NFT and why do we experiment with it? 😎✨✨✨ #cardano #ADA #CNFTCommunity #CardanoCommunity $ADA #CNFTs  https://t.co/7XKpOqiXO8,cryptoireland1,"['cardano', 'ada', 'cnftcommunity', 'cardanocommunity', 'cnfts']",['ada'],4,22,1
2021-11-29 12:50:20 UTC,#Cardano has the most decentralized block production in the crypto space 🪐✨ #CardanoCommunity #ADA #ADA,cryptoireland1,"['cardano', 'cardanocommunity', 'ada', 'ada']",[],14,103,2
2021-11-29 12:33:51 UTC,The future for the $ADA Coin is huge fucking huge 🦾💥💥💥 #ADA #Cardano $ADA  #CardanoCommunity #DEX #DeFi,cryptoireland1,"['ada', 'cardano', 'cardanocommunity', 'dex', 'defi']","['ada', 'ada']",12,494,12
2021-11-29 09:49:26 UTC,The passion In #Cardano and the #CardanoCommunity to change the world 🌎 is unreal ✨✨✨✨                   #ADA                       💙         #Decentralisation,cryptoireland1,"['cardano', 'cardanocommunity', 'ada', 'decentralisation']",[],13,220,7
2021-11-29 09:45:33 UTC,I'll hold the $ADA coin forever 🕊,cryptoireland1,[],['ada'],47,623,35
2021-11-29 09:26:14 UTC,#Cardano Fan Names Newborn Son After Favorite Cryptocurrency #ADA #CARDANO $ADA  https://t.co/EujNzVQ1zy via,cryptoireland1,"['cardano', 'ada', 'cardano']",['ada'],4,53,1
