created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:22:25 UTC,"Follow us on Instagram for exclusive content. Meet members of Input Output senior leadership, look back at the Cardano 2021 Summit, and more you won't want to miss over the coming months. Our handle is @ iohkofficial.  https://t.co/z5fhB5fKBV",inputoutputhk,[],[],45,223,5
2021-11-30 19:30:05 UTC,"ICYMI: Every last Thursday of the month,  and team bring you the latest view across the #Cardano universe with #Cardano360. Catch the latest November edition with the freshest news &amp; feature content from the growing ecosystem👇    https://t.co/5Ynv6L2Pet",inputoutputhk,"['cardano', 'cardano360']",[],44,240,2
2021-11-30 18:45:02 UTC,"ICYMI: After a successful start to #Cardano’s #smartcontract era, this week we’ll see the first in a program of network adjustments to help support future growth in traffic.   $ADA  https://t.co/peiqfeOe9a",inputoutputhk,"['cardano', 'smartcontract']",['ada'],122,637,17
2021-11-30 14:55:01 UTC,ICYMI: #Defi will drive demand on #Cardano. Read how our research team is looking at mechanisms to offer fair fees and provide throughput for every user as we grow 📖    https://t.co/9v3T3VaZwH,inputoutputhk,"['defi', 'cardano']",[],105,500,16
2021-11-28 08:58:00 UTC,"🛠️ Are you #BuildingOnCardano?  🤔 Got a technical question?  👀 Looking for answers to support development?  👉 Sign up to #Cardano Stack Exchange (it only takes a minute!), bring your questions and the community will answer!   https://t.co/UsI2iCxK7M",inputoutputhk,"['buildingoncardano', 'cardano']",[],45,288,11
2021-11-26 22:34:23 UTC,"NEW BLOG: Here, research fellow Philip Lazos explores a tiered #Cardano pricing model that extends &amp; clarifies the multiplier concept introduced in the stablefees idea. The result? Predictable &amp; low fees that manage demand while remaining fair.   https://t.co/9v3T3VsAVh",inputoutputhk,['cardano'],[],232,1097,46
2021-11-26 20:15:03 UTC,"Every Friday, we publish our weekly #Cardano development update. So for the lowdown on what IOG's dev team has been working on last week, head on over and take a look👇  https://t.co/ozTRBaAP2w  https://t.co/OowFGnjN7u",inputoutputhk,['cardano'],[],81,431,19
2021-11-26 14:55:03 UTC,"LISTEN UP: You can now catch up with the latest #Cardano development updates on the go with #Cardano360 on  🎧   Find an audio version of the very latest edition of our monthly show for your listening pleasure &amp; be sure to follow, like &amp; share!  https://t.co/eRGfW0B5Pm",inputoutputhk,"['cardano', 'cardano360']",[],70,317,9
2021-11-25 21:13:39 UTC,"NEW BLOG: #DeFi has shown how to disrupt financial ‘legacy’ systems and establish an new paradigm. Now it's time to close the divide between people who can easily access financial products, and those who cannot. Welcome to #RealFi #Cardano $ADA   https://t.co/3JiPnsCh08",inputoutputhk,"['defi', 'realfi', 'cardano']",['ada'],169,748,25
2021-11-25 18:37:40 UTC,LIVE NOW:  &amp;  in a discussion on cross-chain #Ethereum to #Cardano #NFT bridge.   Join here:  https://t.co/5Ynv6L2Pet #Cardano360  https://t.co/Zlggm2E8AK,inputoutputhk,"['ethereum', 'cardano', 'nft', 'cardano360']",[],34,168,8
2021-11-25 17:56:50 UTC,"#ProjectCatalyst, #Cardano’s community-driven innovation engine continues to grow &amp; evolve as we enter a new funding round. Hear the latest update from the man leading the way to Cardano decentralized governance, Dor Garbash👇    https://t.co/5Ynv6L2Pet #Cardano360  https://t.co/qZTLGagN76",inputoutputhk,"['projectcatalyst', 'cardano', 'cardano360']",[],42,254,4
2021-11-25 17:46:21 UTC,We’re busy testing the $AGIX ERC-20 converter and making good progress.  from  dropped by for a chat.   Live now on our Youtube channel ⬇️  https://t.co/b6aSxfZ7qc   #Cardano360 #Cardano $ADA  https://t.co/LlJJKknoDw,inputoutputhk,"['cardano360', 'cardano']","['agix', 'ada']",95,471,16
2021-11-25 17:34:16 UTC,LIVE NOW: We recently released a second version of the PAB.   Join to hear the latest from Nigel Hemsley :  https://t.co/5Ynv6L2Pet    #Cardano360 #Cardano #SmartContracts  https://t.co/OhtMTzDg6z,inputoutputhk,"['cardano360', 'cardano', 'smartcontracts']",[],118,498,14
2021-11-25 15:00:48 UTC,"IOHK &amp;  will never ask you for money, your password or your passphrase. We do not conduct giveaways.⛔  When you come across a suspicious account or a website, report it to Cardano Fraud Detection Bureau &amp; help the community stay safe!  🙏   https://t.co/x7mez4o1MM",inputoutputhk,[],[],54,288,3
2021-11-25 12:07:17 UTC,"Essential Cardano, the  ecosystem repo for all things #Cardano continues to grow🌱    https://t.co/Rb7KWkimft",inputoutputhk,['cardano'],[],57,333,8
2021-11-25 09:10:12 UTC,Join us later today for the brand new edition of our monthly #Cardano360 show with all the freshest updates from the #Cardano universe 🌍   Subscribe to our Youtube to be alerted! 🔔   https://t.co/b6aSxfZ7qc  https://t.co/eXiLcPAj4T,inputoutputhk,"['cardano360', 'cardano']",[],95,474,16
