created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:48:06 UTC,Great Day 1 wrap-up of  by ! Stay tuned for the recap of Day 2 🙌,algorand,[],[],21,168,5
2021-11-30 18:52:17 UTC,. has announced the launch of its $500M ALGO Fund II! This new fund will focus on investing in digital assets powering the next generation of dApps on top of #Algorand 👉  https://t.co/R2IrTrp74A   https://t.co/A8l0LaoFHG,algorand,['algorand'],[],174,686,28
2021-11-30 15:22:20 UTC,Packed room for Algorand COO  at !   Watch live 👉  https://t.co/4c1Z6T0A3n #Decipher  https://t.co/DdOs1bTxOr,algorand,['decipher'],[],77,495,9
2021-11-30 13:38:13 UTC,"2/ As part of our commitment to set the standard for #sustainable blockchain, we are also excited to share that  is fully carbon neutral! All carbon impacts associated with the event are being offset through the  marketplace 🍃 #greencrypto",algorand,"['sustainable', 'greencrypto']",[],22,159,4
2021-11-30 13:38:12 UTC,"1/  announced the launch of the Green Treasury, a #blockchain oracle that will enable builders, businesses and investors on the #Algorand platform to instantly offset their carbon footprint on the blockchain ecosystem:  https://t.co/aWNzfVOJGw 🌱  https://t.co/7dhTBhhbeK",algorand,"['blockchain', 'algorand']",[],84,351,10
2021-11-30 03:07:32 UTC,That's a wrap on Day 1 of ! See you all tomorrow for Day 2 🙌  https://t.co/x7TqAIxMqO,algorand,[],[],86,559,20
2021-11-29 21:50:47 UTC,". is bringing to life next-gen fan experiences on #Algorand with the launch of their #NFT marketplace! Check out the #MannyVerse, featuring 13 rare 3D avatars of Algorand 13th Pilot  released with  &amp;  at #Decipher today.  https://t.co/2Zhfqdhag2",algorand,"['algorand', 'nft', 'mannyverse', 'decipher']",[],88,336,4
2021-11-29 21:10:13 UTC,""" has executed the first-ever music synchronization license smart contract on the Algorand blockchain!"" -    Live at #Decipher 👉  https://t.co/4c1Z6SIZbP  https://t.co/Q34AZjNyTv",algorand,['decipher'],[],68,327,6
2021-11-29 19:32:37 UTC,"“The launch of Hivemind’s venture represents an exciting new milestone in serious players entering the #Algorand &amp; broader blockchain ecosystem. Hivemind will change the way organizations are using blockchain to transform businesses"" -   Read more 👇 https://t.co/QGls98zprM",algorand,['algorand'],[],149,554,18
2021-11-29 18:53:15 UTC,"UNLOX announced they are leveraging the #Algorand blockchain to launch 5 new future-of-finance marketplaces! This groundbreaking initiative will bring millions of customers, transaction volume and value on-chain 👉  https://t.co/pexvMYDjVq    https://t.co/YGGeObCE1K",algorand,['algorand'],[],153,553,24
2021-11-29 15:52:41 UTC,"""Our focus here is continual advancement and taking advantage of our unique protocol capabilities. We are focused on building the best execution environment and programming model possible for our developers."" -   📺  https://t.co/4c1Z6SIZbP #Decipher  https://t.co/aPccTBOfr6",algorand,['decipher'],[],64,306,4
2021-11-29 15:33:14 UTC,Standing room only for  at ! Watch our Founder live 👉  https://t.co/4c1Z6SIZbP #Decipher  https://t.co/K8DJtccnoH,algorand,['decipher'],[],119,625,19
2021-11-29 15:01:13 UTC,Big News from :  has selected Miami as the first major U.S. city for deployment of their air quality sensors 🍃🌱,algorand,[],[],114,593,19
2021-11-29 14:49:10 UTC,"We are now LIVE at  in Miami! November 29 - 30, leaders from across the Algorand ecosystem come together to #Decipher the future on Algorand.   Watch the livestream 👉  https://t.co/4c1Z6SIZbP  https://t.co/t3ncWDNKsd",algorand,['decipher'],[],101,409,23
2021-11-29 13:30:05 UTC,T-1 hour until Mayor  takes the stage to kick off !   Not in Miami? Join the livestream 👉  https://t.co/1NTzFSVwVB #Decipher  https://t.co/hEBUFinvQZ,algorand,['decipher'],[],54,252,13
2021-11-29 12:34:41 UTC,". has launched, enabling interoperability with a gateway bridge between the Bitcoin and Ethereum networks and Algorand! BTC &amp; ETH users will now experience the speed, scalability and low cost of all transactions on the Algorand blockchain 👇  https://t.co/HlRTKmXhGY",algorand,[],[],142,580,20
2021-11-29 12:04:59 UTC,"Gm Miami. Ready for ? Doors open at 8am, see you soon 😎 #Decipher  https://t.co/J3yp5cKo53",algorand,['decipher'],[],69,511,23
2021-11-29 11:24:11 UTC,. is pioneering #DeFi 2.0 with Algo Option Vaults on !,algorand,['defi'],[],40,218,2
2021-11-27 15:35:02 UTC,". kicks off in 2 days!  📢 Reminder to all attendees joining us live in Miami: Make sure to collect your unique #AlgoGator NFT ticket. At the door, you will be asked to show proof of your asset within your Algorand Wallet. #Decipher  https://t.co/eQBxR3lxiI",algorand,"['algogator', 'decipher']",[],90,400,20
2021-11-26 19:15:01 UTC,"ICYMI:  announced the closing of their $10M  https://t.co/Lk1WAuNdx3 focused on , a decentralized global air quality monitoring network on the #Algorand blockchain. Read more 👇  https://t.co/G1qAptFCWO",algorand,['algorand'],[],71,306,13
2021-11-26 15:44:16 UTC,"Good catch! This is just one of many of our prototypes, but you’re absolutely right. We posted a version with an ETH looking address as we explore how different ways of shortening the Algorand addresses look at the top of the page (capitalization, ellipses, etc.)",algorand,[],[],0,40,3
2021-11-26 14:05:03 UTC,Enjoy this sneak peek prototype of what’s coming next to the official Algorand Wallet 👀  Which #NFT are you most excited to show off? Comment below 👇  https://t.co/MK6a1isehn,algorand,['nft'],[],256,1052,129
2021-11-25 22:30:03 UTC,"On Dec 2nd,  will be hosting #PreMoney2021 in Miami! Featuring established leaders in private markets &amp; beyond, conversations will focus on optimizing investment, value creation &amp; more.    Request an invite:  https://t.co/aCx60CZhc4 Get 10% off:  https://t.co/Zx2STkZSgz  https://t.co/SdcOQ72mdc",algorand,['premoney2021'],[],45,234,4
2021-11-25 19:30:03 UTC,ICYMI:  is leveraging #Algorand technology to bring cross-chain collateral management to #DeFi. Read more via  👇  https://t.co/7yAMwjxqc9,algorand,"['algorand', 'defi']",[],46,248,1
2021-11-25 16:11:03 UTC,4 days to go. Who are you most excited to hear from at ?   See the all-star speaker lineup 👉  https://t.co/66Jjt14bVG #Decipher  https://t.co/X8QzzC14mR,algorand,['decipher'],[],104,495,35
2021-11-23 19:57:14 UTC,Starting in a couple minutes!  takes over Algorand's #developer office hour to walk through how to integrate their APIs into the #Algorand protocol for an all-in-one payment solution 👉  https://t.co/yozf4RWZfl?  https://t.co/CElICYITPS,algorand,"['developer', 'algorand']",[],49,272,8
2021-11-23 15:53:36 UTC,TODAY at 3pm EST!  takes over developer office hours to talk about their newest integration with Algorand. Sign up now 👉  https://t.co/b45SG4ELBH,algorand,[],[],32,203,3
2021-11-23 14:11:17 UTC,"Happening now: Tune in to ’s webinar on Central Bank Digital Currency! ’s Co-Pierre Georg is joined by key leaders from , ,  and  👉  https://t.co/NKEn5sQjPA #CBDC  https://t.co/Un2RgkYXa3",algorand,['cbdc'],[],54,272,9
2021-11-22 19:33:13 UTC,Now LIVE! Quickly &amp; easily deploy 's robust &amp; simple to integrate APIs 🙌,algorand,[],[],51,283,4
2021-11-22 15:32:23 UTC,"With 1 week to go until #Decipher, it’s giveaway time!  1⃣ Retweet this 2⃣ Follow  3⃣ Reply to this tweet with what you’re looking forward to the most 4⃣ Fill out this form:  https://t.co/YbA5Ck4Fvz  After 24 hours, 3 winners will be selected and sent a gift box 🎉  https://t.co/5xBNqWqGqD",algorand,['decipher'],[],475,715,390
2021-11-21 21:08:29 UTC,The LoveChain has kicked off their first #NFT competition! Find out how you can participate 👇 #NFTLove,algorand,"['nft', 'nftlove']",[],72,284,8
2021-11-20 15:45:02 UTC,"ICYMI: Limited tickets for the Hollywood film premiere of “The Elevator” including a Meet and Greet with the cast were sold as #NFTs on , an NFT marketplace built on Algorand. Read more 👉  https://t.co/M2mTkxpjJU  https://t.co/E710h36gdi",algorand,['nfts'],[],51,273,11
2021-11-19 21:35:02 UTC,ICYMI:  is teaming up with  to release a Certified Carbon-Negative #NFT Series on the #Algorand blockchain! Check out the initial series before it drops on  tomorrow morning 👉  https://t.co/GtnM4ow8H4  https://t.co/R1FZ95Whsf,algorand,"['nft', 'algorand']",[],71,238,16
2021-11-19 20:28:34 UTC,"Game developers: this new solution walks through how to use Algo Builder, #PyTeal and  to build player authentication into your next #gaming dApp. Check it out 👉  https://t.co/tbJf7420oF",algorand,"['pyteal', 'gaming']",[],60,236,6
2021-11-19 16:00:23 UTC,Only 10 days until  🚀,algorand,[],[],111,470,14
2021-11-19 14:01:07 UTC,. is building the world’s first NetZero climate wallet powered by #Algorand 🍃🌱,algorand,['algorand'],[],80,381,8
2021-11-18 20:08:20 UTC,"5/ Lastly, big thank you to ,   and Ink Hunter for making this all happen! Explore the entire collection 👉  https://t.co/4Jyjybsx9l   Learn more here 👉  https://t.co/pNIvApQvYx",algorand,[],[],9,77,3
2021-11-18 20:08:19 UTC,4/  Virtual VIPs  — we haven’t forgotten about you! Stay tuned for a forthcoming email on how to claim your Algo Gator #NFT for #Decipher 👀  https://t.co/IQZ7fQq2eg,algorand,"['nft', 'decipher']",[],16,120,7
2021-11-18 20:08:18 UTC,"3/ With Algorand’s commitment to #sustainable blockchain, the Algo Gators will also support ’s plant-a-tree Conservation Program in Australia 🌳  10 trees will be planted for each #AlgoGator — that's 8,880 trees in total!  https://t.co/J7TNtKWNYt",algorand,"['sustainable', 'algogator']",[],6,50,1
2021-11-18 20:08:17 UTC,2/ Each #AlgoGator is a randomly generated 1/1 #NFT.  No two Algo Gators are the same — each has a unique set of traits (some rarer than others) which make them each special 🐊  https://t.co/OrmfrI9HxP,algorand,"['algogator', 'nft']",[],4,44,1
2021-11-18 20:08:16 UTC,"1/ You may have noticed that #AlgoGator #NFTs have officially joined ! Created in collaboration with , the first 444 Algo Gators will be used as tickets for those attending LIVE in Miami 🌴  https://t.co/0ha3sBK6OI",algorand,"['algogator', 'nfts']",[],57,318,15
2021-11-18 17:09:20 UTC,Proud to have  as our partner! #greencrypto 🍃,algorand,['greencrypto'],[],237,563,38
