created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 16:10:37 UTC,Yes but I’m wearing algorand socks,arrington,[],[],0,4,0
2021-11-29 16:01:16 UTC,Big deal!,arrington,[],[],0,12,0
2021-11-29 16:00:22 UTC,Stole this pillow from the Algorand . Just walked out with it. Confidence is key. Thanks   https://t.co/yx7deqeVou,arrington,[],[],26,410,43
2021-11-29 14:33:44 UTC,Algorand has arrived in Miami!    https://t.co/uvTRzE7g8x,arrington,[],[],84,519,15
2021-11-29 12:07:49 UTC,I'm interviewing  at the Algorand  event in a couple of hours. What would you like for me to ask him?,arrington,[],[],17,283,53
2021-11-29 04:10:34 UTC,We threw a party tonight to begin the   conference. Lovely having everyone. Below is   and .  https://t.co/7e6kmeSWZx,arrington,[],[],81,673,24
2021-11-22 18:44:50 UTC,Algorand Project Raises $3.6M to Make Cross-Chain DeFi Friendly for Big Investors  https://t.co/xUrrPMAED4,arrington,[],[],19,126,3
2021-11-13 17:22:00 UTC,Oh crap that was supposed to be a DM. Looking forward to the dinner!,arrington,[],[],1,18,1
2021-11-13 15:19:57 UTC,Ok but maybe without  hah,arrington,[],[],0,16,2
2021-11-13 06:09:52 UTC,I’m pretty sure I can arrange a dinner with   and us. He’s always curious and everything he says is so cool.,arrington,[],[],2,95,5
2021-11-04 17:02:53 UTC,Why Algorand? by   https://t.co/yAebJ6RYbf,arrington,[],[],36,165,18
2021-10-31 02:28:00 UTC,I don’t feel large but then I see these pictures and wonder,arrington,[],[],0,0,0
2021-10-31 02:23:11 UTC,Simpler times: Me with   and  in SF in…2019? My phone just tossed this up on my Home Screen.   https://t.co/XCPjbEkNBd,arrington,[],[],18,245,14
2021-10-20 18:21:21 UTC,"Excited to be joining  at #Decipher in Miami on November 29-30th! Register today for this inaugural two-day experience that will bring the community of builders, businesses, investors &amp; innovators together to decipher the future on #Algorand:  https://t.co/LiKatseUch  https://t.co/DCA0mrcbYH",arrington,"['decipher', 'algorand']",[],19,105,2
2021-10-11 20:07:33 UTC,"Using words like “die to protect” are what gets our people jumpy.  Also, we have never sold a single ALGO as far as I’m aware. But even if we had, these threats are out of line.",arrington,[],[],0,1,0
2021-10-07 15:59:26 UTC,DeFi for the Small Guy: Algorand-Based Tinyman Raises $2.5M Ahead of DEX Launch  https://t.co/WHJC2qPGOg via,arrington,[],[],24,119,5
2021-09-13 19:22:26 UTC,Why are you surprised? This is the best one.,arrington,[],[],1,7,1
2021-09-13 19:17:42 UTC,So you’re saying that I’m lying that we bought it?,arrington,[],[],0,1,1
2021-09-13 16:15:03 UTC,I would,arrington,[],[],0,21,0
2021-09-13 15:57:29 UTC,Lots happening with  this week so making a profile pic change to an #algobot 🚀🌕#NewProfilePic  https://t.co/KmKXxqoJ3v,arrington,"['algobot', 'newprofilepic']",[],67,479,33
2021-09-07 16:02:01 UTC,awesome.,arrington,[],[],2,18,1
