created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-22 17:13:59 UTC,I think this is what $AVAX is saying to $BTC right now  https://t.co/2SYHYPvx1E,intocryptoverse,[],"['avax', 'btc']",102,1660,191
2021-11-21 16:01:02 UTC,$AVAX: A Parabolic Rally  https://t.co/SrW1aN7AGg,intocryptoverse,[],['avax'],16,277,142
2021-11-21 14:18:33 UTC,$AVAX is pulling a $SOL,intocryptoverse,[],"['avax', 'sol']",105,2154,279
2021-11-21 14:00:12 UTC,$AVAX flipped $DOGE 🚀🚀🚀,intocryptoverse,[],"['avax', 'doge']",173,2801,300
2021-11-20 23:21:13 UTC,$AVAX is coming for you too $DOGE  https://t.co/zOupubsGPz,intocryptoverse,[],"['avax', 'doge']",111,1465,188
2021-11-20 15:47:12 UTC,$AVAX has flipped $SHIB Utility &gt; Memes,intocryptoverse,[],"['avax', 'shib']",306,4011,328
2021-11-20 04:13:41 UTC,$AVAX is coming for you $SHIB,intocryptoverse,[],"['avax', 'shib']",98,2166,273
2021-11-17 22:08:56 UTC,$AVAX: Green In A Sea Of Red  https://t.co/NgZ8yszzGm,intocryptoverse,[],['avax'],17,201,37
2021-11-17 18:12:58 UTC,Stake and earn rewards on your $AVAX with ITC:  https://t.co/9mmvGAo0xi,intocryptoverse,[],['avax'],12,124,25
2021-11-16 22:08:04 UTC,$AVAX is not aware of any dip,intocryptoverse,[],['avax'],102,2261,160
2021-11-16 05:12:18 UTC,$AVAX up 1.69% on the week.  https://t.co/Zee67XmAG3,intocryptoverse,[],['avax'],19,349,55
2021-11-15 03:34:11 UTC,Stake your $AVAX and earn rewards with Into The Cryptoverse:   https://t.co/9mmvGAo0xi,intocryptoverse,[],['avax'],20,141,28
2021-11-13 16:38:36 UTC,A modest 69M $ADA and 292k $AVAX staked with ITC!    https://t.co/PvYSPsUr4O  https://t.co/vrj6wYGY60,intocryptoverse,[],"['ada', 'avax']",15,379,42
2021-11-12 01:28:10 UTC,Subscribe to my youtube channel for data-driven insights on $BTC $ETH $ADA $DOT $AVAX $LINK and more!   https://t.co/FICZecLgl7,intocryptoverse,[],"['btc', 'eth', 'ada', 'dot', 'avax', 'link']",28,412,57
2021-11-09 06:04:00 UTC,Stake your $AVAX and $ADA with the ITC stake pools:  https://t.co/PvYSPsCPGe,intocryptoverse,[],"['avax', 'ada']",18,202,37
2021-11-08 14:10:56 UTC,"Houston, we have $100 $AVAX cleared for landing",intocryptoverse,[],['avax'],39,882,37
2021-11-07 23:11:54 UTC,$100 $AVAX is inevitable,intocryptoverse,[],['avax'],84,1350,88
2021-11-07 17:10:01 UTC,Pick One $BTC $ETH $DOT $AVAX $ADA $LINK,intocryptoverse,[],"['btc', 'eth', 'dot', 'avax', 'ada', 'link']",32,331,231
