created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-26 11:28:09 UTC,Normally would say it’s because I use AVAX,kyled116,[],[],0,126,7
2021-11-22 22:29:17 UTC,Bear market? Never heard of her.   $AVAX SZN  https://t.co/HVOGjpdDcx,kyled116,[],['avax'],22,482,56
2021-11-20 09:20:49 UTC,"As you described, I agree there are tradeoffs. I hold all (that I'm aware of) of my NFT's on ETH L1. For DEX trading, for me it's on ETH L2 Starkware or other L1's like Avalanche. For games, it's mixed, some have their own chain others on other L1's or L2's.",kyled116,[],[],4,17,2
2021-11-20 05:51:09 UTC,"Lmfao I’m locked up in $AVAX for years. If I want to take a dump, I’ll take it later thx.",kyled116,[],['avax'],37,903,38
2021-11-19 11:01:12 UTC,Zero confusion what season it is  $AVAX  https://t.co/8uAF3LZusT,kyled116,[],['avax'],30,589,32
2021-11-17 04:20:34 UTC,$SOL for summer  $AVAX for winter   Know your seasons,kyled116,[],"['sol', 'avax']",227,2805,178
2021-10-25 23:22:24 UTC,Fat thesis on L1’s getting fatter  $SOL $AVAX $ALGO,kyled116,[],"['sol', 'avax', 'algo']",48,836,65
2021-09-27 23:26:30 UTC,"The smart contract chain race is seeing some pull ahead of the peloton. $AVAX, $SOL, #Starkware",kyled116,['starkware'],"['avax', 'sol']",12,280,19
2021-09-24 10:23:38 UTC,"I am reasonably confident that the next big crypto wave is gaming. I am equally reasonably confident that this will be on Avalanche, Solana, and ETH L2's.",kyled116,[],[],259,2728,335
2021-09-16 00:50:11 UTC,$AVAX is how #ETHEREUM scales,kyled116,['ethereum'],['avax'],131,1194,121
