created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-27 18:26:17 UTC,"$AVAX   Nice push from compression, certainly remains a stronger asset after this pullback  Not immune to come back down if BTC and ETH continue to downside  Still think we could see $118+ soon  https://t.co/cQAhRPm2C6",rager,[],['avax'],11,105,19
2021-11-24 03:06:01 UTC,"$AVAX  Dang, they got us again  Need to remember to take more profits next time  https://t.co/oCunvhuhSR",rager,[],['avax'],32,474,33
2021-11-22 16:18:39 UTC,$AVAX is an absolute beast up 120% while $BTC and $ETH continue to range over this month  https://t.co/PtYw2oj7By,rager,[],"['avax', 'btc', 'eth']",30,384,36
2021-11-22 15:59:10 UTC,$AVAX  Retest of the support with nice follow through to the upside  I think we see AVAX retest and move back over $140 here as long as Bitcoin doesn't ruin the party  Though AVAX has been extremely strong even during these market pullbacks  https://t.co/HWl6W5J2VA,rager,[],['avax'],8,97,8
2021-11-21 15:36:39 UTC,"I get you, thats when they move elsewhere or cash out  But I think fundamentals are importnat - like ETH and AVAX over BSC anyday  But If I can make money on BSC I will put my money there   Thats what ppl care about even if it seems like they're here for the wrong reason",rager,[],[],0,3,1
2021-11-21 14:09:04 UTC,"I'd be salty if I didn't hold any AVAX too  ""no real users"" you say  cause youve actually done the research and looked at the numbers with the billions of liquidity on chain",rager,[],[],0,0,1
2021-11-21 13:15:21 UTC,"Purely my opinion on $AVAX, while I expect pullbacks and take-profits from early investors  I really don't see why AVAX has topped yet with a potential double from here (over weeks/months)  It's a realistic target",rager,[],['avax'],7,60,6
2021-11-21 13:10:58 UTC,"Just how high can $AVAX go?  Currently sitting at #11 in market cap at $30B  With the amount of capital moving into Avalanche along with the increased number of projects being built to attract more users  IMO, AVAX has all the ingredients needed to move up to $SOL mcap at $60B+  https://t.co/dXdOzjXYe8",rager,[],"['avax', 'sol']",20,155,19
2021-11-21 12:37:12 UTC,gm  Especially to all those holding $AVAX here at $136+,rager,[],['avax'],6,203,21
2021-11-20 18:56:46 UTC,$AVAX faster reaction than expected   New highs -$128  https://t.co/oejNtLJABB,rager,[],['avax'],11,74,5
