created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 23:11:15 UTC,"You had me in the first half, not gonna lie",intocryptoverse,[],[],6,406,21
2021-11-30 22:02:52 UTC,Will #Bitcoin pump going into the monthly close?,intocryptoverse,['bitcoin'],[],41,1440,278
2021-11-30 17:33:52 UTC,$ETH still looking strong against $BTC,intocryptoverse,[],"['eth', 'btc']",97,2318,119
2021-11-30 17:00:38 UTC,I think this is the going to be the #Bitcoin cycle of analysts constantly moving the goal post after all their crazy price-predictions do not pan out in the time frame they promised they would.  Oh wait that has been happening all year already.,intocryptoverse,['bitcoin'],[],95,1667,130
2021-11-30 16:36:17 UTC,#Bitcoin longs and shorts getting rekt today.  But why should today be any different than every other day?,intocryptoverse,['bitcoin'],[],48,1268,215
2021-11-30 15:26:54 UTC,#Bitcoin needs to get to $61.4k to close the month green. Will it make it?,intocryptoverse,['bitcoin'],[],85,2198,457
2021-11-30 05:19:41 UTC,#Bitcoin Risk Metric:  https://t.co/k6vb0oLk82,intocryptoverse,['bitcoin'],[],26,257,55
2021-11-29 22:24:38 UTC,Props to  for helping #Bitcoin hold the line,intocryptoverse,['bitcoin'],[],94,2811,91
2021-11-29 22:11:39 UTC,Approximately 26 hours until the monthly close. Can #Bitcoin close above $61.4k to close the month green?,intocryptoverse,['bitcoin'],[],126,2547,280
2021-11-29 20:35:22 UTC,Pretty nice bounce by #Bitcoin off of the bull market support band  https://t.co/DG8rideCXB,intocryptoverse,['bitcoin'],[],104,1619,95
2021-11-29 18:42:42 UTC,Will #Bitcoin have a monthly close above a modest $60k?,intocryptoverse,['bitcoin'],[],15,190,66
2021-11-29 17:49:33 UTC,The second leg to the #Bitcoin market cycle has not even begun yet.,intocryptoverse,['bitcoin'],[],229,3354,133
2021-11-29 17:15:04 UTC,#Bitcoin BACK to $58k,intocryptoverse,['bitcoin'],[],88,2396,163
2021-11-29 02:19:46 UTC,#Bitcoin bull market support band update:  https://t.co/usfkyQgo83,intocryptoverse,['bitcoin'],[],27,327,51
2021-11-29 02:14:56 UTC,#Bitcoin is up 6% in the last 24 hours.  #Gold is down 6% year-to-date  #Bitcoin is up over 1 million percent over the last decade  #Gold is down 0.21% over the last decade.  You choose your store of value.,intocryptoverse,"['bitcoin', 'gold', 'bitcoin', 'gold']",[],669,5004,291
2021-11-29 00:15:04 UTC,The #Bitcoin market cycle *IS NOT* over.  Lengthening cycles will prevail,intocryptoverse,['bitcoin'],[],177,3036,123
2021-11-28 23:42:42 UTC,Who is watching the weekly #Bitcoin close?,intocryptoverse,['bitcoin'],[],80,3204,326
2021-11-28 22:47:35 UTC,"#Bitcoin back from the pits of hell, as Bitcoiners come out from their caves once again",intocryptoverse,['bitcoin'],[],112,2317,149
2021-11-28 22:37:22 UTC,"Ah yes, the ol' #Bitcoin pump going into the weekly close",intocryptoverse,['bitcoin'],[],75,2176,105
2021-11-28 15:49:53 UTC,Will #Bitcoin close the week above $55k?,intocryptoverse,['bitcoin'],[],19,257,215
2021-11-28 15:19:16 UTC,You think #Bitcoin can at least give us a pump going into the weekly close?,intocryptoverse,['bitcoin'],[],78,2543,410
2021-11-28 13:36:19 UTC,#Bitcoin pep talk  https://t.co/iK7L3w1kt1,intocryptoverse,['bitcoin'],[],21,316,37
2021-11-28 04:56:33 UTC,The price of #Bitcoin 1 year ago was $17k.  Do not miss the forest for the trees.,intocryptoverse,['bitcoin'],[],246,3732,183
2021-11-28 04:41:02 UTC,Better late than never,intocryptoverse,[],[],20,1356,43
2021-11-27 21:50:21 UTC,This is you back in September before #Bitcoin rallied to new all-time-highs.  Go whine somewhere else.  https://t.co/S8pQeyVZcJ,intocryptoverse,['bitcoin'],[],1,13,3
2021-11-27 21:26:35 UTC,The next edition of #Bitcoin: The Beauty of Mathematics is only 4 days away🥳,intocryptoverse,['bitcoin'],[],91,1772,107
2021-11-27 17:38:54 UTC,Can I get some #Bitcoin vodka in some #Ethereum juice?,intocryptoverse,"['bitcoin', 'ethereum']",[],12,947,35
2021-11-27 17:30:11 UTC,Will #Bitcoin put in a new all time high in December?,intocryptoverse,['bitcoin'],[],22,238,125
2021-11-27 16:07:38 UTC,I love #Bitcoin fear. We know what usually comes next,intocryptoverse,['bitcoin'],[],400,5900,323
2021-11-27 16:04:05 UTC,$GOLD is down over the last 10 years. #Bitcoin is up over 1 million percent.  Do you math at all or nah?,intocryptoverse,['bitcoin'],['gold'],15,343,27
2021-11-27 04:59:50 UTC,#Bitcoin: Dubious Speculation  https://t.co/3mmm5EQhiQ,intocryptoverse,['bitcoin'],[],16,317,46
2021-11-26 20:58:00 UTC,#Bitcoin lengthening cycles will prevail.   Time is on our side,intocryptoverse,['bitcoin'],[],177,3217,150
2021-11-26 20:10:00 UTC,#Bitcoin miner revenue overlaid with price  https://t.co/D2d6945HJH,intocryptoverse,['bitcoin'],[],27,383,84
2021-11-26 19:56:46 UTC,"The fact that people even debate that #Gold is a better store of value than #Bitcoin is comical.  #Bitcoin YTD: 86.75% #Gold YTD: -5.95%  #Bitcoin 10 Year Return: 1,987,088% #Gold 10 Year Return: -0.21%",intocryptoverse,"['gold', 'bitcoin', 'bitcoin', 'gold', 'bitcoin', 'gold']",[],379,2546,190
2021-11-26 19:29:46 UTC,"Not all days are up for #Bitcoin, but the general direction is still up",intocryptoverse,['bitcoin'],[],87,1584,56
2021-11-26 14:44:17 UTC,Hold the line #Bitcoin!  https://t.co/BhFO2b8BE5,intocryptoverse,['bitcoin'],[],233,2971,174
2021-11-26 14:08:26 UTC,"#Bitcoin YTD: 86.75% #Gold YTD: -5.95%  #Bitcoin 10 Year Return: 1,987,088% #Gold 10 Year Return: -0.21%",intocryptoverse,"['bitcoin', 'gold', 'bitcoin', 'gold']",[],386,5867,205
2021-11-26 04:04:32 UTC,#Bitcoin hash rate overlaid with price.  https://t.co/2yhZA4FJZ4,intocryptoverse,['bitcoin'],[],50,768,79
2021-11-26 01:34:11 UTC,A #Bitcoin Thanksgiving  https://t.co/gW3P4FkyQB,intocryptoverse,['bitcoin'],[],30,210,23
2021-11-25 23:36:46 UTC,#Bitcoin unique addresses overlaid with price  https://t.co/lthvZFAF81,intocryptoverse,['bitcoin'],[],45,691,53
2021-11-25 22:55:56 UTC,#Bitcoin transaction fees overlaid with price.  https://t.co/7dzIGeyNMz,intocryptoverse,['bitcoin'],[],92,981,79
2021-11-25 17:59:49 UTC,Bitcoin goes up and down but mostly up,intocryptoverse,[],[],32,912,139
2021-11-25 17:52:56 UTC,What happens first? $BTC $ETH,intocryptoverse,[],"['btc', 'eth']",34,230,85
2021-11-25 16:16:30 UTC,Send it ser,intocryptoverse,[],[],2,337,11
2021-11-25 15:15:20 UTC,"#Bitcoin bears are going to get rekt whenever #Bitcoin breaks out into the second leg of this market cycle.  We have a bit more consolidating at prices roughly around the prior all-time-high, but #Bitcoin's strength will return again this cycle, and the market will be in awe.",intocryptoverse,"['bitcoin', 'bitcoin', 'bitcoin']",[],144,1862,157
2021-11-25 14:41:27 UTC,"#Bitcoin market cycle has now unofficially lengthened by 1 week compared to the last cycle, as measured from market cycle bottom.  Only technically a lengthened cycle after we put in a new all-time-high, which is only a matter of time.  https://t.co/lqF4IxqsOy",intocryptoverse,['bitcoin'],[],92,1010,55
2021-11-25 14:13:18 UTC,The subtle price prediction shifts are coming #Bitcoin  https://t.co/YjOpDllj1O,intocryptoverse,['bitcoin'],[],79,1485,97
2021-11-25 13:51:02 UTC,"Those that called for the #Bitcoin market cycle peak to be in April, September, and October were wrong.  Those who said November would be the peak will also be wrong.",intocryptoverse,['bitcoin'],[],88,1572,123
2021-11-25 13:38:09 UTC,"I can't imagine #Bitcoin goes up $6.7k/day for 6 days straight, but I like your optimism.",intocryptoverse,['bitcoin'],[],0,137,8
2021-11-25 13:36:14 UTC,$69k #Bitcoin is *NOT* the market cycle top.,intocryptoverse,['bitcoin'],[],249,4073,198
2021-11-25 01:03:14 UTC,"#Bitcoin may be down 16% from the all-time-high but it is up 2% in the last hour, which is nice.",intocryptoverse,['bitcoin'],[],73,1645,101
2021-11-25 00:49:55 UTC,#Bitcoin is *BACK* to 58k,intocryptoverse,['bitcoin'],[],118,2210,222
2021-11-25 00:21:28 UTC,"#Bitcoin is in accumulation, not distribution",intocryptoverse,['bitcoin'],[],199,3184,143
2021-11-24 18:22:48 UTC,$55k #Bitcoin is still holding strong as support,intocryptoverse,['bitcoin'],[],128,2152,139
2021-11-24 13:41:18 UTC,#Bitcoin Market Cycle Outlook: A Collaboration with    https://t.co/FLeoUaq0Pa,intocryptoverse,['bitcoin'],[],30,325,38
2021-11-23 22:08:36 UTC,We never said the journey to $100k #Bitcoin would be easy,intocryptoverse,['bitcoin'],[],152,3094,272
2021-11-23 20:41:59 UTC,#Bitcoin volatility is just calming down so we can all enjoy the world #chess championship that starts tomorrow,intocryptoverse,"['bitcoin', 'chess']",[],51,1379,126
2021-11-23 20:38:28 UTC,The second #Bitcoin leg has not even started yet.   Some of you act like it's almost over.,intocryptoverse,['bitcoin'],[],371,4796,279
2021-11-23 17:16:40 UTC,This is how I imagine most of crypto twitter will be in 2022 once their 2021 #Bitcoin price predictions do not pan out  https://t.co/1pIPmqZfQG,intocryptoverse,['bitcoin'],[],113,2141,185
2021-11-23 16:13:02 UTC,I said we would hold the 20W SMA above $20k (sustainable $20k) by Q4 2021 at the earliest. That is when it happened. We held the line at 20W SMA above $20k for the first time in Q4. Take your trolling somewhere else,intocryptoverse,[],[],0,14,1
2021-11-23 05:23:56 UTC,"As we said for years, there is no reason #Bitcoin has to go parabolic in Q4 2021 just because it did so in Q4 2017.  The good news is that 2022 is &lt;40 days away.   Lengthening cycles will stand the test of time",intocryptoverse,['bitcoin'],[],197,3097,185
2021-11-22 20:55:12 UTC,Let's hold the line! #Bitcoin  https://t.co/mdgt6wSrpb,intocryptoverse,['bitcoin'],[],146,2248,227
2021-11-22 19:31:07 UTC,"Can we just focus on seeing if #Bitcoin can stay above the 20W SMA, rather than people constantly screaming $98k in one week?",intocryptoverse,['bitcoin'],[],133,2962,433
2021-11-22 17:13:59 UTC,I think this is what $AVAX is saying to $BTC right now  https://t.co/2SYHYPvx1E,intocryptoverse,[],"['avax', 'btc']",102,1660,191
2021-11-22 17:01:21 UTC,Is #Bitcoin going to test the bull market support band?,intocryptoverse,['bitcoin'],[],13,145,156
2021-11-22 13:58:33 UTC,#Bitcoin is great at wiping out leverage in both directions before continuing its move.  Don’t miss the forest for the trees,intocryptoverse,['bitcoin'],[],86,1561,127
2021-11-22 13:38:46 UTC,#Bitcoin just pumped $2500 in like 5 minutes,intocryptoverse,['bitcoin'],[],283,5055,644
