created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 15:05:19 UTC,"Last night on national television,  &amp; I discussed the similarities between currency &amp; blood, the role of money &amp; oxygen, the risks of inflation, the dire consequences of a currency collapse, &amp; the need for #Bitcoin.  https://t.co/YnlUOiKfaS",saylor,['bitcoin'],[],2864,12964,1082
2021-11-30 13:20:58 UTC,"“Look, If you had one shot, or one opportunity, to seize everything you ever wanted, in one moment, would you capture it, or just let it slip?” -  on #Bitcoin",saylor,['bitcoin'],[],3143,23170,1604
2021-11-29 13:03:58 UTC,"MicroStrategy has purchased an additional 7,002 bitcoins for ~$414.4 million in cash at an average price of ~$59,187 per #bitcoin. As of 11/29/21 we #hodl ~121,044 bitcoins acquired for ~$3.57 billion at an average price of ~$29,534 per bitcoin. $MSTR  https://t.co/OA8VWG1bZX",saylor,"['bitcoin', 'hodl']",['mstr'],9682,49079,3865
2021-11-29 12:48:56 UTC,The #Bitcoin Also Rises,saylor,['bitcoin'],[],801,10317,692
2021-11-29 01:12:25 UTC,#Bitcoin never sleeps.,saylor,['bitcoin'],[],1667,15094,1183
2021-11-28 15:18:11 UTC,You do not sell your #bitcoin.,saylor,['bitcoin'],[],59,976,32
2021-11-28 14:36:57 UTC,I love #bitcoin on #twitter.,saylor,"['bitcoin', 'twitter']",[],331,5539,177
2021-11-28 14:07:17 UTC,The future doesn't belong to the fainthearted. #Bitcoin,saylor,['bitcoin'],[],1225,10796,822
2021-11-28 01:03:51 UTC,Public Service Announcement: Every hour my team reports 10-15 scammer YouTube videos impersonating me or  that offer free bitcoin rewards. They pop up as fast as we can have them removed. ☹️  Only trade #bitcoin on a legitimate exchange you trust.  https://t.co/SuwlBcWEbx,saylor,['bitcoin'],[],817,6344,565
2021-11-27 17:31:37 UTC,Everyone has double-digit inflation if they measure it correctly and needs #Bitcoin more than they realize.  https://t.co/Y7l2E1qdN5,saylor,['bitcoin'],[],1489,7752,507
2021-11-27 17:11:44 UTC,"If you are a small business, this is a great time to consider converting your balance sheet to a #Bitcoin Standard. It will give you an edge vs. your competitors and protection vs. inflation in our current uncertain economic environment. #Bitcoin is  https://t.co/kZl3k7Tm4h.",saylor,"['bitcoin', 'bitcoin']",[],100,744,34
2021-11-27 14:04:28 UTC,"Regardless of whether you are a pessimist or optimist, the answer is still #Bitcoin.",saylor,['bitcoin'],[],1301,12153,883
2021-11-27 00:30:40 UTC,"#Bitcoin represents the digital transformation of economic energy, shifting control of commerce from the traditional (expensive &amp; slow) institutions of the 20th century to the software (cheap &amp; fast) networks of the 21st century.",saylor,['bitcoin'],[],112,1043,21
2021-11-26 19:27:24 UTC,#Bitcoin offers better inflation protection than #Gold and is growing faster than #BigTech.  https://t.co/Y11riBSJ3c,saylor,"['bitcoin', 'gold', 'bigtech']",[],703,5350,569
2021-11-26 14:10:45 UTC,"“The trick is, when there is nothing to do, do nothing."" - Warren Buffett on #Bitcoin",saylor,['bitcoin'],[],1783,14601,863
2021-11-26 00:24:07 UTC,"#Bitcoin is the only property you can truly own, as well as the first technology capable of granting property rights to everyone on earth. In time, we will come to understand that it is concentrated energy in digital form and critical to the progression of our civilization.",saylor,['bitcoin'],[],419,2784,212
2021-11-25 23:29:51 UTC,Checklist for a currency crisis: Convert weak currency (TRY) to strong currency (USD). Convert analog currency to digital currency (Stablecoin). Convert analog property to digital property (#BTC). Take custody of your digital currency &amp; digital property.  https://t.co/4S1QPXPULM,saylor,['btc'],[],683,4712,337
2021-11-25 13:50:29 UTC,Happy Thanksgiving. Buy #Bitcoin. Don’t be a #Turkey.,saylor,"['bitcoin', 'turkey']",[],3105,24319,1597
2021-11-24 19:27:50 UTC,Welcome to Team #Bitcoin.,saylor,['bitcoin'],[],8,285,1
2021-11-24 16:23:24 UTC,"As #Bitcoin miners come public via the US capital markets they create a bridge between the traditional assets of the past and the digital assets of the future, accelerating institutional adoption of BTC as Digital Property. Congrats  and $ARBK.   https://t.co/twsdXNeHMC",saylor,['bitcoin'],['arbk'],951,4191,449
2021-11-24 13:56:35 UTC,#Bitcoin is Digital Property and is going to be adopted as a Store of Value asset in every nation that allows citizens to own private property. A #Stablecoin is Digital Currency for use as a Medium of Exchange and will be issued by chartered banks.  https://t.co/bfbm2Yplk6,saylor,"['bitcoin', 'stablecoin']",[],749,4410,366
2021-11-24 13:11:45 UTC,"In a world where everyone is dissipating energy, you need to conserve yours. #Bitcoin",saylor,['bitcoin'],[],1063,9072,657
2021-11-23 19:13:47 UTC,"Ironically, #Bitcoin mining is the least energy intensive of all real world industries. Every other industry requires more energy in aggregate and more energy per unit of value created. Consider planes, trains, automobiles, food, buildings, banking, &amp; war in the real world...",saylor,['bitcoin'],[],69,636,25
2021-11-23 14:14:23 UTC,"The problem is clear to see, and getting worse. It is also not isolated to Turkey (see Argentina et al.). The best solution available to corporations, families, &amp; individuals in economies with collapsing currencies is #Bitcoin.",saylor,['bitcoin'],[],341,2234,236
2021-11-23 13:41:47 UTC,"""The Turkish lira traded at an all-time low of 12.50 lira to $1, having depreciated another 7% Tuesday.""  If you want to survive, convert your working capital from TRY to USD. If you want to thrive, convert all your capital from TRY to #BTC.  https://t.co/HN0PoLIImg",saylor,['btc'],[],1760,9774,796
2021-11-23 13:16:14 UTC,Life finds a way. #Bitcoin,saylor,['bitcoin'],[],1021,9374,924
2021-11-22 18:26:05 UTC,Everyday another superstar joins Team #Bitcoin.,saylor,['bitcoin'],[],773,6683,550
2021-11-22 18:24:15 UTC,Well played. Welcome to Team #Bitcoin.,saylor,['bitcoin'],[],54,1297,32
2021-11-22 14:13:20 UTC,Just #Bitcoin.,saylor,['bitcoin'],[],14,290,27
2021-11-22 13:27:40 UTC,Just #Bitcoin.,saylor,['bitcoin'],[],1446,15582,1294
2021-11-21 23:20:08 UTC,#Bitcoin is universally acknowledged as community property and sets the standard for a decentralized digital asset. Everything else in the crypto economy should be judged by the bitcoin standard when considering the question of whether the token is property or a security.,saylor,['bitcoin'],[],128,1526,59
2021-11-21 19:35:05 UTC,"In August 2020,  adopted the #Bitcoin Standard, transforming their balance sheet from traditional cash &amp; credit to $BTC in order to shield themselves from inflation and gain an edge in the marketplace. Their story is inspirational. 🌻  https://t.co/MzZjEmLT7o",saylor,['bitcoin'],['btc'],589,3795,327
2021-11-21 14:27:54 UTC,The path of least resistance is #bitcoin.,saylor,['bitcoin'],[],919,9515,598
