created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 12:50:30 UTC,#CRO RIP. Here comes #KASTA.,themooncarl,"['cro', 'kasta']",[],74,1046,364
2021-11-29 12:22:53 UTC,Pick one:  #CRO  #CEL #CHSB #KASTA #NEXO  Which one did I miss? 👇🏻👇🏻👇🏻,themooncarl,"['cro', 'cel', 'chsb', 'kasta', 'nexo']",[],96,858,843
2021-11-28 22:06:22 UTC,Any $CRO fans out there?  You’ll LOVE 👉🏻,themooncarl,[],['cro'],21,463,103
2021-11-26 14:43:30 UTC,Will #CRO hit $1 in before the end of November or was that the top already?,themooncarl,['cro'],[],27,407,104
2021-11-26 09:00:26 UTC,"#CRO tanking, maybe was a bit overextended??? 👀",themooncarl,['cro'],[],10,333,90
2021-11-26 07:54:07 UTC,Will  be able to overtake  https://t.co/1ZrGDje3tl?   No       Probably         Yes  👇            👇               👇,themooncarl,[],[],34,515,155
2021-11-25 17:19:59 UTC,Biggest coins sorted by Twitter followers:  1: #BNB  6.2M 2: #Bitcoin  3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO  1.2M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M 11: #Kasta 60k  Tag you favorite Twitter community below! 👇🏻👇🏻👇🏻,themooncarl,"['bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana', 'kasta']",[],321,1856,767
2021-11-25 10:55:56 UTC,If #CRO does not hit $1 before the end of this year then I’ll delete this tweet...  And if  is not top 100 on CoinMarketCap by the end of NEXT year then I'll delete my Twitter...,themooncarl,['cro'],[],57,591,177
2021-11-25 09:49:00 UTC,Pick one:  #CRO #CEL #CHSB #KASTA #NEXO  Which one did I miss? 👇🏻👇🏻👇🏻,themooncarl,"['cro', 'cel', 'chsb', 'kasta', 'nexo']",[],80,625,760
2021-11-25 09:13:57 UTC,I’m so excited for #Kasta to do the same journey as #CRO  👉🏻,themooncarl,"['kasta', 'cro']",[],10,222,70
2021-11-25 07:32:43 UTC,Don’t buy #CRO at the top. Join the  waitlist instead.,themooncarl,['cro'],[],37,701,271
2021-11-25 07:31:18 UTC,Makes no sense to FOMO in at the top.  $CRO $SAND  $MANA,themooncarl,[],"['cro', 'sand', 'mana']",127,1833,408
2021-11-24 19:15:31 UTC,Pick your favorite:  $BTC  $BNB  $ETH  $VET $XRP  $CRO $KASTA $AVAX $SHIB $DOGE  $ADA  $SFM $MATIC,themooncarl,[],"['btc', 'bnb', 'eth', 'vet', 'xrp', 'cro', 'kasta', 'avax', 'shib', 'doge', 'ada', 'sfm', 'matic']",513,4235,3774
2021-11-24 15:01:26 UTC,"I’m a huge fan of #CRO, that’s why I’m so bullish on",themooncarl,['cro'],[],45,664,187
2021-11-24 10:44:35 UTC,#CRO 🤯   Next:   https://t.co/jsvQNFv4fM,themooncarl,['cro'],[],73,779,160
2021-11-23 20:29:53 UTC,"If you feel like you missed the boat on #CRO, just check out !!",themooncarl,['cro'],[],30,359,195
2021-11-23 20:29:26 UTC,It’s only a matter of time before #CRO reaches $5!,themooncarl,['cro'],[],181,1448,383
2021-11-23 20:28:27 UTC,#CRO to $1 today???,themooncarl,['cro'],[],100,1101,299
2021-11-22 21:23:39 UTC,#CRO will hit $1 and #Kasta will hit $2 next year!,themooncarl,"['cro', 'kasta']",[],24,335,92
2021-11-22 20:52:18 UTC,"Top alts to watch right now, with !!!  #CRO #KASTA   https://t.co/04q46BTf3S",themooncarl,"['cro', 'kasta']",[],12,179,82
2021-11-22 17:05:30 UTC,Should I buy more #CRO?,themooncarl,['cro'],[],57,1038,402
2021-11-21 21:31:13 UTC,"I’m very bullish on #CRO, and I’m even more bullish on !!!",themooncarl,['cro'],[],58,841,232
2021-11-21 09:25:12 UTC,#CRO will be worth $5 soon 🚀,themooncarl,['cro'],[],452,3737,399
2021-11-21 08:57:07 UTC,"If you like #CRO, you’ll LOVE #Kasta   🔥",themooncarl,"['cro', 'kasta']",[],3,67,17
2021-11-21 07:48:07 UTC,https://t.co/1ZrGDje3tl just hit a $15 billion market cap! This is the target for  https://t.co/YZBnAzFfhC!  BULLISH! #Kasta ⚡️,themooncarl,['kasta'],[],32,544,148
2021-11-21 06:09:34 UTC,#CRO is at all-time highs!!!  This makes me so bullish on !!!,themooncarl,['cro'],[],36,574,119
2021-11-21 06:04:36 UTC,Any #CRO fans out there?,themooncarl,['cro'],[],127,2106,388
2021-11-20 16:38:05 UTC,The current hype around #CRO right now will benefit #KASTA.   BULLISH!!! 🚀,themooncarl,"['cro', 'kasta']",[],66,795,167
