created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 12:09:45 UTC,Retweet if you want $DOGE to do this! 🔥  https://t.co/ktWhL6Zb99,dogecoinride,[],['doge'],576,1300,81
2021-11-30 11:23:11 UTC,Which meme coin has the strongest community? 🧐  • #Dogecoin  • #SHIB  • #FLOKI  • #BabyDogeCoin • #KISHU • #Saitama,dogecoinride,"['dogecoin', 'shib', 'floki', 'babydogecoin', 'kishu', 'saitama']",[],34,160,126
2021-11-30 11:14:20 UTC,$DOGE,dogecoinride,[],['doge'],3,22,1
2021-11-30 08:20:02 UTC,$DOGE TRUE VALUE IS $3.00+ 🔥,dogecoinride,[],['doge'],147,774,46
2021-11-30 05:32:03 UTC,"You receive 100,000 USDT - are you buying   $BTC      $DOGE      #NFTs  👇            👇             👇",dogecoinride,['nfts'],"['btc', 'doge']",86,99,34
2021-11-30 03:53:39 UTC,Retweet for $DOGE  Like for $SHIB,dogecoinride,[],"['doge', 'shib']",122,369,10
2021-11-30 03:34:28 UTC,$Doge back up to 0.22 🔥,dogecoinride,[],['doge'],30,172,5
2021-11-30 03:18:59 UTC,"$DOGE is going to one dollar, RT if you believe! 👏",dogecoinride,[],['doge'],399,1030,77
2021-11-29 14:38:11 UTC,"If you love $DOGE, RT this post. 💪",dogecoinride,[],['doge'],250,584,25
2021-11-29 14:05:26 UTC,Let’s goooo $Doge 🔥,dogecoinride,[],['doge'],100,577,23
2021-11-29 04:42:25 UTC,Amazon should definitely add $DOGE &amp; $SHIB,dogecoinride,[],"['doge', 'shib']",124,802,59
2021-11-28 20:41:53 UTC,Doge but I support both!!!,dogecoinride,[],[],0,1,1
2021-11-28 20:16:58 UTC,$SHIB &amp; $DOGE have the strongest communities in the space.,dogecoinride,[],"['shib', 'doge']",66,477,31
2021-11-28 08:33:42 UTC,Retweet this tweet let’s get #DogeCoin trending 🔥📊,dogecoinride,['dogecoin'],[],127,313,24
2021-11-28 07:15:47 UTC,Retweet for $DOGE  Like for $SHIB,dogecoinride,[],"['doge', 'shib']",238,1072,60
2021-11-28 07:01:44 UTC,Who remembers this. #Tesla $Doge 🤔🐕,dogecoinride,['tesla'],['doge'],111,687,52
2021-11-27 04:29:43 UTC,"If you want this to happen to $DOGE, retweet this post! 🔥  https://t.co/8wAxwAwyTa",dogecoinride,[],['doge'],670,1383,92
2021-11-26 12:27:34 UTC,Go grab some Dogecoin while it’s still on sale 🏷,dogecoinride,[],[],76,470,28
