created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:10:45 UTC,"$COC only has 1,802 holders right now. I think that is going to be the next coin that GOES CRAZY like #Dogecoin and $TKing!",mattwallace888,['dogecoin'],"['coc', 'tking']",172,667,196
2021-11-30 16:06:37 UTC,Press RETWEET if you want to be able to buy a  with #Dogecoin!!!,mattwallace888,['dogecoin'],[],1886,2718,328
2021-11-30 05:24:21 UTC,Dogecoin starting to turn on some boosters!  https://t.co/DJHaY78gIl,mattwallace888,[],[],246,1452,196
2021-11-30 02:11:25 UTC,"The most viewed video any crypto YouTuber has ever made is our #Dogecoin SNL livestream!  The said, the next major $Doge spike is going to be SO BIG that we may SHATTER our own record :)  https://t.co/YS3mp7fdk8",mattwallace888,['dogecoin'],['doge'],150,679,110
2021-11-30 01:10:58 UTC,I love a great #Dogecoin tweet :),mattwallace888,['dogecoin'],[],223,2099,351
2021-11-30 00:20:59 UTC,Can’t wait to see that Dogecoin placed on the moon! :),mattwallace888,[],[],67,463,67
2021-11-29 23:10:48 UTC,"50,000 in Doge is trending now! Thanks  :)",mattwallace888,[],[],242,1372,121
2021-11-29 20:07:38 UTC,I bought more #Dogecoin when I yoke up this morning,mattwallace888,['dogecoin'],[],45,341,45
2021-11-29 19:46:46 UTC,Love to see  embracing #Dogecoin!  Very awesome move indeed! :),mattwallace888,['dogecoin'],[],117,639,46
2021-11-29 19:20:44 UTC,"Now that you are the CEO of Twitter , please accept #Dogecoin for  soon! :)",mattwallace888,['dogecoin'],[],237,1080,91
2021-11-29 10:09:21 UTC,Time to put Binance in timeout for that no no,mattwallace888,[],[],67,415,31
2021-11-29 07:52:35 UTC,🚀 Dogecoin soon 🚀,mattwallace888,[],[],67,539,114
2021-11-29 00:33:50 UTC,"You receive 420,000 USDT - are you buying   BTC     Dogecoin    NFTs  👇🏻            👇🏻             👇🏻",mattwallace888,[],[],1414,3252,1629
2021-11-29 00:23:36 UTC,Dogecoin is the king of memecoins :)  Soon to be the king of all crypto!,mattwallace888,[],[],55,313,51
2021-11-28 23:42:08 UTC,Dogecoin always :),mattwallace888,[],[],56,485,70
2021-11-28 18:53:08 UTC,#Dogecoin is down now but nowhere near out. More than a 70% chance (according to my metrics) that this next breakout attempt turns into the INSANE SPIKE we have all been waiting for!,mattwallace888,['dogecoin'],[],360,2082,367
2021-11-28 01:59:58 UTC,This is the third time #Dogecoin has dropped this far since April.  Each time not long after $Doge makes a breakout attempt!  My metrics point to this next breakout attempt being THE BIG ONE!!!  https://t.co/dkRZzvt4SV,mattwallace888,['dogecoin'],['doge'],284,1612,331
2021-11-28 01:21:11 UTC,Dogecoin,mattwallace888,[],[],272,2155,325
2021-11-28 00:55:36 UTC,Dogecoin,mattwallace888,[],[],26,209,14
2021-11-27 14:40:42 UTC,"Hypothetically, if Tesla accepted Dogecoin, then they would be valued at 69 trillion",mattwallace888,[],[],129,819,80
2021-11-27 02:41:45 UTC,Dogecoin is the most underrated #cryptocurrency at the top by a massive margin,mattwallace888,['cryptocurrency'],[],280,2137,292
2021-11-26 18:06:49 UTC,#Dogecoin is the future cryptocurrency of earth,mattwallace888,['dogecoin'],[],133,879,421
2021-11-26 17:42:27 UTC,Some people actually think the new covid variant is what caused #Dogecoin and #Bitcoin to crash!  That makes no sense because when the world is at it worst… crypto is by far the best asset to hold as governments try to inflate their way out.,mattwallace888,"['dogecoin', 'bitcoin']",[],209,1353,195
2021-11-26 10:18:06 UTC,Someone just said #Dogecoin is running a Black Friday sale right now 💀😂,mattwallace888,['dogecoin'],[],302,2310,336
2021-11-26 02:05:24 UTC,Dogecoin is the best coin for tipping others!  Who thinks all restaurants should allow tipping in $Doge!  👇🏻              👇🏻               👇🏻,mattwallace888,[],['doge'],137,757,90
2021-11-26 00:39:57 UTC,Happy Thanksgiving :)  Your support of Dogecoin means so much to all of us in the community. Much love!,mattwallace888,[],[],125,1288,222
2021-11-25 21:41:15 UTC,A lot of people are selling #Safemoon to buy more #Dogecoin before the next big spike,mattwallace888,"['safemoon', 'dogecoin']",[],299,2006,842
2021-11-25 18:30:57 UTC,Follow every top Dogecoin account to make it up to us/apologize for your being unnecessarily anti $DOGE multiple times,mattwallace888,[],['doge'],70,501,114
