created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 15:06:14 UTC,$DOT (USDT) $38.50 underside re-test of broken support  https://t.co/VofozKLCib,bigcheds,[],['dot'],9,117,22
2021-11-27 23:25:21 UTC,"$DOT had relative strength when I tweeted that.  You are complaining that I posted a factually correct academic observation about the chart, you realize that?",bigcheds,[],['dot'],0,0,0
2021-11-27 22:48:58 UTC,No that’s your weird view of what happened friend. I have $0 DOT   When the market changes I provide the information it sounds like you were mad at the market,bigcheds,[],[],0,4,3
2021-11-27 21:01:17 UTC,$DOT (USDT) downside target on this completed HnS would be around $24-$25  https://t.co/XQwxoGWGaD,bigcheds,[],['dot'],12,183,35
2021-11-24 19:58:29 UTC,$LINk sucks $DOT testing key area now,bigcheds,[],"['link', 'dot']",1,3,4
2021-11-22 20:07:19 UTC,"not even remotely close. $LINK is increadily weak, $DOT is one of the stronger ones. Why would you ask this",bigcheds,[],"['link', 'dot']",0,3,2
2021-11-22 19:53:14 UTC,$DOT (USDT) approaching area of interest  https://t.co/UfsEkQFHCK,bigcheds,[],['dot'],13,218,31
2021-11-18 14:48:01 UTC,$DOT (USDT) approaching key throwback  https://t.co/icFaL8OuQN,bigcheds,[],['dot'],13,99,7
2021-11-17 02:22:19 UTC,$ETH $SOL $LUNA $AVAX $DOT $BNB $FTM $FTT $HBAR $MATIC  $MANA $LPT $SAND   Closest watch right now for alts  👀,bigcheds,[],"['eth', 'sol', 'luna', 'avax', 'dot', 'bnb', 'ftm', 'ftt', 'hbar', 'matic', 'mana', 'lpt', 'sand']",59,672,86
2021-11-17 02:16:18 UTC,"$DOT (USDT) approaching area of interest, reasonable level to structure a trade  https://t.co/V2viLmK0Go",bigcheds,[],['dot'],9,92,3
2021-11-16 01:24:13 UTC,$DOT (USDT) tags daily MA 50 first time since $30 range  https://t.co/PEFGThXWet,bigcheds,[],['dot'],7,60,4
2021-11-15 00:51:35 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Nov 14th 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $LUNA $SOL $MATIC $AVAX $SHIBA $MANA $FTM  Member link  https://t.co/TIfKVWusNz  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'luna', 'sol', 'matic', 'avax', 'shiba', 'mana', 'ftm']",7,55,5
2021-11-11 00:24:16 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Nov 10th 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $SHIBA $MANA  Member link  https://t.co/IqHhVLCaZS  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'shiba', 'mana']",6,51,13
2021-11-08 00:46:10 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Nov 7th 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $SHIBA $MANA  Member link  https://t.co/7NQMaILtt0  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'shiba', 'mana']",3,37,6
2021-11-06 16:47:57 UTC,This is $DOT,bigcheds,[],['dot'],0,1,1
2021-11-04 00:12:57 UTC,"New video for $BTC #Bitcoin Live members Student  ""Cryptocurrency Market Update - Nov 3rd 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $ZEC $SHIBA  Member link  https://t.co/znKYQYuMYs  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'zec', 'shiba']",8,47,13
2021-11-03 18:41:02 UTC,"if your alt sucks, you should put those funds into $DOT and $SOL",bigcheds,[],"['dot', 'sol']",12,215,27
2021-11-03 18:36:56 UTC,$DOT (USDT) continued relative strength. If your favorite alt is struggling why on earth would you not be in this one instead. Throw your funds at relative strength  https://t.co/dqEZTjOh2n,bigcheds,[],['dot'],23,262,23
2021-11-03 01:48:10 UTC,Thoughts on both SOL and DOT well documented on Twitter,bigcheds,[],[],0,1,0
2021-11-02 10:49:05 UTC,$DOT (USDT) price discovery,bigcheds,[],['dot'],24,396,14
2021-11-01 20:34:29 UTC,$DOT (USDT) weekly chart  https://t.co/GKGMqRuXVM,bigcheds,[],['dot'],7,173,16
2021-11-01 15:40:21 UTC,$DOT (USDT) continued relative strength  https://t.co/9z8VsxtOTx,bigcheds,[],['dot'],14,160,14
2021-11-01 00:58:45 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Oct 31st 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $ZEC $SHIBA  Member link  https://t.co/dU7eQ91u1H  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'zec', 'shiba']",9,59,9
2021-10-27 18:38:20 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Oct 27th 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $ZEC  Member link  https://t.co/IIMt05iBaJ  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'zec']",9,40,10
2021-10-24 17:59:05 UTC,"New video for $BTC #Bitcoin Live members 🧑‍🎓  ""Cryptocurrency Market Update - Oct 24th 2021""  $BTC $LTC $ETH $BCH $ADA $BNB $LINK $DOGE $XLM $XRP $THETA $DOT $UNI $SUSHI $LUNA $SOL $MATIC $AVAX $ZEC  Member link  https://t.co/ta0EzwxFGQ  Why join?  https://t.co/4gWlzY8vwd",bigcheds,['bitcoin'],"['btc', 'btc', 'ltc', 'eth', 'bch', 'ada', 'bnb', 'link', 'doge', 'xlm', 'xrp', 'theta', 'dot', 'uni', 'sushi', 'luna', 'sol', 'matic', 'avax', 'zec']",3,45,18
