created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-28 22:19:02 UTC,"$DOT had a -40% correction  If you are not buying here, you hate money",pastore1314,[],['dot'],28,384,25
2021-11-28 18:45:51 UTC,Taking profits from $DOT is for pussies   I staked all my stack two years,pastore1314,[],['dot'],6,79,9
2021-11-26 15:18:40 UTC,"$DOT   Enjoy the show, amigos  https://t.co/F128Ubbmuc",pastore1314,[],['dot'],2,45,5
2021-11-26 12:34:06 UTC,$DOT staked two years  I feel nothing,pastore1314,[],['dot'],6,253,18
2021-11-25 23:25:00 UTC,dot is locked 2 years sir 😆,pastore1314,[],[],0,0,1
2021-11-25 20:52:29 UTC,If you aren't following these projects you are doing something wrong!   +    #Polkadot #Kusama,pastore1314,"['polkadot', 'kusama']",[],0,9,0
2021-11-19 14:17:19 UTC,#Polkadot dips are a blessing!  Hold for several years and you will be happy  https://t.co/cXMbCB0ku4,pastore1314,['polkadot'],[],4,94,3
2021-11-18 16:20:56 UTC,If I am not wrong those who participated after the candle auction  are out  That's why is important to participate when the bids start  $DOT $ACA  https://t.co/32jD4YPplf,pastore1314,[],"['dot', 'aca']",6,52,12
2021-11-18 16:09:17 UTC,Congratulations to   for winning the first #Polkadot slot!!,pastore1314,['polkadot'],[],3,125,5
2021-11-18 11:37:57 UTC,The first #Polkadot auction ends in 19 MINUTES!   $DOT $ACA $GLMR,pastore1314,['polkadot'],"['dot', 'aca', 'glmr']",10,109,7
2021-11-18 10:40:33 UTC,"$DOT  Keep an eye on this scenario  If this happens, you know the deal amigo  https://t.co/hPT02fhrZM",pastore1314,[],['dot'],24,130,12
2021-11-17 20:34:24 UTC,"My biggest bag is staked two years.   Forced hodl  Yes, it's $DOT  You can imagine how worried I am about this short-term noise  Zoom out",pastore1314,[],['dot'],13,274,22
2021-11-17 15:15:13 UTC,The first #Polkadot auction ends in 20 hours❗️  Who will win? 🤪,pastore1314,['polkadot'],[],3,151,20
2021-11-12 15:08:50 UTC,''Failing down so much''  You are #NGMI if you don't have long-term perspective on $DOT,pastore1314,['ngmi'],['dot'],2,23,2
2021-11-12 15:00:17 UTC,"$GLMR and $ACA have raised more than 38.7M $DOT, almost two billion dolars!  This is kinda crazy...  #Polkadot is here to stay  https://t.co/wNA7PElukz",pastore1314,['polkadot'],"['glmr', 'aca', 'dot']",10,79,4
2021-11-08 11:56:42 UTC,$DOT on the move again  https://t.co/ZIsMnBwGWD,pastore1314,[],['dot'],10,239,13
2021-11-08 11:34:07 UTC,Over 13.5M $DOT locked in parachains in just only several days  $780M  We are just getting started🚀  https://t.co/TFdMAgmgAq,pastore1314,[],['dot'],22,136,5
2021-11-07 16:21:35 UTC,Add .DOT to your nickname 🔥,pastore1314,[],[],5,158,32
2021-11-07 11:48:20 UTC,6.7M $DOT staked on $ACA crowdloan in just two days!  6.7M $DOT = $335M  Massive demand  #Polkadot is here to stay  https://t.co/ejfYLnrEoK,pastore1314,['polkadot'],"['dot', 'aca', 'dot']",16,131,10
2021-11-06 15:30:29 UTC,What do you think the ROI will be if you invest  $1K - 20 $DOT in each parachain  100K in total - 2000 $DOT at 50$  I haver never seen a passive income like this in crypto  Parachains &gt; traditional staking,pastore1314,[],"['dot', 'dot']",16,205,20
2021-11-06 15:18:34 UTC,If your account balance drops below 1 $DOT your account will be automatically deleted  The Account will be activated when $DOT is sent back,pastore1314,[],"['dot', 'dot']",6,83,5
2021-11-06 10:24:43 UTC,Thanks again for those who crowdloaned with my  referral code  5% referral bonus 🚀  $DOT $ACA,pastore1314,[],"['dot', 'aca']",0,23,8
2021-11-06 10:19:59 UTC,Good morning!  5.4M $DOT raised on $ACA and 3M $DOT on $GLMR  Good times ahead! $DOT ecosystem 🚀  https://t.co/AvrvIESKk7,pastore1314,[],"['dot', 'aca', 'dot', 'glmr', 'dot']",14,139,12
2021-11-05 23:31:07 UTC,50M $DOT ? I don’t think so… 😅,pastore1314,[],['dot'],0,4,0
2021-11-05 23:29:03 UTC,I think $ACA will raise 15M $DOT maximum   That would be:  1 $DOT : 11 $ACA  15M $DOT = 780M$,pastore1314,[],"['aca', 'dot', 'dot', 'aca', 'dot']",2,90,13
2021-11-05 23:03:25 UTC,Read and learn   https://t.co/J9v8bJGu0R  $DOT $ACA,pastore1314,[],"['dot', 'aca']",2,25,0
2021-11-05 22:52:18 UTC,I'm so glad that I staked 96 weeks $DOT. I don't have to spend more time watching short-term prices  Parachains are protecting you from yourself  See you in two years!,pastore1314,[],['dot'],24,432,27
2021-11-05 22:26:59 UTC,Another key point  $KAR raised 500K $KSM $ACA is raising 4.6M $DOT in just only one day  I think the demand is a bit higher 😂,pastore1314,[],"['kar', 'ksm', 'aca', 'dot']",0,3,3
2021-11-05 15:05:24 UTC,Tbh... it's hard to see 50M $DOT funds raised... probably the rewards will be higher  This is a pessimistic scenario,pastore1314,[],['dot'],0,22,3
2021-11-05 15:02:05 UTC,$GLMR max cap is 100M $DOT  Let's see $GLMR hits 50M  You will receive 2 $GLMR   25M $DOT = 1.3B$   $GLMR could hit 10-15B market cap so the price will be 30$ with 500M circulation  2 $GLMR = 60$ 1 DOT = 52$  The profits would be above 100%  Correct me if I am wrong...,pastore1314,[],"['glmr', 'dot', 'glmr', 'glmr', 'dot', 'glmr', 'glmr']",5,55,9
2021-11-05 12:22:35 UTC,$KAR raised 501K  $KSM $ACA is raising 2.3M $DOT  Crazy😁,pastore1314,[],"['kar', 'ksm', 'aca', 'dot']",8,158,11
2021-11-05 11:57:36 UTC,$ACA max cap is 50M $DOT  Let's see $ACA hits 25M  You will receive 6.8 $ACA + BONUS   25M $DOT = 1.3B$   $ACA could hit 4-5B market cap so the price will be 10$ with 500M circulation  6.8 $ACA = 68$ 1 DOT = 52$  The profits would be above 100%  Correct me if I am wrong...,pastore1314,[],"['aca', 'dot', 'aca', 'aca', 'dot', 'aca', 'aca']",10,98,28
2021-11-05 11:15:31 UTC,I think icdot will be more useful than bdot  Icdot is built in a DeFi platform. BDOT in an exchange....,pastore1314,[],[],0,0,0
2021-11-05 11:03:57 UTC,Over 1M $DOT has been contributed by the community on  in just one hour,pastore1314,[],['dot'],12,211,16
2021-11-05 10:06:26 UTC,If you want to stay liquid I think you have to use polkadot.js anyway check the official resources.,pastore1314,[],[],0,1,0
2021-11-05 10:05:27 UTC,you  have time but there is an 5% extra bonus and it ends in two days or when the hard cap is reached,pastore1314,[],[],0,1,2
2021-11-05 09:53:31 UTC,I made the contribution through acala website,pastore1314,[],[],0,0,0
2021-11-05 09:52:50 UTC,through acala,pastore1314,[],[],0,1,0
2021-11-05 09:42:12 UTC,Through polkadot.js. You have to download the chrome extension and make a new wallet.,pastore1314,[],[],0,1,1
2021-11-05 09:40:20 UTC,is not available yet,pastore1314,[],[],0,0,0
2021-11-05 09:40:08 UTC,for $para and $astar,pastore1314,[],"['para', 'astar']",0,1,1
2021-11-05 09:39:04 UTC,I really appreciate mate!,pastore1314,[],[],0,0,0
2021-11-04 19:52:45 UTC,$DOT is quickly building one of the strongest and powerful communities in crypto   We are in this together  It's only the beggining🚀  https://t.co/tsJUWGZEFx,pastore1314,[],['dot'],45,425,11
