created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 17:33:52 UTC,$ETH still looking strong against $BTC,intocryptoverse,[],"['eth', 'btc']",97,2318,119
2021-11-30 12:32:05 UTC,"Yes, yes that alt sounds great! Oh it has gone up a lot? Cool!!  …  But what if it BLEEDS against #Ethereum",intocryptoverse,['ethereum'],[],65,1176,109
2021-11-30 02:17:49 UTC,$ETH looks strong af,intocryptoverse,[],['eth'],281,4736,374
2021-11-29 23:51:36 UTC,"Who was around for this video on #Ethereum in 2019? Does anyone remember ""The accumulation phase of a lifetime?""  https://t.co/u7rgrviVfm",intocryptoverse,['ethereum'],[],45,829,86
2021-11-29 22:59:03 UTC,$ETH is chilling at its May 2021 high and people are now bored with it.  This is a good thing.,intocryptoverse,[],['eth'],112,3003,100
2021-11-29 16:22:51 UTC,Use promo-code blackfriday20 to get 20% off of Into The Cryptovere merch (which bleeds against #Ethereum)   https://t.co/YZIf2yaf8E,intocryptoverse,['ethereum'],[],9,177,25
2021-11-29 16:14:39 UTC,#Ethereum Outlook:  https://t.co/9B3EzxXMEW,intocryptoverse,['ethereum'],[],12,147,16
2021-11-27 23:14:43 UTC,#Ethereum Dubious Speculation  https://t.co/Xx5yNgdWAg,intocryptoverse,['ethereum'],[],24,306,48
2021-11-27 21:48:26 UTC,an upgraded mic would bleed against #Ethereum unfortunately,intocryptoverse,['ethereum'],[],1,39,3
2021-11-27 18:02:31 UTC,It is hard buying something when you just think it is going to bleed against #Ethereum,intocryptoverse,['ethereum'],[],100,2027,242
2021-11-27 17:38:54 UTC,Can I get some #Bitcoin vodka in some #Ethereum juice?,intocryptoverse,"['bitcoin', 'ethereum']",[],12,947,35
2021-11-25 17:52:56 UTC,What happens first? $BTC $ETH,intocryptoverse,[],"['btc', 'eth']",34,230,85
2021-11-25 12:54:10 UTC,I might get some strange looks when I tell people that I'm thankful $ETH is still &lt;$5k,intocryptoverse,[],['eth'],105,2294,183
2021-11-24 22:19:26 UTC,Audio equipment bleeds against #Ethereum,intocryptoverse,['ethereum'],[],32,1453,119
2021-11-24 21:32:57 UTC,#Ethereum: The Flippening?  https://t.co/SdXw8fdhUn,intocryptoverse,['ethereum'],[],21,231,37
2021-11-24 01:54:59 UTC,But what if it BLEEDS against #Ethereum?,intocryptoverse,['ethereum'],[],57,1467,264
2021-11-23 23:16:32 UTC,Do you have enough $ETH?,intocryptoverse,[],['eth'],23,253,268
2021-11-23 21:52:56 UTC,$ETH is gonna take names for the rest of this cycle,intocryptoverse,[],['eth'],239,3926,293
2021-11-22 18:58:05 UTC,$ETH Bull Market Support Band Update  https://t.co/HjcPykc9KT,intocryptoverse,[],['eth'],11,260,75
2021-11-22 16:02:13 UTC,"All the chains that claim to be ""better than $ETH "" are either:  1) Going to have the same issues that $ETH is working to solve as their own network grows.  2) Are sacrificing decentralization  Plenty of room for more L1s, but they are not competitors to $ETH.",intocryptoverse,[],"['eth', 'eth', 'eth']",528,4421,747
2021-11-20 04:29:57 UTC,Is $ETH in your portfolio?,intocryptoverse,[],['eth'],25,244,289
2021-11-19 04:39:21 UTC,Come talk about $BTC $ETH and more here:  https://t.co/zcOjz4tY36 Ignore scammers who may DM you pretending to be me!,intocryptoverse,[],"['btc', 'eth']",16,170,92
2021-11-18 12:20:06 UTC,Do you like #Ethereum?,intocryptoverse,['ethereum'],[],123,3604,774
2021-11-17 23:10:01 UTC,Just have to figure out what bleeds against $ETH and what doesn’t,intocryptoverse,[],['eth'],1,100,12
2021-11-17 12:00:02 UTC,"#Ethereum still looks good on the macro-scale here. Looking at the prior cycle, this is just business as usual  https://t.co/DpzxMDHAdj",intocryptoverse,['ethereum'],[],50,706,72
2021-11-17 08:12:00 UTC,#Ethereum is a blue chip,intocryptoverse,['ethereum'],[],113,2444,285
2021-11-17 05:17:12 UTC,#Ethereum: A non-emergency video  https://t.co/eo5cFjj5Xj,intocryptoverse,['ethereum'],[],14,196,27
2021-11-14 21:00:01 UTC,#Ethereum has a long way to go in terms of price potential,intocryptoverse,['ethereum'],[],62,1463,140
2021-11-14 01:19:27 UTC,"Stop asking if an alt will flip #Ethereum  The only real question is will #Ethereum flip #Bitcoin   Unlikely to happen anytime soon, but it a possibility considering how close it came back in 2017.  https://t.co/erlWdDrI8i",intocryptoverse,"['ethereum', 'ethereum', 'bitcoin']",[],69,884,140
2021-11-13 19:18:58 UTC,I find myself asking how I’ll deal with a $20k $ETH every day,intocryptoverse,[],['eth'],8,563,47
2021-11-13 17:40:43 UTC,Who has been a part of this $ETH journey?  https://t.co/nw4cJDj3VM,intocryptoverse,[],['eth'],150,3628,272
2021-11-12 21:57:08 UTC,What happens first? $BTC $ETH,intocryptoverse,[],"['btc', 'eth']",27,230,94
2021-11-12 01:28:10 UTC,Subscribe to my youtube channel for data-driven insights on $BTC $ETH $ADA $DOT $AVAX $LINK and more!   https://t.co/FICZecLgl7,intocryptoverse,[],"['btc', 'eth', 'ada', 'dot', 'avax', 'link']",28,412,57
2021-11-11 21:23:02 UTC,#Ethereum Market Cycles:  https://t.co/x3fpNkKJOW,intocryptoverse,['ethereum'],[],19,205,15
2021-11-11 19:02:18 UTC,"Yes, yes, your altcoin has done well...  But does it *BLEED* against #Ethereum?",intocryptoverse,['ethereum'],[],50,1460,180
2021-11-10 00:15:00 UTC,Will #Ethereum flip #Bitcoin?,intocryptoverse,"['ethereum', 'bitcoin']",[],30,861,263
2021-11-09 23:00:00 UTC,How high will #Ethereum go this market cycle?,intocryptoverse,['ethereum'],[],68,1505,485
2021-11-09 13:41:36 UTC,What happens first? $BTC $ETH,intocryptoverse,[],"['btc', 'eth']",17,167,52
2021-11-09 13:37:35 UTC,I would like to congratulate $LTC hodlers for now only being down -91% against #ETH over the last 950 days 🥳🥳🥳  https://t.co/YnfVl7S4HN,intocryptoverse,['eth'],['ltc'],224,4513,506
2021-11-08 23:32:22 UTC,"#Bitcoin is #8, but #Ethereum is #15! The blue chips leading the charge!  https://t.co/1sHGQVJY5y",intocryptoverse,"['bitcoin', 'ethereum']",[],97,794,52
2021-11-08 23:23:47 UTC,$4800 $ETH feels pretty good...  but it has me wondering tho...  What would $4900 $ETH feel like?,intocryptoverse,[],"['eth', 'eth']",113,2586,148
2021-11-08 15:42:53 UTC,would not mind a $5k $ETH.  But maybe that's just me.,intocryptoverse,[],['eth'],70,2249,108
2021-11-08 02:56:01 UTC,$4700 $ETH feels pretty good...  but it has me wondering tho...  What would $4800 $ETH feel like?,intocryptoverse,[],"['eth', 'eth']",188,4147,301
2021-11-07 21:17:56 UTC,Who cares about $LTC. But send $ETH,intocryptoverse,[],"['ltc', 'eth']",5,418,49
2021-11-07 17:10:01 UTC,Pick One $BTC $ETH $DOT $AVAX $ADA $LINK,intocryptoverse,[],"['btc', 'eth', 'dot', 'avax', 'ada', 'link']",32,331,231
2021-11-07 16:35:32 UTC,#Bitcoin and #Ethereum is a powerful combo,intocryptoverse,"['bitcoin', 'ethereum']",[],58,1300,76
2021-11-07 16:29:56 UTC,Owning #Bitcoin and #Ethereum gets you on the efficient frontier,intocryptoverse,"['bitcoin', 'ethereum']",[],17,542,37
2021-11-07 15:56:52 UTC,"Anytime you buy an alt, ask yourself this with respect to its valuation against #Ethereum  https://t.co/kZtVKFe9SP",intocryptoverse,['ethereum'],[],26,502,65
2021-11-07 15:47:49 UTC,"My wife just said:  ""But what if they bleed against #Ethereum?""  She's a keeper.",intocryptoverse,['ethereum'],[],76,2614,103
2021-11-07 15:23:04 UTC,I'm going to say it.  #Solana will not flip #Ethereum,intocryptoverse,"['solana', 'ethereum']",[],354,6946,733
2021-11-07 02:55:56 UTC,What happens first? $BTC $ETH,intocryptoverse,[],"['btc', 'eth']",27,198,73
2021-11-06 19:51:49 UTC,Had to get a haircut. Hair was bleeding against #Ethereum,intocryptoverse,['ethereum'],[],32,1653,123
2021-11-06 19:35:34 UTC,$ETH: An Absolute Beast  https://t.co/XkBaKtNV8b,intocryptoverse,[],['eth'],14,254,18
2021-11-05 16:49:00 UTC,"I'm a simple guy. I see $ETH, I buy $ETH",intocryptoverse,[],"['eth', 'eth']",221,4235,321
2021-11-05 11:50:43 UTC,I really would not mind a $5k $ETH,intocryptoverse,[],['eth'],75,2363,169
2021-11-05 03:24:30 UTC,Do you think #Ethereum will flip #Bitcoin within the next 2 years?,intocryptoverse,"['ethereum', 'bitcoin']",[],21,168,120
2021-11-04 21:09:10 UTC,#Ethereum will probably be one of the best investments of this decade,intocryptoverse,['ethereum'],[],563,6983,500
2021-11-04 02:13:02 UTC,65 projects that bleed against $ETH and counting  https://t.co/fg6FALnuzw,intocryptoverse,[],['eth'],31,935,149
2021-11-03 21:57:13 UTC,Part of me wants to get a new desk (one that is not made of cardboard like the one I use now).  But what if it bleeds against #Ethereum?,intocryptoverse,['ethereum'],[],76,2179,240
2021-11-03 20:09:04 UTC,What $ETH says to alts  https://t.co/Bx6S4ePob7,intocryptoverse,[],['eth'],54,1090,111
2021-11-03 16:28:25 UTC,#Altcoins: What if they bleed against $ETH?  https://t.co/kQtTWBEY8m,intocryptoverse,['altcoins'],['eth'],20,201,44
2021-11-03 16:15:19 UTC,But what if it *BLEEDS* against $ETH?,intocryptoverse,[],['eth'],10,483,61
2021-11-03 13:54:00 UTC,"Most altcoins bleed against $ETH over the macro-scale. Make sure to check your Alt/ETH valuation to make sure your altcoins of choice do not.  If they only bleed against $ETH, why do you hold them?",intocryptoverse,[],"['eth', 'eth']",56,993,127
2021-11-03 03:46:41 UTC,Time is still on our side #Bitcoin #Ethereum #Altcoins  https://t.co/CnzBnb4WuQ,intocryptoverse,"['bitcoin', 'ethereum', 'altcoins']",[],195,1713,90
2021-11-03 01:06:57 UTC,$BTC and $ETH Watch Party! LIVE SHOW!  https://t.co/YJ0eBveiK4,intocryptoverse,[],"['btc', 'eth']",17,230,26
2021-11-03 00:58:29 UTC,$4600 $ETH feels pretty good...  but it has me wondering tho...  What would $4700 $ETH feel like?,intocryptoverse,[],"['eth', 'eth']",178,3584,257
2021-11-03 00:52:51 UTC,$4600 $ETH - just wants to soar!,intocryptoverse,[],['eth'],81,1925,80
2021-11-02 22:19:15 UTC,$ETH is lit 🔥🔥🔥,intocryptoverse,[],['eth'],133,2823,134
