created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 22:26:49 UTC,"JUST IN: 1,069,331.63 #Ethereum ($4.98B) have now been burned since the EIP-1559 upgrade! 🔥",watcherguru,['ethereum'],[],56,522,52
2021-11-30 16:39:13 UTC,Top 1000 #ETH Whales Own 48 Trillion Shiba Inu Coins Worth $2.3 Billion   https://t.co/WQZrhRIUZ2,watcherguru,['eth'],[],219,896,44
2021-11-30 14:56:19 UTC,JUST IN: #Bitcoin and #Ethereum ETFs with monthly payouts launch in Canada 🇨🇦,watcherguru,"['bitcoin', 'ethereum']",[],105,745,119
2021-11-30 14:33:42 UTC,JUST IN: #ETH has passed $25B in trading volume in the last 24 hours,watcherguru,['eth'],[],82,640,54
2021-11-30 06:43:24 UTC,Top 15 #cryptocurrencies in the world by market capitalization (Updated 11/30/21)   1. #Bitcoin    2. #Ethereum  3. #BNB     4. #Usdtether     5. #SOL 6. #ADA 7. #XRP  8. #DOT 9. #USDC  10. #DOGE  11. #SHIB 12. #AVAX 13. #LUNA 14. #CRO 15. #WBTC,watcherguru,"['cryptocurrencies', 'bitcoin', 'ethereum', 'bnb', 'usdtether', 'sol', 'ada', 'xrp', 'dot', 'usdc', 'doge', 'shib', 'avax', 'luna', 'cro', 'wbtc']",[],317,1473,714
2021-11-30 04:04:26 UTC,"One year ago today, one #ETH was worth $591 USD.   Today, One #Ethereum is worth $4,436 USD.",watcherguru,"['eth', 'ethereum']",[],99,778,66
2021-11-30 02:25:37 UTC,"JUST IN: An #Ethereum whale purchased $1,101,959.44 worth of #SHIB today. 🐳   TXID:  https://t.co/PNWFfk7hkJ  https://t.co/g15mQMIcor",watcherguru,"['ethereum', 'shib']",[],819,2872,217
2021-11-30 00:37:30 UTC,Top 10 #cryptocurrencies in the world by Twitter followers (Updated 11/29/21)   1: #BNB 6.3M 2: #Bitcoin 3.8M 3: #Dogecoin 2.5M 4: #XRP 2.2M 5: #SHIB 2.1M 6: #Ethereum 1.8M  7. #CRO 1.3M 8: #SafeMoon 1.2M 9: #Cardano 1.1M 10: #Solana 1M,watcherguru,"['cryptocurrencies', 'bnb', 'bitcoin', 'dogecoin', 'xrp', 'shib', 'ethereum', 'cro', 'safemoon', 'cardano', 'solana']",[],194,995,114
2021-11-29 20:20:52 UTC,"All eyes on  today as they prepare to launch their v2 contract on BSC, ETH, and Polygon!   Their v1 migration has gone seamlessly over the past week:  87% of v1.0 tokens upgrades  31% of the entire v2 supply staked  6:00PM EST  https://t.co/STvXhIixhq  https://t.co/cziIijKCOw",watcherguru,[],[],407,969,414
2021-11-29 19:56:50 UTC,"Top 10 Cryptocurrencies Mentioned on Twitter in November 📣  1. #BTC 10,710,315 2. #SHIB 4,024,575 3. #ETH 2,747,488 4. #CAKE 1,862,156 5. #DOGE 1,760,398 6. #SOL 1,318,662 7. #SAFEMOON 1,062,273  8. #XTZ 980,792 9. #ADA 899,510 10. #CATE 699,840  (via )",watcherguru,"['btc', 'shib', 'eth', 'cake', 'doge', 'sol', 'safemoon', 'xtz', 'ada', 'cate']",[],409,1626,299
