created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 01:20:07 UTC,IM SORRY I PINPOINTED YOUR RANDOM TOP ON 1 MINUTE CHART OK?,crypto_birb,[],[],0,2,2
2021-11-30 01:10:23 UTC,always because  pays me for tweets,crypto_birb,[],[],0,7,2
2021-11-30 00:56:12 UTC,dont get mad  is paying me for tweets,crypto_birb,[],[],0,33,6
2021-11-29 23:54:05 UTC,Last call before discounts expire. Last chance to get your premium seat with up to 40% off with $BTC $ETH $LTC $USDC $DOGE payments. Join:  https://t.co/pGAUQCoxzh  https://t.co/hwtL6C4I6J,crypto_birb,[],"['btc', 'eth', 'ltc', 'usdc', 'doge']",7,33,15
2021-11-29 21:46:40 UTC,Limited discount coupons will irreversibly expire in under 3h. Cant promise we unlock them in future anymore. If want to up your trading game fast now it's the last minutes you can get it with up to 40% off with $BTC $ETH $LTC $USDC $DOGE payments. Get in: https://t.co/pGAUQCoxzh  https://t.co/jB9rbsyyl5,crypto_birb,[],"['btc', 'eth', 'ltc', 'usdc', 'doge']",1,18,7
2021-11-29 03:20:00 UTC,For that it might be your last chance to join my private trade group at 30% off with fiat payments or 40% off with $BTC $ETH $LTC $USDC $DOGE and other crypto payments. Those hugely discounted seats are expiring soon. Get in now before you miss out again👇  https://t.co/ICvb36qckJ,crypto_birb,[],"['btc', 'eth', 'ltc', 'usdc', 'doge']",10,57,9
2021-11-28 10:30:58 UTC,Reason for my bullishness on $LTC,crypto_birb,[],['ltc'],133,939,90
2021-11-26 22:38:43 UTC,Pick your favourite program and apply Black Friday coupon BF30 to get immediate 30% off on fiat payments and 40% off on crypto payments accepting $BTC $ETH $LTC $USDC $DOGE and more. Get in👇  https://t.co/1muyYqVnc2,crypto_birb,[],"['btc', 'eth', 'ltc', 'usdc', 'doge']",5,29,6
2021-11-26 12:25:28 UTC,Random reply guy asked why Im not posting litecoin tweets today. Right Im sorry let me schedule 257 litecoin tweets to fly every 5 minutes so you can see nothing else. IQ of CT down bad again,crypto_birb,[],[],6,604,103
2021-11-22 14:20:15 UTC,Live talking $BTC $LTC and more with legends        Join asap  https://t.co/kMjlZERNVH,crypto_birb,[],"['btc', 'ltc']",17,126,14
2021-11-18 15:04:50 UTC,If only you liked $LTC I’d grave got you in the stream too  https://t.co/pdJRpQNZkK,crypto_birb,[],['ltc'],0,21,3
2021-11-18 12:18:27 UTC,You cant be real to think  pays me for tweets. It's illegal to be this dumb,crypto_birb,[],[],24,740,111
2021-11-18 12:13:05 UTC,Sell me all the $LTC you want then... relax and watch it prints me 7 figures in next 2 months,crypto_birb,[],['ltc'],202,2512,222
2021-11-18 12:02:38 UTC,So many DMs in my mailbox asking if they should sell their $LTC now. The truth is they probably should have never joined trading in the first place so they'd do better to sell everything and exit the market,crypto_birb,[],['ltc'],77,1479,185
2021-11-15 12:29:10 UTC,I keep buying $LTC,crypto_birb,[],['ltc'],151,1489,128
2021-11-14 19:20:26 UTC,I told you $LTC would be trading $1000-$2000 anytime soon. Just watch it,crypto_birb,[],['ltc'],576,3809,143
2021-11-13 18:38:45 UTC,Follow  for $LTC. He knows,crypto_birb,[],['ltc'],40,421,36
2021-11-11 11:49:34 UTC,1 like and I buy more $LTC,crypto_birb,[],['ltc'],204,7624,280
2021-11-10 12:22:42 UTC,That was how $LTC bottom looked like,crypto_birb,[],['ltc'],51,994,96
2021-11-09 23:27:05 UTC,Shorting $LTC is illegal remember that  https://t.co/0e4qztxjEQ,crypto_birb,[],['ltc'],95,1623,76
2021-11-09 18:39:09 UTC,"is there a way  stops sending 50,000 army bots to flood my feed every single hour?",crypto_birb,[],[],0,5,0
2021-11-09 17:53:57 UTC,Back when $LTC was trading at $40👀  https://t.co/Ow831ZuHn1,crypto_birb,[],['ltc'],68,966,68
2021-11-09 16:42:45 UTC,I'll be honest blame this $LTC pump on me,crypto_birb,[],['ltc'],117,3263,232
2021-11-09 15:01:03 UTC,"$LTC pumping. It makes me as happy as fact that over 14,000 participants registered for my free trading congress starting in three days. If havent joined yet and want to up your trading game free of charge on a two week virtual camp claim free ticket here: https://t.co/LqOPkMjHtZ  https://t.co/QOZpWTrtMu",crypto_birb,[],['ltc'],115,1079,64
2021-11-09 14:12:37 UTC,All of a sudden everybody realized I wasnt joking about $LTC,crypto_birb,[],['ltc'],222,2460,213
2021-11-09 13:50:41 UTC,I love this $LTC is dead vibe. Yet another confirmation for my bullish thesis,crypto_birb,[],['ltc'],13,386,15
2021-11-09 09:00:06 UTC,My $LTC bags are quite heavy,crypto_birb,[],['ltc'],120,1568,93
2021-11-08 09:58:36 UTC,Appreciate it brother. Its just I explained it like 5000 times in last days and i cant really loop myself to death here. Feel free to catch my thoughts on our youtube at any time. #Litecoin is everything but dead. God bless  https://t.co/hCUNXI9JVx,crypto_birb,['litecoin'],[],4,55,2
2021-11-08 09:44:28 UTC,I'm pretty sure $LTC pulls off vertical rally  https://t.co/7u2u7MDZCs,crypto_birb,[],['ltc'],486,3311,233
2021-11-04 08:13:40 UTC,But seriously go and follow  she knows her stuff ah yes and also buy $LTC,crypto_birb,[],['ltc'],61,474,272
2021-11-03 22:44:06 UTC,Beautiful thread about $LTC go and see,crypto_birb,[],['ltc'],97,674,27
2021-11-03 22:34:55 UTC,I also confirm  is v kind irl and now that she confirmed my $LTC pump thoughts its impossible not to like her even more,crypto_birb,[],['ltc'],32,290,26
2021-11-03 17:44:02 UTC,$LTC onchain is boiling up behind the scenes,crypto_birb,[],['ltc'],90,687,55
2021-11-03 08:47:10 UTC,its funny how some noobs disbelieving $LTC will rally hard will fomo in after it pulls 10x,crypto_birb,[],['ltc'],187,2363,211
2021-11-02 19:54:03 UTC,I’m also sure $LTC will be trading at 2k,crypto_birb,[],['ltc'],300,3117,286
2021-11-02 17:08:40 UTC,you have to,crypto_birb,[],[],1,0,0
2021-11-02 08:23:20 UTC,He is joking that’s my dude 😆👊,crypto_birb,[],[],0,9,1
2021-11-02 06:45:30 UTC,exactly that,crypto_birb,[],[],0,30,2
2021-11-01 19:41:42 UTC,let's goo!,crypto_birb,[],[],0,8,1
2021-11-01 19:40:35 UTC,apparently you're triggered enough to continue convincing me you are right. Interesting,crypto_birb,[],[],0,24,2
2021-11-01 18:58:08 UTC,yet somehow you are triggered enough to keep proving something you have no idea or understanding about,crypto_birb,[],[],0,6,2
2021-11-01 18:52:13 UTC,"trust me if you were close to half a million people following you, you'd get triggered more often too",crypto_birb,[],[],0,55,1
2021-11-01 18:03:58 UTC,Noobs really think  is paying me to post $LTC charts which simply look bullish. I’m speechless and we’re going so much higher than I expected  https://t.co/9iDkAVk3gF,crypto_birb,[],['ltc'],80,1077,127
2021-11-01 18:00:05 UTC,You don’t even understand what I said do you lmao,crypto_birb,[],[],0,13,2
2021-11-01 17:57:43 UTC,It takes a special kind of brainlessness to think  is paying me to post about $LTC. It’s almost as dumb as Satoshi Nakamoto paying me for posting about Bitcoin,crypto_birb,[],['ltc'],10,216,28
2021-11-01 16:04:02 UTC,I have about 250k in LTC and this will pull easily 10x,crypto_birb,[],[],7,86,6
2021-11-01 15:56:07 UTC,$LTC noob sentiment confirms my ultra bull thesis. This guy will be begging litecoin to stop pumping so he can enter on a 10x pump. I’d seen this hundreds of times in my career. They’re always like that. They said the same when I was longing 29.6k and 40k $BTC,crypto_birb,[],"['ltc', 'btc']",96,1164,138
2021-11-01 13:56:24 UTC,I can’t stop buying $LTC  https://t.co/gFhOXBhrbe,crypto_birb,[],['ltc'],344,3397,315
2021-10-31 07:15:00 UTC,$LTC must be the largest 2-year long bullish divergence Ive seen in my entire life. On a monthly chart. Insane. This just has to go pull off a sick rally in late Q4. Save this tweet and God have mercy on #Litecoin bears  https://t.co/PW5rPnZS4w,crypto_birb,['litecoin'],['ltc'],970,5269,363
2021-10-31 02:50:00 UTC,"Don't forget about this giveaway from our beautiful partners at . Especially now that they've announced you can pay your food orders now with $BIST, BTC ETH, BNB (BEP20), BCH and LTC. IMO their growth is great. Feel free to go for the free money below",crypto_birb,[],['bist'],5,51,8
2021-10-24 17:18:43 UTC,Bagged more $LTC on the dip,crypto_birb,[],['ltc'],79,1307,135
2021-10-24 06:17:41 UTC,it’s a fair $LTC deal imo,crypto_birb,[],['ltc'],133,906,81
