created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:20:23 UTC,The Litecoin Foundation would like to thank all of our donors who have given so generously to help support #Litecoin development over the years. Cheers #LitecoinFAM!  Here's to the next decade!  https://t.co/VK71GBhpdV #GivingTuesday  https://t.co/sxFVRjGDev,ltcfoundation,"['litecoin', 'litecoinfam', 'givingtuesday']",[],30,222,15
2021-11-29 15:05:46 UTC,Shop the Litecoin Cyber Monday Sale with code CYBRMONDAY proceeds support the Foundation and future development! #Litecoin $LTC #crypto   https://t.co/R3xLKgtl6G,ltcfoundation,"['litecoin', 'crypto']",['ltc'],19,93,25
2021-11-29 03:09:52 UTC,The #Litecoin Shop sale continues for Cyber Monday use Coupon Code: CYBRMONDAY  The new code kicks in at midnight pst. Use BLKFriday till then. #Cybermonday #Crypto $LTC  https://t.co/9rv74UTv3m,ltcfoundation,"['litecoin', 'cybermonday', 'crypto']",['ltc'],36,188,43
2021-11-28 16:54:47 UTC,Proceeds from the Litecoin Shop go towards innovation and supporting development.   One of the needs of being launched fairly.   #Litecoin #crypto #blackfriday,ltcfoundation,"['litecoin', 'crypto', 'blackfriday']",[],17,84,4
2021-11-26 05:00:28 UTC,This #BlackFriday weekend enjoy 15% off the entire #Litecoin Foundation Shop - Coupon CODE: BLKFriday - Coupon expires on 11/28/2021 - SHOP NOW - $LTC  https://t.co/uki73gtQYc,ltcfoundation,"['blackfriday', 'litecoin']",['ltc'],61,291,112
2021-11-24 17:33:02 UTC,Tune in to the  weekly Twitter Spaces today at the special holiday time of 3pm EST / Noon PST  $LTC #Litecoin #LitecoinFAM #humpday  https://t.co/9bDbGTFAu8,ltcfoundation,"['litecoin', 'litecoinfam', 'humpday']",['ltc'],35,202,201
2021-11-20 03:19:26 UTC,Getting paid in Litecoin!! 🔥🔥🔥,ltcfoundation,[],[],2,16,0
2021-11-18 06:34:52 UTC,Congrats! #Litecoin ⚡,ltcfoundation,['litecoin'],[],0,0,0
2021-11-15 16:33:20 UTC,Listen to the new episode of the Litecoin Underground with  on #Spotify and #ApplePodcasts now. #Litecoin  #MWEB #MondayMotivation,ltcfoundation,"['spotify', 'applepodcasts', 'litecoin', 'mweb', 'mondaymotivation']",[],21,87,9
2021-11-07 17:57:55 UTC,"To get all the latest news and announcements, subscribe to the #Litecoin Foundation's monthly magazine:   https://t.co/QUnom1TVlD  https://t.co/lGXHWWunQg",ltcfoundation,['litecoin'],[],51,252,67
2021-11-04 18:13:02 UTC,Thanks to  for all the insight given today on #MWEB and the other developments in the Litecoin Community! Links:    https://t.co/ScuZaC6xYS   https://t.co/1rsdtRWEdf  https://t.co/tGNxXn737Z  https://t.co/TTGLJd16YO   https://t.co/WUrLnvrwhr,ltcfoundation,['mweb'],[],63,280,0
2021-11-04 17:15:27 UTC,#Litecoin fireside event on youtube starting now! Watch:  https://t.co/dUXjRKBeLD,ltcfoundation,['litecoin'],[],15,102,0
2021-11-04 00:00:56 UTC,Reminder: ⚡ and  will be speaking tomorrow at #LAblockchainsummit Thursday Nov 4th starting at 10:15am PST Broadcast live on Youtube #Litecoin $LTC #crypto #mweb #Litecoin10  https://t.co/t84Rvwt4O7,ltcfoundation,"['lablockchainsummit', 'litecoin', 'crypto', 'mweb', 'litecoin10']",['ltc'],59,259,1
2021-11-01 17:01:38 UTC,"Starting tomorrow, the leaders in digital finance will gather at the #LABlockchainSummit   Including ⚡ and  on Thursday the 4th starting at 10:15am PST  Free tix🎟️for #LitecoinFAM at  https://t.co/HyHvSXk0aC runs #November 2-4! #Litecoin $LTC #crypto",ltcfoundation,"['lablockchainsummit', 'litecoinfam', 'november', 'litecoin', 'crypto']",['ltc'],50,203,0
2021-10-26 18:49:45 UTC,Congratulations to all the artists for the 10th Anniversary Collection! Most are now sold! A few are still accepting offers. Last chance to own one of these memorable #NFTs and support artists from all over the world visit   https://t.co/ABc2DyGSAK #Litecoin #NFTCommunity,ltcfoundation,"['nfts', 'litecoin', 'nftcommunity']",[],15,97,1
2021-10-24 19:01:06 UTC,The force is strong with this one..,ltcfoundation,[],[],1,17,1
2021-10-23 20:20:12 UTC,"Starting today, you can now use Litecoin ($LTC) as a payment method on Bitplaza the giant global shopping app! 🛍️🛒📱 #PaywithLitecoin #Litecoin #Litecoin10  https://t.co/774LeQ3US1",ltcfoundation,"['paywithlitecoin', 'litecoin', 'litecoin10']",[],135,448,39
2021-10-22 17:40:30 UTC,Official:  ⚡ will be speaking at  in an interview with  ✨  Free tickets 🎟️ for #LitecoinFAM at  https://t.co/HyHvSXk0aC runs November 2-4!! #Litecoin $LTC #LABlockchainSummit  https://t.co/Pe3LIKbqNZ,ltcfoundation,"['litecoinfam', 'litecoin', 'lablockchainsummit']",['ltc'],92,351,83
2021-10-18 14:30:38 UTC,5 days remaining in Litecoin's 10-Year Anniversary Collection - One of One Collection | OpenSea -  https://t.co/ABc2DyGSAK,ltcfoundation,[],[],29,227,27
