created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-29 20:22:52 UTC,Thank you for the shoutout man!,rektcapital,[],[],0,7,1
2021-11-29 17:21:32 UTC,$LTC / USD - #LTC #Litecoin   Rebounds from the historical demand area (orange)  LTC would need to eclipse the green level and turn it into support to generate additional bull-side momentum following this rebound   #Crypto  https://t.co/pgEru1OR5w,rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],8,50,10
2021-11-26 11:27:06 UTC,"$LTC / USD - #LTC #Litecoin   LTC has rejected from $225, confirming it as a new resistance  Now approaching a historical demand area (orange)  #Crypto  https://t.co/1FVFfgcWLd",rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],4,35,8
2021-11-26 11:13:05 UTC,"#BTC, $ETH and $LTC all rejected from their resistances after failing to confirm new breakouts  #Ethereum #Crypto #Bitcoin",rektcapital,"['btc', 'ethereum', 'crypto', 'bitcoin']","['eth', 'ltc']",11,155,22
2021-11-25 15:54:32 UTC,"Will #BTC Make New All Time Highs This Year?  Checkout my new YouTube video:   https://t.co/k9RqpVVEc7  In today's video, I share my thoughts on $BTC, $ETH and $LTC   Enjoy and Subscribe!  #Ethereum #Crypto #Bitcoin",rektcapital,"['btc', 'ethereum', 'crypto', 'bitcoin']","['btc', 'eth', 'ltc']",6,103,17
2021-11-25 13:35:45 UTC,"#BTC, $ETH and $LTC are all at resistance right now  In fact, ETH is pressing beyond its own key resistance now  However, it's important that all of these Daily Close above their resistances in an effort to avoid rejection &amp; flip these levels into new supports  #Crypto #Bitcoin",rektcapital,"['btc', 'crypto', 'bitcoin']","['eth', 'ltc']",54,601,29
2021-11-25 13:33:06 UTC,$LTC has reached the top of its Ascending Triangle  Daily Close above the red area brings LTC closer to confirming a breakout  #ETH #LTC #Litecoin  https://t.co/8vHcqNQqvr,rektcapital,"['eth', 'ltc', 'litecoin']",['ltc'],18,113,4
2021-11-25 12:34:19 UTC,$LTC may be following $ETH in forming an Ascending Triangle  #ETH #LTC #Litecoin  https://t.co/uKB0joB5LF,rektcapital,"['eth', 'ltc', 'litecoin']","['ltc', 'eth']",10,102,9
2021-11-25 12:29:12 UTC,$LTC / USD - #LTC #Litecoin   The retest of the Higher Low support at ~$206 was successful  LTC has since rebounded towards the $225 area (red)  LTC needs to Weekly Close above $225 to avoid this flipping into a new resistance  #Crypto  https://t.co/49FYV9QB2s,rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],4,51,6
2021-11-23 10:47:06 UTC,"$LTC / USD - #LTC #Litecoin   Ultimately LTC wasn't able to secure a 1W Close above $225, going against the grain of history  As a result $225 has been lost as support  That said, LTC is forming a black Higher Low at the green $206 support in an effort to recover to $225  #Crypto  https://t.co/ywkOiLwz6R",rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],13,131,20
2021-11-21 17:50:58 UTC,"$LTC has returned above $225  Hold here until the Weekly Close and LTC will have confirmed a successful retest of the $225 area as support  Upon this confirmation, a #LTC move to at least $270+ would be on the cards over time  #Crypto #Litecoin",rektcapital,"['ltc', 'crypto', 'litecoin']",['ltc'],29,276,198
2021-11-20 23:50:28 UTC,$LTC / USD - #LTC #Litecoin   LTC has indeed retraced to the $206 region  And a fantastic +9% recovery followed  LTC is very close to reclaiming $225 as support  History is very close to repeating itself  #Crypto  https://t.co/QINGPRHRcE,rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],22,160,207
2021-11-20 23:31:23 UTC,"$LTC is less than $2 from reclaiming $225 as support  Historically, reclaiming $225 as support after a retrace has enabled a #LTC rally to $270+  #Crypto #Litecoin",rektcapital,"['ltc', 'crypto', 'litecoin']",['ltc'],51,442,36
2021-11-20 13:08:45 UTC,"Missed my most recent YouTube video?  ""Is #BTC Ready For A Full-Blown Reversal?""  Check it out here:   https://t.co/ciOpAHOWoa  In this video, I share my thoughts on investor sentiment, as well as the price action of $BTC, $ETH, and $LTC  Enjoy and Subscribe!  #Ethereum #Litecoin",rektcapital,"['btc', 'ethereum', 'litecoin']","['btc', 'eth', 'ltc']",9,93,13
2021-11-20 12:51:33 UTC,$LTC / USD - #LTC #Litecoin   Fantastic rebound from the $206 region  LTC has bounced +8% since that key retest  Now LTC is hovering just below $225 (red)  Needs to Weekly Close above $225 for this recent downside wick to have figured as a volatile retest of $225 support  #Crypto  https://t.co/9H6kNo6f3V,rektcapital,"['ltc', 'litecoin', 'crypto']",['ltc'],13,118,9
2021-11-19 15:52:31 UTC,"Is #BTC Ready For A Full-Blown Reversal?  Checkout my new YouTube video:   https://t.co/wEb5W3Kqbr  In this video, I share my thoughts on investor sentiment, as well as the price action of $BTC, $ETH, and $LTC  Enjoy and Subscribe!  #Ethereum #Litecoin #Bitcoin",rektcapital,"['btc', 'ethereum', 'litecoin', 'bitcoin']","['btc', 'eth', 'ltc']",12,128,10
2021-11-19 15:24:07 UTC,"Hit like if you want me to return to YouTube today with a new video about #BTC, $ETH, and $LTC  Subscribe here:   https://t.co/gtL6Us93Sw  $BTC #Crypto #Bitcoin",rektcapital,"['btc', 'crypto', 'bitcoin']","['eth', 'ltc', 'btc']",8,235,12
