created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 20:46:31 UTC,$XTM  In since $0.9  Lots of updates coming this month and also a tier 1 listing 👀🏆?  Kucoin and huobi are investors  Magic soon  $NFTB $MLT $MTRG $BRKL $VRA $LUNA $FET  https://t.co/Qs47XXsa0y,cryptowizardd,[],"['xtm', 'nftb', 'mlt', 'mtrg', 'brkl', 'vra', 'luna', 'fet']",36,263,32
2021-11-30 18:03:07 UTC,This market isnt going away. I see many People be like... wizz i missed $luna $fet $chz and many more.  Much oppurtunities Will come in the future. New projects Will probably do x 100 x 1000 aswell  Stay focus. Have patience,cryptowizardd,[],"['luna', 'fet', 'chz']",103,1512,170
2021-11-30 11:44:22 UTC,$LUNA Will flip those 3 soon  $Shiba $avax $doge   Getting into top 10 🌖,cryptowizardd,[],"['luna', 'shiba', 'avax', 'doge']",108,1212,55
2021-11-28 20:00:38 UTC,Selling my twitter acc going full into $LUNA,cryptowizardd,[],['luna'],75,1413,80
2021-11-28 19:50:03 UTC,Shitcoin money flows into $luna,cryptowizardd,[],['luna'],49,588,32
2021-11-28 19:49:28 UTC,$shib money flowing into $luna,cryptowizardd,[],"['shib', 'luna']",34,409,23
2021-11-28 19:49:12 UTC,$DOGE MONEY FLOWING INTO $LUNA,cryptowizardd,[],"['doge', 'luna']",29,392,11
2021-11-28 15:54:36 UTC,The diff i was shilling luna non stop pleb. Dont come here with this nonsense if u clearly didnt follow me the last 3 years.,cryptowizardd,[],[],0,18,0
2021-11-28 15:08:52 UTC,Do i need to say more ?  $LUNA was trading at $0.10 there  https://t.co/8jP0TOuu5W,cryptowizardd,[],['luna'],67,1482,124
2021-11-26 19:34:22 UTC,🌖 mike knows  $LUNA,cryptowizardd,[],['luna'],12,178,11
2021-11-26 19:33:45 UTC,My longterm target for $LUNA is $500 +  🌖,cryptowizardd,[],['luna'],180,1810,130
2021-11-26 09:14:36 UTC,For cloud  Shilled 24/7  $VRA at 600 k mc $CHZ at 0.02 $ENJ at 0.10 $FET at 0.008 $luna at 0.10 $floki at 20 mil mc $mlt at $0.03 $NFTB at 0.03 $QRDO at $1 $MATIC below $0.02 $LIGHT Below 0.05 $TRAC below $0.20 $VGX at 0.15  never Shilled $XRP $ADA $SHIBA and those other crap,cryptowizardd,[],"['vra', 'chz', 'enj', 'fet', 'luna', 'floki', 'mlt', 'nftb', 'qrdo', 'matic', 'light', 'trac', 'vgx', 'xrp', 'ada', 'shiba']",58,963,145
2021-11-23 15:41:18 UTC,More LUNA on Stader = Less in Circulation = LUNA price increases  1+1 =2  🌖 $LUNA $SD,cryptowizardd,[],"['luna', 'sd']",21,231,14
2021-11-20 12:35:18 UTC,$CWS  50% almost after 14 hours  Magic is hitting all over the place   $RFOX $LUNA $VRA $BRKL $NFTB $MLT $MTRG  https://t.co/B99CIBU1q8,cryptowizardd,[],"['cws', 'rfox', 'luna', 'vra', 'brkl', 'nftb', 'mlt', 'mtrg']",9,129,27
2021-11-16 21:48:25 UTC,UST BY #TERRA on its way to 10 bil  Probably nothing anon,cryptowizardd,['terra'],[],47,617,20
2021-11-12 11:37:24 UTC,In other words 3 digits $luna soon,cryptowizardd,[],['luna'],47,514,17
2021-11-12 11:37:07 UTC,In other words 3 digits $luna soon,cryptowizardd,[],['luna'],14,233,8
2021-11-11 22:02:23 UTC,One of my calls that didnt perform good yet.  But risk reward down here is to good.  this is Just a regular call of me. Means my allocation is small compared to top tier projects such as $QRDO $LUNA $ANC   $BUY  https://t.co/bVwd8NVvQe,cryptowizardd,[],"['qrdo', 'luna', 'anc', 'buy']",52,368,60
2021-11-11 21:54:54 UTC,$ZCX  binance shared liquidity  Smart advisor on board  Token utility   I expect much higher numbers   Baggs loaded   $QRDO $ZCX $LUNA $MLT $NFTB $BRKL $FLOKI  https://t.co/kN34MCKRiD,cryptowizardd,[],"['zcx', 'qrdo', 'zcx', 'luna', 'mlt', 'nftb', 'brkl', 'floki']",63,322,31
2021-11-11 16:16:17 UTC,They'll be issuing liquid tokens as a representation of your stake. So now you can use the liquid tokens to leverage more $LUNA and restake it again . That earns you more rewards. Do this multiple times and the rewards shoot through the roof.,cryptowizardd,[],[],0,50,5
2021-11-11 16:16:17 UTC,They are also adding liquid staking on top. That alone makes Stader a promising project… But there is more: They solve the 21 days unbonding period. It will still take 21 days to undelegate your $LUNA. But the fun part is that you can use your staked LUNA without unstaking it.,cryptowizardd,[],['luna'],2,38,1
2021-11-11 16:04:58 UTC,👀 getting some    defently a good project that is building on #Terra,cryptowizardd,['terra'],[],19,168,15
2021-11-11 06:22:27 UTC,I never showed of on twitter. I dont need to tell y how much millions i made.  However i can say that i outperformed 95% of CT surely.  Stay low. Enjoy life  #Alhamdulillah   $LUNA $QRDO $MLT $NFTB $FLOKI,cryptowizardd,['alhamdulillah'],"['luna', 'qrdo', 'mlt', 'nftb', 'floki']",50,1348,122
2021-11-10 17:36:38 UTC,One of my best investments this year $LUNA X 400  Along with  $FLOKI X 150 $FET X 130 $VGX X 80  HIGHEST ROI  https://t.co/4iBCTpAUOE,cryptowizardd,[],"['luna', 'floki', 'fet', 'vgx']",41,709,78
2021-11-09 17:20:56 UTC,Doubling down   My wallet is gonna make a New ath $LUNA,cryptowizardd,[],['luna'],11,272,18
2021-11-09 17:20:38 UTC,Doubling down.  3 digits $luna beoy,cryptowizardd,[],['luna'],11,273,8
2021-11-06 21:18:11 UTC,$FET  Htf says moon  $fet $qrdo $sha $link $luna $TRAC  https://t.co/TTi7kJztG2,cryptowizardd,[],"['fet', 'fet', 'qrdo', 'sha', 'link', 'luna', 'trac']",64,540,49
2021-11-04 19:56:55 UTC,It is $LUNA 🌖,cryptowizardd,[],['luna'],21,373,16
2021-11-04 03:02:46 UTC,Me shilling $Luna around $1 to    Good news she bought 😏  At that time i alrdy pulled x 7   ⏳⏳🌖🌖🌖  https://t.co/XlALTuSRL0,cryptowizardd,[],['luna'],14,362,58
2021-11-04 02:56:45 UTC,$LUNA New ath  $ANC next  If u know u know  https://t.co/UpPjK2UBk7,cryptowizardd,[],"['luna', 'anc']",51,496,49
2021-11-03 23:29:33 UTC,Is that the $LUNA moon ?  https://t.co/KiWGyyQ5zL,cryptowizardd,[],['luna'],38,470,92
2021-11-02 13:54:28 UTC,Buying more $CWS down here.  We all gonna make it  Trust the procces  $VRA $MTV $FLOKI $NFTB $MLT $FET $LUNA $KCS $DOT $ATOM  https://t.co/T1GmkfRwvl,cryptowizardd,[],"['cws', 'vra', 'mtv', 'floki', 'nftb', 'mlt', 'fet', 'luna', 'kcs', 'dot', 'atom']",22,232,32
2021-10-30 21:37:55 UTC,$ORION under $1 is a steal   I expect this to run hard.  #terra #luna #  https://t.co/QrAZfV98lb,cryptowizardd,"['terra', 'luna']",['orion'],18,202,15
2021-10-29 22:46:57 UTC,Remember i trade alot of coins. But there is only a few that i BELIEVE Will succeed   1 $FET  2 $CHZ   3 $LUNA  Take profits and make sure u dont hodl the most shitcoins.,cryptowizardd,[],"['fet', 'chz', 'luna']",102,1184,104
2021-10-28 23:52:47 UTC,Honest at this point $luna deserves to be alrdy 3 digits.  Soon 🌖✅🏆,cryptowizardd,[],['luna'],49,717,29
2021-10-28 20:44:16 UTC,My 4 biggest winners of 2020/2021  Bought $vra under 1 mil marketcap Bought $floki at 20 mil marketcap Bought $luna below $0.20 Bought $fet below $0.01  Outperformed CT  https://t.co/imPhPQG1N2,cryptowizardd,[],"['vra', 'floki', 'luna', 'fet']",60,1177,120
2021-10-27 23:04:30 UTC,$EMTRG $MTRG  thats the tweet... save it homies. Back at ya soon.  $MLT $FLOKI $NFTB $FET $LUNA $MTRG $QRDO  https://t.co/BSk9KaAAt6,cryptowizardd,[],"['emtrg', 'mtrg', 'mlt', 'floki', 'nftb', 'fet', 'luna', 'mtrg', 'qrdo']",38,163,24
2021-10-27 23:00:37 UTC,Bought $floki at 20 mil marketcap  Passed 1 billion dollar mc today.  Now u understand why my portfolio is outperforming 99.9% ON cryptotwitter   #few  $doge $shiba #bsc $luna $fet $trac,cryptowizardd,"['few', 'bsc']","['floki', 'doge', 'shiba', 'luna', 'fet', 'trac']",42,414,56
2021-10-27 16:15:51 UTC,Time that $shiba and $doge money flows into real projects  $LUNA $FET $CHZ $FTT,cryptowizardd,[],"['shiba', 'doge', 'luna', 'fet', 'chz', 'ftt']",132,1576,219
2021-10-26 18:05:26 UTC,"15 $LUNA #Giveaway, 3 winners!     is auctioning 7 limited edition #TerraNFTs called #Dreamscapes on the 3rd November at     1) Follow   2) Quote tweet their pinned tweet with #Dreamscapes &amp; #TerraNFTs  3) Tag 2 fellow $LUNA community friends!",cryptowizardd,"['giveaway', 'terranfts', 'dreamscapes', 'dreamscapes', 'terranfts']","['luna', 'luna']",59,141,112
2021-10-26 17:00:42 UTC,$LUNA about to show who s real King of the jungle  https://t.co/xH26re7O39,cryptowizardd,[],['luna'],77,715,26
2021-10-26 00:50:40 UTC,What #NFTs should i look into  Check out this one on #terra  I Will keep all my #NFTs   Broke or rich 🏆,cryptowizardd,"['nfts', 'terra', 'nfts']",[],1,44,29
