created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 21:46:17 UTC,"In case you missed this historical milestone today #lunatics…  I missed it, thank god I have a kick ass GF!  $Luna  https://t.co/LvlNcM0qMa",remi_tetot,['lunatics'],['luna'],16,231,16
2021-11-30 16:30:22 UTC,I am speechless at $Luna ...,remi_tetot,[],['luna'],25,622,50
2021-11-30 13:54:33 UTC,That was only 4 days ago!!! 👇👇👇  $Luna below $40,remi_tetot,[],['luna'],3,80,2
2021-11-30 11:18:45 UTC,"#lunatics , remember to respect the pump and the pump will respect us…  $ust $luna",remi_tetot,['lunatics'],"['ust', 'luna']",11,296,9
2021-11-30 08:07:46 UTC,Hence the opportunity to use BTC as a currency to sustain UST peg,remi_tetot,[],[],0,12,1
2021-11-30 08:05:27 UTC,"By design terra can achieve this, you already have many FX pairs but they are not liquid enough yet…it will eventually come",remi_tetot,[],[],0,2,1
2021-11-30 07:54:41 UTC,"Eventually yes, before we need to cross many hurdles yet, like mass adoption, trust in decentralization, etc…",remi_tetot,[],[],0,1,0
2021-11-30 07:53:01 UTC,What if UST was backed up by a basket of crypto? (No stablecoins),remi_tetot,[],[],0,0,1
2021-11-30 07:52:10 UTC,For value purpose you need a currency as a reference at least for now…,remi_tetot,[],[],0,2,1
2021-11-30 07:51:27 UTC,There is more to come…terra will eventually become a decentralized FX provider,remi_tetot,[],[],0,14,3
2021-11-29 09:24:46 UTC,"Staking Ratio: 40% Staking return: 11% Daily burn: 1m $Luna  Supply shock incoming, it is programmed especially when  [REDACTED] is announced...",remi_tetot,[],['luna'],59,466,35
2021-11-28 17:01:37 UTC,"I could add to that list but it would be too much alpha for CT…stay tuned though, Christmas might be coming early!  $ust $luna #lunatics",remi_tetot,['lunatics'],"['ust', 'luna']",44,227,21
2021-11-28 06:52:20 UTC,GM #Lunatics  $luna trending this morning LFG  https://t.co/DtLxY2imRO,remi_tetot,['lunatics'],['luna'],46,419,16
2021-11-27 11:08:10 UTC,I think Luna will decouple from BTC at some point,remi_tetot,[],[],0,7,2
2021-11-27 10:58:36 UTC,"Love to see $Luna leading the charge.  The burn mechanism between $UST &amp; $LUNA clearly works, I think burn saved $Luna yesterday…  We are about see $UST demand go through the roof…you what that means #lunatics!  https://t.co/79dn7OCb4e",remi_tetot,['lunatics'],"['luna', 'ust', 'luna', 'luna', 'ust']",32,267,15
2021-11-26 08:47:15 UTC,Black Friday deals rn  Best offers:  $SOL $AVAX $ATOM $NEAR  Also might be your last chance of getting $LUNA below $40,remi_tetot,[],"['sol', 'avax', 'atom', 'near', 'luna']",9,168,4
2021-11-25 16:48:04 UTC,"I love these visuals, very helpful to follow whats going on    $ust $luna",remi_tetot,[],"['ust', 'luna']",6,53,1
2021-11-25 08:38:12 UTC,Fantastic thread about  and where the 20% yield is coming from.  And yes it is sustainable…  $UST $LUNA,remi_tetot,[],"['ust', 'luna']",13,89,5
2021-11-22 15:40:32 UTC,Great piece of work especially for people not holding any $Luna … yet…  $Ust $Luna,remi_tetot,[],"['luna', 'ust', 'luna']",3,74,2
2021-11-21 21:19:11 UTC,KUJI is about to melt faces    Small MC play with risk - DYOR  $Luna $ust,remi_tetot,[],"['luna', 'ust']",23,179,14
2021-11-21 16:23:15 UTC,"Technically Terra should be : UST MC + LUNA MC, no?",remi_tetot,[],[],0,26,6
2021-11-20 16:34:20 UTC,"Avalanche price action has been very strong this week despite weakness all around.  While I have not sold 1 $Luna (and i dont intend to sell any), I did rotate my entire $Sol position to $avax",remi_tetot,[],"['luna', 'sol', 'avax']",4,177,18
2021-11-19 15:38:44 UTC,All my Luna are ready to LP on Astroport!,remi_tetot,[],[],0,3,2
2021-11-19 15:08:49 UTC,Well done. It is great to see people rallying to help like this.  Hats down #Lunatics  $Luna $UST,remi_tetot,['lunatics'],"['luna', 'ust']",0,18,0
2021-11-18 14:46:56 UTC,"Because the Luna burnt was from community pool, not from circulating supply",remi_tetot,[],[],0,1,1
2021-11-18 12:58:46 UTC,And they can earn yields on top of earnings…,remi_tetot,[],[],2,53,0
2021-11-18 08:40:43 UTC,$UST supply when vertical on $Luna burn  This was only the first step of much bigger things to come.  https://t.co/g0cFrK5Mtm,remi_tetot,[],"['ust', 'luna']",35,210,7
2021-11-18 08:12:54 UTC,"Staking Yield going up, will be in double digit soon!  $Luna $ust",remi_tetot,[],"['luna', 'ust']",3,54,4
2021-11-17 14:20:37 UTC,we can add it in 2 weeks...,remi_tetot,[],[],0,4,1
2021-11-17 14:20:00 UTC,Thats next on my list!,remi_tetot,[],[],0,1,2
2021-11-17 14:18:42 UTC,How does this compare with  and  ?  $Luna $ust $SOL  https://t.co/QZBoXmKowJ,remi_tetot,[],"['luna', 'ust', 'sol']",8,74,24
2021-11-17 08:52:16 UTC,I think avalanche is in the works already,remi_tetot,[],[],0,7,1
2021-11-17 08:48:22 UTC,"VIP: Very Important Project launches on  in the coming weeks.           What else, #lunatics?  $Luna $UST",remi_tetot,['lunatics'],"['luna', 'ust']",48,353,55
