created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-26 10:52:00 UTC,🐳 Top hodling by 1000 biggest BSC wallets 🐳  #BTC #AVAX #MATIC #DOGE #DEXE  #ADA #TLM #ETH  #DOT #MBOX  Got your eye on any of these?   Source:  https://t.co/IwpiW9WTip  https://t.co/clyMgcnEW6,whalestats,"['btc', 'avax', 'matic', 'doge', 'dexe', 'ada', 'tlm', 'eth', 'dot', 'mbox']",[],15,128,22
2021-11-25 16:52:10 UTC,"🥇 $GALA (Gala) is the Polygon Ecosystem Token with the highest trading volume in 24 hours. (Except $MATIC)  ➡️ $142,602,930 buy ⬅️ $0 sell  Whale leaderboard:  https://t.co/28TDZ6J7t5  #GALA #Polygon #DeFi #MATIC #ETHEREUM #WHALESTATS",whalestats,"['gala', 'polygon', 'defi', 'matic', 'ethereum', 'whalestats']","['gala', 'matic']",20,117,6
2021-11-25 15:27:54 UTC,👏👏 Cryptocurrency coin board shows most altcoins in green now.  Which coin will lead this bull run? 😎🤟  $DOGE $AVAX $SHIB $CRO $FTM $MANA $SAND $GALA $ELON $FTT $LINK $MATIC ...,whalestats,[],"['doge', 'avax', 'shib', 'cro', 'ftm', 'mana', 'sand', 'gala', 'elon', 'ftt', 'link', 'matic']",103,590,278
2021-11-24 03:52:14 UTC,🐳 Analysis of the top 1K ETH whales 🐳  🏆 Whale of the day:  https://t.co/rkfgDFqSbL    Top 3 transacted: 🥇 $CRO 🥈 $SHIB 🥉 $MATIC    #CRO #SHIB #ShibArmy #MATIC #ERC20 #DEFI #ETH #whalestats,whalestats,"['cro', 'shib', 'shibarmy', 'matic', 'erc20', 'defi', 'eth', 'whalestats']","['cro', 'shib', 'matic']",99,338,45
2021-11-21 13:52:11 UTC,"🥇 $MANA (Decentraland) is the Polygon Ecosystem Token with the highest trading volume in 24 hours. (Except $MATIC)  ➡️ $682,899 buy ⬅️ $819,215 sell  Whale leaderboard:  https://t.co/28TDZ6J7t5  #MANA #Polygon #DeFi #MATIC #ETHEREUM #WHALESTATS",whalestats,"['mana', 'polygon', 'defi', 'matic', 'ethereum', 'whalestats']","['mana', 'matic']",22,137,57
2021-11-21 04:40:02 UTC,"Buying dips is what creates whales 🤔  🐳 Analysis of the top 100 #VRA holders 🐳  ➡️ $466,216 buy ⬅️ $261,279 sell  $VRA whale wallets also hold 🥇 #ETH 🥈 #SHIB 🥉 #MANA 4⃣ #MATIC 5⃣ #LINK  https://t.co/iwkkUZYP0g",whalestats,"['vra', 'eth', 'shib', 'mana', 'matic', 'link']",['vra'],56,241,17
2021-11-20 09:27:37 UTC,🐳 Top 10 purchased tokens by the top 1K Ethereum richlist today  🥇 #ETH 🥈 #USDT 🥉 #USDC 4⃣ #WBTC #BITCOIN 5⃣ #SHIB 6⃣ #WOO 7⃣ #LINK 8⃣ #MATIC 9⃣ #ELON 🔟 #GRT  Are any of these tokens in your watchlist?   Source:  https://t.co/keN3bu9YBR  https://t.co/FzgYohF2hb,whalestats,"['eth', 'usdt', 'usdc', 'wbtc', 'bitcoin', 'shib', 'woo', 'link', 'matic', 'elon', 'grt']",[],86,296,32
2021-11-19 21:52:14 UTC,"🥇 $MANA (Decentraland) is the Polygon Ecosystem Token with the highest trading volume in 24 hours. (Except $MATIC)  ➡️ $35,582,190 buy ⬅️ $7,263,087 sell  Whale leaderboard:  https://t.co/28TDZ6J7t5  #MANA #Polygon #DeFi #MATIC #ETHEREUM #WHALESTATS",whalestats,"['mana', 'polygon', 'defi', 'matic', 'ethereum', 'whalestats']","['mana', 'matic']",9,92,9
2021-11-12 13:54:49 UTC,Which of these #ERC20 tokens will make the most millionaires in the next year?  $BEST $OKB $SHIB $LINK $CRO $TEL $SRM $HOT $BTR $CHZ $MATIC $FTM $UNI $VRA $ENJ $MKR $ENS  👉  https://t.co/jGSeQ3uXfo  https://t.co/oD7YVczVKI,whalestats,['erc20'],"['best', 'okb', 'shib', 'link', 'cro', 'tel', 'srm', 'hot', 'btr', 'chz', 'matic', 'ftm', 'uni', 'vra', 'enj', 'mkr', 'ens']",111,406,243
2021-11-12 00:07:55 UTC,"🐳 ETH whale ""Saitama"" just bought 2,500,000 $matic ($4,400,000 USD).  Ranked #194 on WhaleStats:  https://t.co/rDuRiw0DT7  Transaction:  https://t.co/n4cqxZ7qv2  #matic #ethereum #whalestats #defi #erc20",whalestats,"['matic', 'ethereum', 'whalestats', 'defi', 'erc20']",['matic'],42,193,9
2021-11-09 10:01:52 UTC,🐳 Daily analysis of the top 1K ETH wallets 🐳  Top 🔟 hot tokens  🥇 $USDC 🥈 $aUSDC 🥉 $ETH 4⃣ $USDT 5⃣ $OMG 6⃣ $MANA 7⃣ $MATIC 8⃣ $BAT 9⃣ $SHIB 🔟 $FTM  See any of your favorites?  👉  https://t.co/28TDZ70IkD  https://t.co/aGB3BN28Yy,whalestats,[],"['usdc', 'ausdc', 'eth', 'usdt', 'omg', 'mana', 'matic', 'bat', 'shib', 'ftm']",63,322,37
2021-11-08 07:32:02 UTC,"🐋 ETH whale ""Saitama"" just bought 1,999,990 $matic ($3,839,981 USD).  Ranked #195 on WhaleStats:  https://t.co/rDuRiw0DT7  Transaction:  https://t.co/g986uk8ED4  #matic #ethereum #whalestats #defi #erc20",whalestats,"['matic', 'ethereum', 'whalestats', 'defi', 'erc20']",['matic'],20,129,2
2021-11-06 14:05:31 UTC,It's getting hot hot hot...top 10 bot by ETH whales in 24 hrs:  1. $ETH 2. $USDC 3. $SHIB   4. $FTM   5. $SLP   6. $CELR   7. $DYDX   8. $MATIC   9. $MANA   10. $ENJ     https://t.co/oJCQdJyIjW  https://t.co/KlheuSTwCv,whalestats,[],"['eth', 'usdc', 'shib', 'ftm', 'slp', 'celr', 'dydx', 'matic', 'mana', 'enj']",185,564,60
2021-11-06 03:07:40 UTC,🐳 Analysis of the top 1K ETH whales 🐳  🏆 Whale of the day:  https://t.co/4oZeVcqX4M    Top 3 transacted: 🥇 $SHIB 🥈 $FTM 🥉 $MATIC    #SHIB #ShibArmy #Fantom #FTM #defi #MATIC #ERC20 #DEFI #ETH #whalestats,whalestats,"['shib', 'shibarmy', 'fantom', 'ftm', 'defi', 'matic', 'erc20', 'defi', 'eth', 'whalestats']","['shib', 'ftm', 'matic']",315,925,86
2021-11-03 20:36:44 UTC,"Layer 2s, makin' moves...  $MATIC  most transacted in last 24 hours.  251K hodlers.  Before that was $SHIB and $META   https://t.co/28TDZ70IkD  #ETHwhales #ETHrichlist",whalestats,"['ethwhales', 'ethrichlist']","['matic', 'shib', 'meta']",13,68,3
2021-11-02 16:28:44 UTC,Which  layer 2 or sidechain should we support next on  https://t.co/Id9lqCF9K6?  #matic #arbitrum #optimism #rollups #sidechains #l2 #l1,whalestats,"['matic', 'arbitrum', 'optimism', 'rollups', 'sidechains', 'l2', 'l1']",[],4,34,24
2021-11-02 11:41:42 UTC,"🐳 ETH whale ""Tsunade"" just bought 552,559 $matic ($1,055,388 USD).  Ranked #124 on WhaleStats:  https://t.co/bUMOU6WFJh  Transaction:  https://t.co/XWLUJVOCc8  #matic #ethereum #whalestats #defi #erc20",whalestats,"['matic', 'ethereum', 'whalestats', 'defi', 'erc20']",['matic'],15,101,4
2021-11-01 04:07:36 UTC,🐳 Analysis of the top 1K ETH whales 🐳  🏆 Whale of the day:  https://t.co/TlOEDBWDr6    Top 3 transacted: 🥇 $SHIB 🥈 $FTM 🥉 $MATIC    #SHIB #ShibArmy #Fantom #FTM #defi #MATIC #ERC20 #DEFI #ETH #whalestats,whalestats,"['shib', 'shibarmy', 'fantom', 'ftm', 'defi', 'matic', 'erc20', 'defi', 'eth', 'whalestats']","['shib', 'ftm', 'matic']",123,383,16
2021-11-01 01:05:52 UTC,"Are you a $Quant?  Then you probably also like $ETH, $SHIB, $LINK, $FTM, and $MATIC   $QNT Hodlers: 36,500 Price: $283.03 (up 1% today)  The humpbacks are dominating 🐳👀  cc      #ETHrichlist  https://t.co/lapipUch5T",whalestats,['ethrichlist'],"['quant', 'eth', 'shib', 'link', 'ftm', 'matic', 'qnt']",19,100,14
2021-10-31 00:38:26 UTC,#Polygon it is! But what about #Arbitrum?,whalestats,"['polygon', 'arbitrum']",[],0,0,2
2021-10-30 22:34:55 UTC,Patience (usually) pays.,whalestats,[],[],0,1,0
2021-10-30 22:32:13 UTC,"Where my #FANtom's at?     48,547 of 'em, hodling strong 👀  #FTM whales 🐳 also like:  -  -  -  -  -   4 of the top 100 ETH richlist hodl Fantom.   Is a  listing coming? 🏦🏦🏦   https://t.co/FEWf4FQV7w  https://t.co/yhHd5Wrkeo",whalestats,"['fantom', 'ftm']",[],6,60,7
2021-10-30 12:00:57 UTC,"Everything you wanted to know about #SHIB    Hodlers: 858,107   88 whales among 1K ETH richlist (8.8%)  #ShibaToken whales also hodl: #ETH, #LINK, #OKB, #MATIC, #FLOKI, #BANK, #KITTY  Keep calm and shib' on.   https://t.co/2R90mbjsMo  #shibarmy #shibatoken  https://t.co/YPr9Dpon0A",whalestats,"['shib', 'shibatoken', 'eth', 'link', 'okb', 'matic', 'floki', 'bank', 'kitty', 'shibarmy', 'shibatoken']",[],185,528,33
