created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 14:16:54 UTC,Shiba never stops growing 🚀🚀 $SHIB,shibaexpert,[],['shib'],288,951,49
2021-11-30 10:19:24 UTC,Shiba to the moon🚀🚀🤩 $SHIB  https://t.co/1s5Yx9WYpy,shibaexpert,[],['shib'],213,598,43
2021-11-30 00:12:17 UTC,Shiba Inu is just starting! 🚀🚀 $SHIB  RT if you agree,shibaexpert,[],['shib'],301,514,23
2021-11-29 17:24:03 UTC,Shiba has been listed in Kraken exchange. We are now ready to kill another zero 🚀🚀 $SHIB  https://t.co/vpMaCLJlxL,shibaexpert,[],['shib'],312,733,38
2021-11-17 11:33:46 UTC,"Shiba is getting ready to pump again, retweet if you agree $SHIB 🚀🚀",shibaexpert,[],['shib'],481,759,55
2021-11-15 20:44:07 UTC,"Shiba only needs the $SHIB community to pump again, retweet if you support our army!! 🚀🚀",shibaexpert,[],['shib'],476,679,41
2021-11-15 20:38:48 UTC,comment #shiba as much times as you can! good luck!!!,shibaexpert,['shiba'],[],90,199,274
2021-11-15 20:38:11 UTC,The person who comments the most #shiba will win 100.000.000 $SHIB,shibaexpert,['shiba'],['shib'],403,787,2592
2021-11-01 18:09:00 UTC,Notis on!  #SHIBArmy #SHIBA 🔔  https://t.co/XKG4S2JTxj,shibaexpert,"['shibarmy', 'shiba']",[],148,248,46
2021-10-28 17:12:55 UTC,Shiba should kill another zero soon!! $SHIB,shibaexpert,[],['shib'],380,927,109
2021-10-26 07:40:00 UTC,Shiba don't need Elon Musk,shibaexpert,[],[],362,1109,167
2021-10-23 17:43:37 UTC,Wait... What?? $SHIB #SHIBA  https://t.co/FhR2zLHwrI,shibaexpert,['shiba'],['shib'],219,492,40
2021-10-21 17:42:08 UTC,go #SHIBA $SHIB army,shibaexpert,['shiba'],['shib'],87,161,19
2021-10-18 16:42:02 UTC,Retweet if you have $SHIB #SHIBA,shibaexpert,['shiba'],['shib'],121,155,12
2021-10-13 20:29:30 UTC,Are you guys holding $SHIB #SHIBA ?,shibaexpert,['shiba'],['shib'],76,176,29
2021-10-13 15:32:14 UTC,Turn on my notis🔔 big #SHIBA $SHIB giveaway soon,shibaexpert,['shiba'],['shib'],71,131,31
2021-10-07 14:37:05 UTC,"RT if you think $SHIB #SHIBA is going to reach 0,01$ soon 🚀🚀🚀🚀🚀  https://t.co/9Rhp0Pf4kW",shibaexpert,['shiba'],['shib'],54,101,6
2021-10-07 14:25:34 UTC,Sell your #SHIBA $SHIB !!!  https://t.co/xpss8eZuIN,shibaexpert,['shiba'],['shib'],23,42,8
