created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 04:16:20 UTC,Crypto Exchange Kraken Now Supports Shiba Inu — $SHIB Trading to Begin Tomorrow   https://t.co/yIXIR5ALfu,shibainuart,[],['shib'],924,2889,100
2021-11-30 04:14:26 UTC,"Crypto exchange Kraken lists Shiba Inu, kickstarting $SHIB price recovery.   https://t.co/lh6s54AdNS",shibainuart,[],['shib'],501,1693,38
2021-11-27 23:05:52 UTC,Shiba Inu $SHIB Strengthens Its Presence on Asian Exchanges   https://t.co/E9wYmuYPEv,shibainuart,[],['shib'],981,2870,137
2021-11-27 23:04:40 UTC,Shiba Inu $SHIB Metaverse: Here’s Everything You Should Know About the currency’s Gaming Venture.  Source:  https://t.co/JMQSJtqoOh,shibainuart,[],['shib'],753,2275,97
2021-11-27 23:03:45 UTC,Shiba Inu team joins hands with former  VP for a Shiba $SHIB game.      https://t.co/2vHSYyuOIj,shibainuart,[],['shib'],648,1927,94
2021-11-27 23:02:34 UTC,This Is Why Shiba Inu $SHIB Will Disrupt The Metaverse Industry!   https://t.co/ewaXOyUXPC,shibainuart,[],['shib'],675,1891,132
2021-11-27 23:01:46 UTC,It's Official! Online Retail Giant Newegg Confirms That It Will Accept Shiba Inu $SHIB   https://t.co/vO1qHKEWHY,shibainuart,[],['shib'],862,2622,89
2021-11-27 23:01:18 UTC,Shiba Inu $SHIB Propels Into Trillion-Dollar Metaverse With Blockchain Gaming Introduction.   https://t.co/qENVKykx8d,shibainuart,[],['shib'],1391,3715,196
2021-11-27 22:59:50 UTC,"Shiba Inu $SHIB finds new friend in Newegg, as online retailer confirms it will accept the token.   https://t.co/hATNjLUTiN",shibainuart,[],['shib'],658,2132,96
2021-11-26 21:28:04 UTC,Invited to an AMA with the Shiba Persian Chat at this time.  https://t.co/cl3c77LD7j  https://t.co/mxQXsy9P72,shibainuart,[],[],416,1435,78
2021-11-25 20:13:31 UTC,Shiba Inu : Trending on Socials with 56.3K Tweets.  #SHIB  https://t.co/iSuQDwtC54,shibainuart,['shib'],[],1127,3556,234
2021-11-25 15:47:16 UTC,🟢 New Medium release tomorrow.  🟢 Shiba Inu Games details.  🟢 Lead Consultant that will be working with the AAA game studio to be revealed.   #ShibArmy,shibainuart,['shibarmy'],[],1198,3316,191
2021-11-25 05:27:57 UTC,Decoding the Shiba Inu $SHIB Teaser: Here’s What it Could Mean  Source:    https://t.co/xCFgiiFfNN,shibainuart,[],['shib'],724,2165,226
2021-11-24 10:11:45 UTC,"GiftChill, E-Gift Cards Giant Retailer, Confirms Shiba $SHIB as Payment Method.   https://t.co/LkpVuXHzd6",shibainuart,[],['shib'],598,1557,68
2021-11-23 03:19:31 UTC,Shiba Inu team issues scam alert to $SHIB investors.   https://t.co/CQ0mB0A1M9,shibainuart,[],['shib'],344,1153,54
2021-11-23 03:15:43 UTC,Shiba Inu $SHIB Dominate U.S. Most Searched List In November   https://t.co/BKvkt6rPyB,shibainuart,[],['shib'],627,1815,74
2021-11-22 01:00:59 UTC,"Shiba Inu $SHIB makes up the biggest holding of the top 1,000 ETH wallets.   https://t.co/EB6k1oyDUZ",shibainuart,[],['shib'],788,2338,103
2021-11-22 00:59:57 UTC,Vegas Auto Gallery Now Accepts Shiba Inu $SHIB Payment for Its Services  Source:  https://t.co/c1mkzwIv4Z,shibainuart,[],['shib'],641,1804,76
2021-11-22 00:58:54 UTC,"Now You Can Finally Buy a Car With the Shiba Inu $SHIB Token, but With This Increased Popularity Comes an Onslaught of Scams.  Source:  https://t.co/9kzzMu3A45",shibainuart,[],['shib'],615,1797,86
2021-11-20 17:51:40 UTC,🐶Doggy.  🦴Dao.  💟Shiba.  ☸️Swap.   🎨Shibo.  🕹Shis.   🪧Shiba.  🛅Rium.  🟠Shib.  🔴Leash.  ⚪️Bone.   🌙✨💫  #ShibArmy,shibainuart,['shibarmy'],[],728,2321,162
2021-11-19 15:35:41 UTC,"🟥These scammers are getting quite creative, and this one is getting super irritating.  Do not click on these links There is no SHIBA NEWS BIG EVENT There is no GIVEAWAY There is no AIRDROP Stay safe. Do not hand your keys Beware of impersonators Block THEM!  #SHIBARMY #SHIB  https://t.co/vewFD2Up6C",shibainuart,"['shibarmy', 'shib']",[],589,1435,186
2021-11-19 15:25:42 UTC,"Recently, crypto analytics firm Santiment published a research report in which it said that Shiba Inu $SHIB could be considered a “blue chip” among Ethereum-powered altcoins.  Source:  https://t.co/5UiZHSt2nv",shibainuart,[],['shib'],744,1925,180
2021-11-17 21:01:27 UTC,Even Drinking Coffee Can Burn $SHIB After Shiba Coffee Company Launches.  Source:  https://t.co/cboesObMUE,shibainuart,[],['shib'],1159,3052,199
2021-11-17 04:53:34 UTC,"AMC Theatres to Accept Shiba Inu $SHIB Within Two to Four Months. The largest movie theater chain in the U.S. already accepts bitcoin, ether and other cryptos.  Source:  https://t.co/NeabQZvSFT",shibainuart,[],['shib'],675,1997,112
2021-11-17 04:52:50 UTC,Shiba Inu $SHIB Now Supported by Samsung-Backed Crypto Wallet App  Source:  https://t.co/qjAITjocy5,shibainuart,[],['shib'],1123,3061,106
2021-11-15 15:51:40 UTC,Kraken Exec drops Shiba Inu $SHIB listing hint; Deletes tweet later.  Source:  https://t.co/w9p7SljHf6,shibainuart,[],['shib'],692,1923,113
2021-11-14 05:13:43 UTC,Crypto Exchange Gemini Adds Shiba Inu Support — $SHIB Investors Hopeful Robinhood Will Be Next   https://t.co/UiQ6BZTrXl,shibainuart,[],['shib'],1202,3510,159
2021-11-11 23:22:30 UTC,"Massive: A community member just shared this account  with me. It mysteriously appeared on social media, and posts: This Truth is for teh ppl $SHIB.  Also releasing a medium titled: Clearing the mist around the ETH OGs and Shiba Inu connection (Part 1).",shibainuart,[],['shib'],589,1531,132
2021-11-11 21:57:31 UTC,Mobile Game Helps Shiba Inu Burn By Destroying $SHIB With Ad Revenue 🔥  Source:  https://t.co/28Ft5wkPRL,shibainuart,[],['shib'],1628,4313,216
2021-11-11 18:43:03 UTC,"Shiba Inu $SHIB Will Make an Explosive Move Right Back, Says Crypto Analyst  Source:    https://t.co/BX0iQ61g1W",shibainuart,[],['shib'],979,2531,177
