created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:00:13 UTC,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1638288013,eylemculculoglu,[],['sol'],6,226,11
2021-11-28 22:00:04 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1638136804,eylemculculoglu,[],['sol'],7,239,27
2021-11-27 12:00:05 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1638014404,eylemculculoglu,[],['sol'],6,208,19
2021-11-25 16:00:05 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637856004,eylemculculoglu,[],['sol'],9,276,27
2021-11-23 18:00:04 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637690404,eylemculculoglu,[],['sol'],12,202,6
2021-11-22 00:00:01 UTC,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1637539201,eylemculculoglu,[],['sol'],4,80,9
2021-11-21 17:00:05 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637514005,eylemculculoglu,[],['sol'],6,146,6
2021-11-19 14:00:04 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1637330404,eylemculculoglu,[],['sol'],6,183,17
2021-11-15 04:00:07 UTC,SOLUSDT GAVE BUY SIGNAL ON 4H CHART $SOL 1636948806,eylemculculoglu,[],['sol'],3,144,11
2021-11-15 00:00:08 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636934407,eylemculculoglu,[],['sol'],3,140,6
2021-11-13 14:00:04 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636812003,eylemculculoglu,[],['sol'],4,112,6
2021-11-11 06:00:04 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636610404,eylemculculoglu,[],['sol'],4,155,14
2021-11-10 17:00:05 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636563605,eylemculculoglu,[],['sol'],5,133,15
2021-11-09 01:00:03 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636419602,eylemculculoglu,[],['sol'],4,110,10
2021-11-06 06:00:01 UTC,SOLUSDT GAVE BUY SIGNAL ON 1H CHART $SOL 1636178401,eylemculculoglu,[],['sol'],10,215,26
