created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 15:34:10 UTC,BREAKING: US Treasury Secretary Janet Yellen says Stablecoins like #Tether require proper regulations.,cryptowhale,['tether'],[],172,1170,113
2021-11-30 15:19:33 UTC,"Not growing. Institutional and retail demand has flatlined since February.   The only growth we’re seeing now is retail jumping into meme coins, and Tether propping up illiquid shitcoins like BTC and Ethereum.",cryptowhale,[],[],0,18,2
2021-11-30 14:59:05 UTC,"Yes. Once you understand that this entire bubble is being propped up by Tether and delusional retail speculators, you’ll realize it’s not as sunshine and rainbows as they try painting it to be.",cryptowhale,[],[],1,47,9
2021-11-29 17:54:18 UTC,"Introducing the $3,000,000 #Tether Bounty.  We've launched a new anti-fraud bounty program with up to $3M in rewards for tips on Tether's backings.  Read More Here:  https://t.co/Nw3EnuFSox  https://t.co/XHLfqEhrQ9",cryptowhale,['tether'],[],79,511,123
2021-11-26 19:27:18 UTC,"Because if the sheep see someone big buying, they will buy too, thus pushing the prices up.   He can’t handle seeing his ponzi drop, also notice how his lies always come minutes after Tether prints.   He also just partnered with Tether/BlockStream. Very suspicious.",cryptowhale,[],[],9,84,8
2021-11-26 19:25:57 UTC,"Not because of him, because his best friends (Tether) just printed billions more USDT.   He has a new partnership with BlockStream which is entirely funded by Tether, and ran by huge criminals.   He’s in on the scam too.",cryptowhale,[],[],9,69,6
2021-11-26 18:44:22 UTC,BREAKING: 1 Billion unbacked $USDT magically printed out of thin air at the #Tether  Treasury.  https://t.co/xgs5nUJVFs,cryptowhale,['tether'],['usdt'],327,2000,349
2021-11-26 18:17:20 UTC,"300,000,000 #USDT just transferred from #Tether to #FTX  https://t.co/TWvWM0Uerh",cryptowhale,"['usdt', 'tether', 'ftx']",[],63,509,114
2021-11-26 17:33:05 UTC,Probably just a lucky guess...  #Bitcoin #Tether $BTC  https://t.co/TqAKHm1wNG,cryptowhale,"['bitcoin', 'tether']",['btc'],46,471,68
2021-11-26 14:49:21 UTC,This is probably what the #Bitcoin maxis are DMing Tether right now:  https://t.co/NmKt1iIpdw,cryptowhale,['bitcoin'],[],48,452,71
2021-11-26 00:31:19 UTC,Bitcoiners have nosebleeds when the Federal Reserve prints money to prop up the stock market.  But stay dead silent when China’s #Tether fraud does the exact same thing for #Bitcoin   The hypocrisy…,cryptowhale,"['tether', 'bitcoin']",[],72,535,50
2021-11-25 00:52:06 UTC,1. It’s not true.  2. Samson Mow is a scammer who works for Tether. 3. He blocks critics from commenting  so they can’t call out the BS.,cryptowhale,[],[],0,3,0
2021-11-24 19:46:56 UTC,"Centralized crypto exchanges are the same as traditional finance, just 100x worse.   I don’t support banks, but a bank run is significantly less of a risk than a large scale liquidity crisis in crypto, which will undoubtedly happen when Tether goes bust.",cryptowhale,[],[],11,85,14
2021-11-24 18:09:38 UTC,❤️☺️ Thank you!,cryptowhale,[],[],0,3,1
2021-11-24 17:51:09 UTC,I genuinely want one!   I’ve been trying to ask  and  but they sadly blocked me.   Someone get the word to them!,cryptowhale,[],[],1,12,3
2021-11-24 17:33:04 UTC,Many maxis will now start saying “but-but the Lightning Network”   The LN is a centralized dump thats backed by scammers like by Tether.   Read this if you haven’t yet:   https://t.co/jlC7f6UYDJ,cryptowhale,[],[],45,260,32
2021-11-24 06:58:58 UTC,"I just blocked him, he’s too dumb to even try to reason with. 🤣",cryptowhale,[],[],2,10,4
2021-11-24 00:29:25 UTC,"Tether makes up 80% of the crypto markets. All fake money, biggest fraud in history… You should really do more research because when this collapses, you will almost definitely lose.",cryptowhale,[],[],15,126,20
2021-11-24 00:23:08 UTC,"The U.S Senate just sent a letter to Tether's CEO demanding info on several shady business operations.  People are finally waking up. The #Tether fraud is in its final stages, and ready to collapse at any moment.   #Bitcoin $USDT $BTC  https://t.co/WwrpZ4XDmi",cryptowhale,"['tether', 'bitcoin']","['usdt', 'btc']",309,1233,190
2021-11-23 17:43:09 UTC,"Tether printed billions of unbacked dollars, and maxis ran with dozens of fake rumors, and we pumped...  My god, you really have no idea...",cryptowhale,[],[],0,4,1
2021-11-23 16:52:19 UTC,"#Tether is sinking! 🚨  USDT to INR pair has plunged nearly 7% after Indian government announces bill to ban private cryptos, and launch own CBDC.  https://t.co/jcp1tbI8sl",cryptowhale,['tether'],[],109,696,168
2021-11-22 21:03:48 UTC,Tether has finally confirmed its audit!  https://t.co/2DkMu0ZgZb,cryptowhale,[],[],210,2584,229
2021-11-18 19:13:29 UTC,Bitcoin is not a scam.   Tether is.,cryptowhale,[],[],0,11,6
2021-11-17 01:30:32 UTC,"When the 150,000+ #Bitcoin is soon dumped on the market, $BTC will likely tank over 80-90%.   No amount of Tether printing can stop the carnage from Mt. Gox.  https://t.co/LAZSktudeu",cryptowhale,['bitcoin'],['btc'],210,1114,394
2021-11-16 14:22:32 UTC,"#Bitcoin tanking on the day the infrastructure bill is passed just shows how this experiment has nothing to do with inflation.   The price of $BTC is only dependant on 3 things: Tether printing, false narratives &amp; speculation.",cryptowhale,['bitcoin'],['btc'],90,683,124
2021-11-16 00:32:38 UTC,"I would agree, but don’t you think we’ve seen the peak stupidity?  Everyone that’s heard of crypto is balls deep in it, and Tether barely has any juice left.   I think being bullish after such a pump, without real fundamentals, is risky and dangerous, but time will tell…",cryptowhale,[],[],2,46,16
2021-11-16 00:25:15 UTC,"People are under the false idea that Bitcoin is rising because Inflation…   Not true at all. Bitcoin is rising because Tether, which is very close to going bust, is printing fake USDT.   We can already see the real vs fake demand. Bitcoin’s true demand is almost non-existent.",cryptowhale,[],[],6,60,17
2021-11-13 18:12:52 UTC,Thank #Tether for that.,cryptowhale,['tether'],[],0,21,1
2021-11-13 16:23:39 UTC,"Respect your opinion as always, but since when does marketcap mean anything?  Tether has higher volume than the entire market, and makes up 80% of Bitcoin’s volume.   No tether = no liquidity for Bitcoin = exchanges halt withdrawals = prices plunge = major crisis.",cryptowhale,[],[],7,130,24
2021-11-13 00:26:47 UTC,"Bitcoins fundamentals are still non-existing with or without Tether.   No one is using it, fees are insanely high, LN is centralized, 4% control 96% of supply, and adoption is so low.   Tether just pumps it to make it look good to the greedy man’s eyes. Wake up.",cryptowhale,[],[],0,19,0
2021-11-12 18:43:37 UTC,"In late October, SEC was given the authorization to crackdown on the Tether fraud for the first time ever.  It’s only a matter of time before SEC announces a full on crackdown.  When Tether goes bust, 80-90% of liquidity in Bitcoin will vanish.",cryptowhale,[],[],171,1138,255
