created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:00:23 UTC,✨ https://t.co/8kWqgDWNXb Crypto Loans✨   🔥Go Borrow $USDT with a 0.02% daily interest rate🔥 👉 https://t.co/paWk3TB0gg  🎉Join the  https://t.co/8kWqgDWNXb Margin &amp; Loan TG Group 👉 https://t.co/lqe9hEsQ3I  🔥 $BTC $ETH $USDT $GHST  https://t.co/zggvj900YQ,gate_io,[],"['usdt', 'btc', 'eth', 'usdt', 'ghst']",30,91,278
2021-11-30 13:30:11 UTC,Last day of #TreasureCard Hunt Contest!  Are you ready to grab your 10 $USDT bounty?  Follow  RT with ≥ 20 words &amp; #DualCurrency #Gateio &amp; @ 2 Friends  Fill out the form&amp;submit cards screenshots:  https://t.co/KCpS6KkS6k Contest details:  https://t.co/kgY1WCjQLU  https://t.co/2rrMMW6StD,gate_io,"['treasurecard', 'dualcurrency', 'gateio']",['usdt'],36,103,128
2021-11-30 11:00:04 UTC,Update On #GateioCopyTrading Strategies Pool  Top Strategy Return For Signalers: 49K+ $USDT  Daily Recommendation: $JASMY / $USDT $DOT / $USDT $SHIB / $USDT  Try Out:  https://t.co/zUCBxbECRy Details:  https://t.co/qHxUbm2ACN #QuantTrading Video:  https://t.co/5A4TFOnmru  #Gateio  https://t.co/DcJYq3s7qN,gate_io,"['gateiocopytrading', 'quanttrading', 'gateio']","['usdt', 'jasmy', 'usdt', 'dot', 'usdt', 'shib', 'usdt']",10,67,48
2021-11-30 10:45:05 UTC,https://t.co/8kWqgEeplL New Listing:   Trading Pair: $POG / $USDT Trading Starts: Nov 30th at 13:00(UTC)  Trade:  https://t.co/r2dDxmSySm  Details:  https://t.co/2A1ljjAhKH  #Gateio #Newlisting #Startup #crypto #POG #USDT  https://t.co/ZZYG7Is4Ku,gate_io,"['gateio', 'newlisting', 'startup', 'crypto', 'pog', 'usdt']","['pog', 'usdt']",22,76,57
2021-11-30 09:45:05 UTC,https://t.co/8kWqgEeplL New Listing:  😊  Trading Pair: $MGA / $USDT ⭐️   Trading Starts: Nov 30th at 13:30(UTC) 💥  Trade:  https://t.co/qfZBseYXbN Details:  https://t.co/6BRMqgegNf  #Gateio #Newlisting #Startup #crypto #MGA #USDT  https://t.co/7FOaNA15Sc,gate_io,"['gateio', 'newlisting', 'startup', 'crypto', 'mga', 'usdt']","['mga', 'usdt']",29,79,53
2021-11-30 08:30:05 UTC,"#Gateio 236th Listing Vote Result |   $KDA Trading Will Be Enabled At #Gateio  ⏰Time: Nov 30th, 08:00 AM UTC  🔶Deposit:  https://t.co/AwHyh4wbgQ   🔸Trade Via USDT:  https://t.co/JwoytDNhCB  🔹Trade Via BTC:  https://t.co/9Dmd6J9TMr   👉Details:  https://t.co/9cSfRvGlJs  https://t.co/w7viEfl2xZ",gate_io,"['gateio', 'gateio']",['kda'],165,746,56
2021-11-30 08:15:04 UTC,https://t.co/8kWqgEeplL New Listing:  😊  Trading Pairs: $XTAG / $USDT &amp; $XTAG / $ETH  Trading Starts: Nov 30th at 12:00(UTC)   Trade via USDT:  https://t.co/NbqtvSASvs Trade via ETH:  https://t.co/GnTuLA94vc Details:  https://t.co/tgaMlJYVgY  #Gateio #Newlisting #Startup  https://t.co/MWRmppcJB3,gate_io,"['gateio', 'newlisting', 'startup']","['xtag', 'usdt', 'xtag', 'eth']",17,76,34
2021-11-30 07:15:03 UTC,https://t.co/8kWqgEeplL New Listing   Trading Pair: $PAF / $USDT Trading Starts: Nov 30th at 10:00 (UTC)  Trade:  https://t.co/bScE70O7vZ Details:  https://t.co/ytNugC9Vj3  #Gateio #Newlisting #Startup #crypto  https://t.co/4jdNUTodWN,gate_io,"['gateio', 'newlisting', 'startup', 'crypto']","['paf', 'usdt']",25,71,46
2021-11-29 16:00:05 UTC,✨  https://t.co/8kWqgEeplL Crypto Loans ✨   🔥 Go Borrow #USDT with a 0.016% daily interest rate 🔥   👉 https://t.co/cgtnbEMWiM  🎉 Join the  https://t.co/8kWqgEeplL Margin &amp; Loan TG Group  👉 https://t.co/nqj4Z1qtnj  🔥#BTC #ETH #USDT #RNDR  https://t.co/pxmI3T9cD6,gate_io,"['usdt', 'btc', 'eth', 'usdt', 'rndr']",[],7,231,34
2021-11-29 12:45:03 UTC,Update On #Gateio #CopyTrading Strategies  Annualized Return: 45K+ $USDT   Daily Recommendation: $JASMY / $USDT $TOTM / $USDT $SOL / $USDT  CopyTrading:  https://t.co/zUCBxbECRy Details:  https://t.co/3Ik3ZIBlIl #QuantTrading Video:  https://t.co/9PWmq2npUg  https://t.co/Lw5xgGDhMd,gate_io,"['gateio', 'copytrading', 'quanttrading']","['usdt', 'jasmy', 'usdt', 'totm', 'usdt', 'sol', 'usdt']",15,69,43
