created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 14:48:30 UTC,"Dear Traders,  We have successfully added REQ by  to our platform.   Trade $REQ against $BTC and $USDT, visit:  https://t.co/0N3NoPwKnn  https://t.co/Ap5Byn8efC",hitbtc,[],"['req', 'btc', 'usdt']",12,31,19
2021-11-29 18:59:57 UTC,"Dear Traders,  We have successfully supported the  THERA Network Upgrade &amp; Hard Fork by    Trade $THETA against $BTC and $USDT visit:  https://t.co/62A4O0CwSE  https://t.co/yfuV9Ti3KI",hitbtc,[],"['theta', 'btc', 'usdt']",1,9,6
2021-11-29 14:43:25 UTC,"Dear Traders,  We have successfully added SUKU by  to our platform.   Trade $SUKU against $BTC and $USDT, visit:  https://t.co/gOni00V8FR  https://t.co/BFlgHglBPb",hitbtc,[],"['suku', 'btc', 'usdt']",8,17,17
2021-11-29 13:21:33 UTC,"Dear Traders,  🎁 All the prizes from our  (WLITI) Trading Contest have now been distributed.  👏 Congratulations to all the winners!  Trade $WLITI against $BTC and $USDT, visit:  https://t.co/q0DphmMxQU",hitbtc,[],"['wliti', 'btc', 'usdt']",6,10,2
2021-11-29 09:44:07 UTC,"Dear Traders,  We have successfully added UOS by  to our platform.   Trade $UOS against $BTC and $USDT, visit:  https://t.co/Q9QocOk0Pb  https://t.co/naipXo5mfN",hitbtc,[],"['uos', 'btc', 'usdt']",81,346,24
2021-11-26 22:03:55 UTC,"Dear Traders,  🎉 Our  (WLITI) Trading Contest has now finished!  🏆 All prizes will be distributed to the winners soon.  Stay tuned for updates!  Trade $WLITI against $BTC and $USDT, visit:  https://t.co/q0DphmMxQU",hitbtc,[],"['wliti', 'btc', 'usdt']",11,21,22
2021-11-26 02:12:09 UTC,"Hi there, if you would like to trade USDT you will need to make sure that you are using the USDT OMNI standard. If you have USDT20 or USDTRX you will need to convert it first. Please check out our quick and simple guide here:  https://t.co/uSY9WKAHDE",hitbtc,[],[],0,0,0
2021-11-25 12:03:31 UTC,"Dear Traders,  We have successfully added NKN by  to our platform.   Trade $NKN against $BTC and $USDT, visit:  https://t.co/R6u93M1nPl  https://t.co/Kw57y6QEaq",hitbtc,[],"['nkn', 'btc', 'usdt']",5,27,12
2021-11-24 19:19:33 UTC,"Dear Traders,  We have successfully added JASMY by  to our platform.   Trade $JASMY against $BTC and $USDT, visit:  https://t.co/o4iE9x2LSW  https://t.co/mwi31Oh003",hitbtc,[],"['jasmy', 'btc', 'usdt']",53,161,14
2021-11-24 12:19:07 UTC,"Dear Traders,  We have successfully added LTNM by  to our platform.   Trade $LTNM against $BTC and $USDT, visit:  https://t.co/G53ojF0Bsx  https://t.co/ERpttqBMn7",hitbtc,[],"['ltnm', 'btc', 'usdt']",1,14,3
2021-11-24 09:14:16 UTC,"Dear Traders,  We have successfully supported the NEM (XEM) NIS v0.6.98 Release by    Trade $XEM against $BTC, $ETH, $USDT &amp; $EOS, visit:  https://t.co/0kh1nF9e14  https://t.co/uCaBil6KbL",hitbtc,[],"['xem', 'btc', 'eth', 'usdt', 'eos']",2,16,6
2021-11-23 16:23:53 UTC,"Dear Traders,  We have successfully added ALPACA by  to our platform.  Trade $ALPACA against $BTC and $USDT, visit:  https://t.co/h5dXAZ2xZW  https://t.co/SI0wKotJDC",hitbtc,[],"['alpaca', 'btc', 'usdt']",44,210,81
2021-11-23 11:37:58 UTC,"Dear Traders,  We have successfully added UST by  to our platform.  Trade $UST against $BTC and $USDT, visit:  https://t.co/EeeHuZSUax  https://t.co/UhgfCr0vEG",hitbtc,[],"['ust', 'btc', 'usdt']",17,61,22
2021-11-23 09:18:11 UTC,"Dear Traders,  We have successfully supported the KLAY v1.7.1 Release by    Trade $KLAY against $BTC and $USDT, visit:  https://t.co/cwNlv6ispR  https://t.co/RyqiZWhMPf",hitbtc,[],"['klay', 'btc', 'usdt']",1,7,5
2021-11-23 07:23:43 UTC,"Dear Traders,  We have successfully added STARL by  to our platform.  Trade $STARL against $BTC and $USDT, visit:  https://t.co/oJyfdkVmZX  https://t.co/r3riC0bwsh",hitbtc,[],"['starl', 'btc', 'usdt']",219,614,129
2021-11-22 13:33:08 UTC,"Dear Traders,  We have successfully added ALCX by  to our platform.  Trade $ALCX against $BTC and USDT, visit:  https://t.co/zCSkLFDrgK  https://t.co/Wd2Iznl9fs",hitbtc,[],"['alcx', 'btc']",3,14,10
2021-11-22 10:20:39 UTC,"Dear Traders,  We have successfully added #TONCOIN to our platform.  Trade $TONCOIN against $BTC and $USDT, visit:  https://t.co/9S1YxcjFOG  https://t.co/bT95VF6k8H",hitbtc,['toncoin'],"['btc', 'usdt']",5,21,17
2021-11-18 19:09:09 UTC,"Dear Traders,  We have successfully added BTCBAM by  to our platform.  Trade $BTCBAM against $USDT, visit:  https://t.co/HQVm6ZA91u  https://t.co/knaWZpC48J",hitbtc,[],"['btcbam', 'usdt']",59,128,109
2021-11-18 11:46:56 UTC,"Dear Traders,  We have successfully added PAR by Parallel to our platform.  Trade $PAR against $BTC and $USDT, visit:  https://t.co/H8v5dxGnug  https://t.co/fM8LAIwWxM",hitbtc,[],"['par', 'btc', 'usdt']",12,22,8
2021-11-17 17:19:36 UTC,"Dear Traders,  We have successfully supported the Free Ton (TON) to  (EVER) rebrand.  Trade $EVER against $BTC, $ETH and $USDT, visit:  https://t.co/8kKYadqnFN  https://t.co/dZQBiRGNZt",hitbtc,[],"['ever', 'btc', 'eth', 'usdt']",13,32,146
2021-11-17 12:36:10 UTC,"🏆 Get ready for a  (WLITI) Trading Contest starting very soon on HitBTC!    🥇 1st place wins 6000 USDT   🎁 Prize pool: 22,000 USDT   ⏱  Trade $WLITI from 00:00 (UTC) on November 18th to 00:00 (UTC) on November 26th, 2021   👉 Find out more:  https://t.co/zxDqFOYeBV  https://t.co/6uQPDJZL8S",hitbtc,[],['wliti'],10,21,8
2021-11-17 11:27:15 UTC,"Dear Traders,  We have successfully added PLI by  to our platform.  Trade $PLI against $BTC, $USDT and $XDC, visit:  https://t.co/jv0O6aEtx0  https://t.co/J1t5pEU5Xo",hitbtc,[],"['pli', 'btc', 'usdt', 'xdc']",9,37,9
