created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:15:00 UTC,"Join the recent market review and future market outlook of $BTC, $KCS, $SAND, $MANA and $HERO in #KuCoin Exchange 2nd Group, 500 $USDT to Give Away!  ➡️  https://t.co/ugvM9osDbd  https://t.co/RcFQBT05Zh",kucoincom,['kucoin'],"['btc', 'kcs', 'sand', 'mana', 'hero', 'usdt']",116,540,551
2021-11-30 12:00:01 UTC,"📢 New Listing   $NU gets listed on #KuCoin!  🔹Pairs: NU/USDT, NU/BTC 🔹Deposit: now open (network: ERC20) 🔹Trading: 10:00 am on December 1, 2021 (UTC) 🔹Withdrawal: 10:00 am on December 2, 2021 (UTC)  Details:  https://t.co/vRMuG4aRcM  https://t.co/vGxdqVc1gj",kucoincom,['kucoin'],['nu'],72,354,209
2021-11-30 11:30:00 UTC,"📢 New Listing  NAGA Coin $NGC gets listed on #KuCoin!  🔹Pair: NGC/USDT 🔹Deposit: now open (network: ERC20) 🔹Trading: 10:00 am on Dec 1, 2021 (UTC) 🔹Withdrawal: 10:00 am on Dec 2, 2021 (UTC)  Details:  https://t.co/8Ba0c3lsXa  https://t.co/o8n2qxn8jx",kucoincom,['kucoin'],['ngc'],52,322,196
2021-11-30 10:11:31 UTC,"📢 New Listing  Kava Lend $HARD  gets listed on  #KuCoin!  🔹Pair: HARD/USDT 🔹Deposit: now open (network: KAVA) 🔹Trading: 10:00 am on December 1, 2021 (UTC) 🔹Withdrawal: 10:00 am on December 2, 2021 (UTC)  Details:  https://t.co/0SzIUBtgyu  https://t.co/UB10rPGMoN",kucoincom,['kucoin'],['hard'],41,257,299
2021-11-30 09:07:17 UTC,"📢 World Premiere Listing  MINE Network $MNET  gets listed on #KuCoin!   🔹Pair: MNET/USDT 🔹Deposit: now open (network: ERC20) 🔹Trading: 9:00 am on Dec 1, 2021 (UTC) 🔹Withdrawals: 10:00 am on Dec 2, 2021 (UTC)  Details:  https://t.co/lyyWCyXZRy  https://t.co/G0QZ3lkYmA",kucoincom,['kucoin'],['mnet'],76,381,193
2021-11-30 07:05:31 UTC,"📢 World Premiere Listing  xHashtag $XTAG  gets listed on #KuCoin!  🔹Pair: XTAG/USDT 🔹Deposit: now open (network: SPL-Solana) 🔹Trading: 9:00 on November 30, 2021 (UTC) 🔹Withdrawal: 13:00 on December 1, 2021 (UTC)  Details:  https://t.co/XHAOgWBwad  https://t.co/Ls7HuJLTz1",kucoincom,['kucoin'],['xtag'],108,389,221
2021-11-30 02:54:26 UTC,Exclusive Bonus for #KuCoinMargin New Traders: Learn Margin and Unlock Trial Funds of Up to 305 $USDT!  ➡️  https://t.co/DGvjT0rJoA  https://t.co/rsaJo41vKx,kucoincom,['kucoinmargin'],['usdt'],17,132,93
2021-11-29 17:30:00 UTC,"#KuCoin Weekly Report (Nov 22 - Nov 28)  ✅ 23rd (Oct 2021) $KCS burn 🔥 ✅ $ILA  on #BurningDrop ✅ KuCoin #Thanksgiving Feast: 160,000 $USDT to give away ✅ $FLY, $HAKA &amp; $LSS staking campaigns  #MoreToCome #BUIDL  https://t.co/I8M4kdOOWE",kucoincom,"['kucoin', 'burningdrop', 'thanksgiving', 'moretocome', 'buidl']","['kcs', 'ila', 'usdt', 'fly', 'haka', 'lss']",74,418,968
2021-11-29 14:10:01 UTC,"Join the #KuCoin AMA with  in KuCoin #Metaverse Group, 1,000 $USDT to Give Away!  ⏰ Date: 08:00 am on November 30, 2021 (UTC) 📍 AMA Venue:  https://t.co/92IagrPj1S  https://t.co/BfO2i3R2hR",kucoincom,"['kucoin', 'metaverse']",['usdt'],73,359,154
2021-11-29 12:04:36 UTC,"The 16th #KuCoin Spotlight - $VR Token Sale is now open for subscription!  🔥 Join now:  https://t.co/1iKcXAx1Qa  💵 $1,000 GIVEAWAY 🔹Follow us &amp;   🔹RT with the hashtag #KuCoinSpotlight &amp; tag 3 friends 🔹Fill out:  https://t.co/akdL8LXpeX 💵 50 winners, 20 USDT each  https://t.co/7xdqxT41FR",kucoincom,"['kucoin', 'kucoinspotlight']",['vr'],1185,1729,1441
2021-11-29 11:00:53 UTC,"📢 New Listing  Kin $KIN  gets listed on #KuCoin!  🔹Pairs: KIN/USDT, KIN/BTC. 🔹Deposit: now open (Network: SPL) 🔹Trading: 10:00 am on November 30, 2021 (UTC) 🔹Withdrawal: 10:00 am on December 1, 2021 (UTC)  Details:  https://t.co/cbvRTcnkPt  #Web3 #Metaverse  https://t.co/K00nM38PGE",kucoincom,"['kucoin', 'web3', 'metaverse']",['kin'],373,1142,350
2021-11-29 10:40:00 UTC,"📢 New Listing  $POLC  gets listed on #KuCoin!  🔹Pair: POLC/USDT 🔹Deposit: now open (networks: ERC-20, BEP-20) 🔹Trading: 10am on Nov 30, 2021 (UTC) 🔹Withdrawal: 10am on Dec 1, 2021 (UTC)  Details:  https://t.co/pXydQ6EibK  #Metaverse #NFTs #PlayToEarn #Gaming  https://t.co/Qbh0jgW7he",kucoincom,"['kucoin', 'metaverse', 'nfts', 'playtoearn', 'gaming']",['polc'],487,1709,313
2021-11-29 10:20:00 UTC,💰 GIVEAWAY 💰  We are teaming up with  to give away 500 $USDT!  ✅ Follow  &amp;  ✅ Retweet &amp; tag 3 friends ✅ Fill out:  https://t.co/MZJskDXX4J 🎁 50 lucky participants will share the prize pool  https://t.co/chOsGR7mYi,kucoincom,[],['usdt'],1887,2313,1799
2021-11-29 09:50:00 UTC,"Join the #KuCoin AMA with  $CERE, 2,000 $USDT to Give Away!  ⏰ Date: 10:00 am on November 30, 2021 (UTC) 📍 AMA Venue:  https://t.co/tGuGCYH5DI 💰 Total Rewards: 2,000 USDT  Read More:  https://t.co/L0xrhUEHan  #KuCoinAMA  https://t.co/ZzUz5Bi0K8",kucoincom,"['kucoin', 'kucoinama']","['cere', 'usdt']",121,382,338
