created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 19:50:29 UTC,Funny how the highest recorded $XRP ATH Price was $3.84   $XLM's 4.236 Fib Ext using ATH is that exact price.  I love coincidences.,kevin_cage_,[],"['xrp', 'xlm']",79,928,28
2021-11-30 18:17:19 UTC,THE MULTI-TRILLION GIANTS 🌕 #Ripple $XRP Stellar $XLM Algorand $ALGO Hedera Hashgraph $HBAR 📈 WATCH ALL ⏳  A must watch quick video  Thank you to all the Like &amp; Subscribe. Wouldn't be here without each &amp; every one of you 🙏   https://t.co/STRY5lHtZQ,kevin_cage_,['ripple'],"['xrp', 'xlm', 'algo', 'hbar']",34,179,5
2021-11-30 18:11:51 UTC,DBS (Huge Singapore Bank)  Largest bank in Southeast Asia by total assets.  Partners with Ripple &amp; on Hedera's Governing Council  $XRP trades on their digital exchange  Definitely going to add $HBAR at some point.,kevin_cage_,[],"['xrp', 'hbar']",25,144,5
2021-11-30 17:44:16 UTC,I'm shocked people still don't know about  Polysign  Standard Custody  XPool Patents + Tons of XRP Mentions in Patents of RippleNet Users  Ripple Liquidity Hub  43rd US Treasurer on Board  Dubai Regional HQ UAE Takeover in MENA DIFC Financial Hub  50+ Central Banks  PoCs  $XRP,kevin_cage_,[],['xrp'],312,1483,73
2021-11-30 17:09:40 UTC,$XRP will reach a max price range of _____ by May 2022  6 Months from now.,kevin_cage_,[],['xrp'],16,89,40
2021-11-30 16:26:15 UTC,"Remember WEF Document &amp; CBDCs  TIPS, TAS Group, EU RTGS - connected to Ripple $XRP  Alipay &amp; WeChat - connected to Dlocal (RippleNet) $XRP  M-Pesa - $XLM  CENTRE $USDC connected to $XLM $ALGO  Also that huge $HBAR news with Korea  $XRP $XLM $ALGO $HBAR  https://t.co/TVZN8US2eT",kevin_cage_,[],"['xrp', 'xrp', 'xlm', 'usdc', 'xlm', 'algo', 'hbar', 'xrp', 'xlm', 'algo', 'hbar']",73,287,14
2021-11-30 15:56:41 UTC,How Tokenization Is Changing the Way the Industry Thinks About Financial Transactions  $XRP $QNT $DAG #API3 $CSPR $HBAR $XLM $ALGO $FLR   https://t.co/ChaXqr8oq7,kevin_cage_,['api3'],"['xrp', 'qnt', 'dag', 'cspr', 'hbar', 'xlm', 'algo', 'flr']",21,81,4
2021-11-30 15:36:04 UTC,Most will give up on $XRP &amp; $XLM right before they wake up.,kevin_cage_,[],"['xrp', 'xlm']",261,2652,242
2021-11-29 17:47:42 UTC,No shaving until $XRP passes ATH.  Who's taking this challenge?,kevin_cage_,[],['xrp'],247,3690,780
2021-11-29 16:41:33 UTC,The last $XRP Purchase I did on iTrustCapital was when $XRP was $.22 almost 1 year ago.  0% Capital Gains in Roth IRA.  Not bad.  Linked below  https://t.co/acgTRNHkGB,kevin_cage_,[],"['xrp', 'xrp']",4,101,13
2021-11-29 06:22:47 UTC,...Woah $XRP hit $1 again.  Can't wait to stop saying that one 😂.,kevin_cage_,[],['xrp'],73,1555,69
2021-11-27 22:27:56 UTC,#RippleNet is bigger than we think. $XRP,kevin_cage_,['ripplenet'],['xrp'],257,2275,73
2021-11-27 21:39:18 UTC,Target 2 is integrated with Ripple w/ TAS Network Gateway  EU Payment system.,kevin_cage_,[],[],6,67,4
